"","x"
"1","sp|O75355|ENTP3_HUMAN"
"2","sp|Q9H1E3|NUCKS_HUMAN"
"3","sp|Q69YN2|C19L1_HUMAN"
"4","sp|P78330|SERB_HUMAN"
"5","sp|Q15370|ELOB_HUMAN"
"6","sp|Q86TP1|PRUNE_HUMAN"
"7","sp|Q86W92|LIPB1_HUMAN"
"8","sp|Q8IYD1|ERF3B_HUMAN"
"9","sp|Q96AB3|ISOC2_HUMAN"
"10","sp|Q99653|CHP1_HUMAN"
"11","sp|Q5HYI8|RABL3_HUMAN"
"12","sp|Q7L2E3|DHX30_HUMAN"
"13","sp|Q14624|ITIH4_HUMAN"
"14","sp|Q92522|H1X_HUMAN"
"15","sp|P06727|APOA4_HUMAN"
"16","sp|P00352|AL1A1_HUMAN"
"17","sp|P13671|CO6_HUMAN"
"18","sp|P16403|H12_HUMAN"
"19","sp|P02675|FIBB_HUMAN"
"20","sp|P62241|RS8_HUMAN"
"21","sp|P32455|GBP1_HUMAN"
"22","sp|P36578|RL4_HUMAN"
"23","sp|P07358|CO8B_HUMAN"
"24","sp|P16402|H13_HUMAN;sp|P10412|H14_HUMAN;sp|P22492|H1T_HUMAN"
"25","sp|Q14315|FLNC_HUMAN"
"26","sp|P04114|APOB_HUMAN"
"27","sp|P33241|LSP1_HUMAN"
"28","sp|P01042|KNG1_HUMAN"
"29","sp|P02671|FIBA_HUMAN"
"30","sp|P13796|PLSL_HUMAN"
"31","sp|P12111|CO6A3_HUMAN"
"32","sp|P41219|PERI_HUMAN"
"33","sp|P02679|FIBG_HUMAN"
"34","sp|P12110|CO6A2_HUMAN"
"35","sp|P08514|ITA2B_HUMAN"
"36","sp|P19823|ITIH2_HUMAN"
"37","sp|P02008|HBAZ_HUMAN"
"38","sp|P04004|VTNC_HUMAN"
"39","sp|P02549|SPTA1_HUMAN"
"40","sp|P00747|PLMN_HUMAN"
"41","sp|P21695|GPDA_HUMAN"
"42","sp|P18124|RL7_HUMAN"
"43","sp|Q03001|DYST_HUMAN"
"44","sp|Q02153|GCYB1_HUMAN"
"45","sp|P02730|B3AT_HUMAN"
"46","sp|Q9P0M6|H2AW_HUMAN"
"47","sp|P19827|ITIH1_HUMAN"
"48","sp|P51884|LUM_HUMAN"
"49","sp|P09493|TPM1_HUMAN"
"50","sp|P30043|BLVRB_HUMAN"
"51","sp|O15061|SYNEM_HUMAN"
"52","sp|Q15493|RGN_HUMAN"
"53","sp|Q31610|1B81_HUMAN"
"54","sp|P14317|HCLS1_HUMAN"
"55","sp|Q6PCB0|VWA1_HUMAN"
"56","sp|P21589|5NTD_HUMAN"
"57","sp|Q92556|ELMO1_HUMAN"
"58","sp|P08575|PTPRC_HUMAN"
"59","sp|P14136|GFAP_HUMAN"
"60","sp|Q16363|LAMA4_HUMAN"
"61","sp|Q9Y6N5|SQRD_HUMAN"
"62","sp|P40121|CAPG_HUMAN"
"63","sp|P0C0L4|CO4A_HUMAN"
"64","sp|Q8TDB6|DTX3L_HUMAN"
"65","sp|P18621|RL17_HUMAN"
"66","sp|O95741|CPNE6_HUMAN"
"67","sp|P01019|ANGT_HUMAN"
"68","sp|P11277|SPTB1_HUMAN"
"69","sp|P00734|THRB_HUMAN"
"70","sp|Q6F5E8|LR16C_HUMAN"
"71","sp|P27169|PON1_HUMAN"
"72","sp|P10909|CLUS_HUMAN"
"73","sp|P19878|NCF2_HUMAN"
"74","sp|O75366|AVIL_HUMAN"
"75","sp|Q07157|ZO1_HUMAN"
"76","sp|P04003|C4BPA_HUMAN"
"77","sp|P02686|MBP_HUMAN"
"78","sp|Q8WWN9|ICEF1_HUMAN"
"79","sp|P04083|ANXA1_HUMAN"
"80","sp|P46781|RS9_HUMAN"
"81","sp|P27105|STOM_HUMAN"
"82","sp|Q9Y6X5|ENPP4_HUMAN"
"83","sp|O15143|ARC1B_HUMAN"
"84","sp|P02748|CO9_HUMAN"
"85","sp|P22792|CPN2_HUMAN"
"86","sp|P06702|S10A9_HUMAN"
"87","sp|P21980|TGM2_HUMAN"
"88","sp|P16157|ANK1_HUMAN"
"89","sp|P39059|COFA1_HUMAN"
"90","sp|P43652|AFAM_HUMAN"
"91","sp|Q86XE0|SNX32_HUMAN"
"92","sp|P07585|PGS2_HUMAN"
