"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"sp|Q9Y5B9|SP16H_HUMAN",20632.5040367864,35404.5338836602,29862.14903,19452.2740185665,33758.4619690489,24052.2067807599,422.544508015312,278933.373444541,282199.18985403,510549.195574521,461668.900595547,174680.475125092,265893.367006587,"-3.22847353123975","-0.0314231595666566"
"sp|P51178|PLCD1_HUMAN",25611.1955894062,29589.6897021022,124309.3909,82047.1993490639,120369.626071713,115874.082225271,7381.35638340458,63894.3798671379,76813.7528504785,94198.3886816661,104505.307278106,45116.325957564,34108.9350656973,"6.54680483965624","0.0654665567453311"
"sp|P26572|MGAT1_HUMAN",4825.68248265045,14567.6942067684,29769.58284,28255.5926435947,23812.8427816303,21367.8291215393,13656.6068506338,59614.3635201661,50486.7948302445,41159.6368769853,39473.0372840132,118053.584856761,136401.008769759,"7.01899716868764","0.070440291104154"
"sp|Q6P1M3|L2GL2_HUMAN",29238.9872219467,31362.0763836561,100945.3755,81341.6358040101,129857.50680689,137263.379361009,11128.4831772245,35855.9767566871,27478.7754441016,49184.7179797745,62899.6908463722,27667.5208076431,34520.2971875622,"3.36229536822098","0.0313924131355207"
"sp|Q13308|PTK7_HUMAN",11070.4654038476,16603.0409205012,91563.62033,60175.1546656794,64641.6669378503,73077.0610471289,29959.1771847174,214770.698647986,198689.909063953,218452.628172291,230983.321803618,168798.869840521,197339.362430462,"0.260400418309369","0.00262755518358817"
"sp|Q5T9A4|ATD3B_HUMAN",39284.7305480886,24471.6626919018,13981.61896,16459.2111297456,29513.4376404482,27985.1816951899,4496.34123439462,92326.6443525885,106640.279680671,64106.2578284026,89415.1530901892,98750.6789530405,78102.1210397119,"4.70532972485692","0.0448218657598607"
"sp|Q08431|MFGM_HUMAN",68812.2510816316,77635.9793800345,219785.1736,195889.446461443,355213.634077968,434264.543837358,175185.815290114,70035.5000806081,93726.7624684539,468229.997181687,478617.137131713,291799.114731366,254577.091340787,"1.04224852170233","0.0107647283340411"
"sp|Q9UBI1|COMD3_HUMAN",56092.755092682,67026.6392233247,147222.7721,115021.594057852,142648.806129565,122496.292745354,23499.6590546801,474815.002895944,474708.769551225,136145.575185359,149182.599055221,410223.928644011,496458.815086677,"3.96029602845135","0.0406176132507967"
"sp|Q9H8H3|MET7A_HUMAN",494781.936738408,672298.126106664,1554560.392,1248263.47219112,1224593.28580562,1347294.28127977,344162.824482149,981571.38253583,1041521.71478954,2093959.68130893,1560248.23690816,1992632.37696166,1970632.12872821,"-1.85079914604118","-0.0177242820820554"
"sp|Q86TX2|ACOT1_HUMAN",122949.187351178,91858.5476360428,65555.07146,61684.3691994746,115478.502003614,174390.05341005,13448.0864078114,275460.74017035,156400.380158718,324369.439842857,366242.468531366,89422.9333007676,114996.595158773,"-0.647705719498991","-0.00648519369753842"
"sp|Q9H9E3|COG4_HUMAN",2210.34642112237,1807.53933545292,1700.344793,3840.43672922137,9418.79920117181,7130.37013340055,1945.43335427838,92702.1295835755,85117.9880920249,72758.6202000626,29761.6513045005,39196.2757827798,43734.663067011,"-0.191366727103333","-0.00195936325743005"
"sp|P55083|MFAP4_HUMAN",53410.8106968473,52557.2871527346,182490.4121,130194.3048355,409746.940931657,377741.902349371,25313.3160467536,28276.6268141154,49150.1268411262,2727883.86795281,1693298.47693599,193981.954071082,68000.6551737416,"-3.00116806512436","-0.0295866327653315"
"sp|P36959|GMPR1_HUMAN",144334.764897271,167644.214800278,133654.2025,118055.314352404,64251.8918594425,91308.4757335174,115720.774080212,19973.5168274648,5060.09012321366,16123.264863104,15072.2045729714,34256.0105258312,26613.6617248754,"-0.0419733543921345","-0.000416990441746597"
"sp|Q9NUB1|ACS2L_HUMAN",33815.7244661995,50180.4054101305,52492.01617,56071.3043285842,97290.9067269529,82686.4978990637,36956.4895704497,85393.692700962,100421.35076817,139479.555609387,188930.987888132,152507.353738964,173771.803526308,"-0.619983085518051","-0.00640762390396182"
"sp|P98179|RBM3_HUMAN",2347.51026437295,3880.62777029047,7254.360284,3629.18041872847,24788.4270547573,26230.6278343519,7557.43253358881,6980.99041868552,6555.32843600196,698.974131456315,6791.05420034988,249953.722736304,240552.134511767,"3.25781503279747","0.0333086782299074"
"sp|P54105|ICLN_HUMAN",64955.1725625115,80368.9275307896,78696.93353,83391.5986609741,82127.4424504594,96099.8303421076,159851.26969064,503424.868571037,405743.828231851,212811.562219248,188395.176151468,236449.613779927,250686.720573693,"0.345847731615714","0.00330606745030126"
"sp|Q9HD89|RETN_HUMAN",24335.3878909409,24592.9321222703,29303.85183,17277.0833545338,11115.8648090004,14665.6567875952,10102.6841362714,655553.473960396,608625.532524352,23045.7955272496,8233.07532086513,176796.435349038,199126.659664224,"4.51409182021308","0.0451381261163613"
"sp|O95433|AHSA1_HUMAN",35918.1586866939,52175.675507806,74511.11644,44728.7835638681,119311.034226099,100813.433512714,26804.4841215417,556877.617680741,601003.856607636,658395.197266584,631155.904903034,373434.040953432,405827.418912651,"2.65255878559895","0.0262672903894274"
"sp|Q9BXS5|AP1M1_HUMAN",20330.5332685942,20651.7970940251,44321.30774,40389.1529232434,38784.4331427329,32402.9299294664,9722.60160603852,95722.7894794143,79673.2537362835,161354.513634291,164236.123438211,206091.976998435,233170.023578588,"-4.64588058330071","-0.0440097354033996"
"sp|P68036|UB2L3_HUMAN",703017.16662651,531324.968696314,1024238.892,799563.263508116,909407.468742726,689396.558198483,660978.666538656,2193129.37346567,1500349.75522509,1532139.11223139,1041150.50810829,2174425.75310113,2363264.97717703,"0.556621503095619","0.00528070122304946"
"sp|P04208|LV106_HUMAN",624544.141772777,645520.993309577,4514139.903,4349212.07621448,1620203.58185536,1635731.42511743,1634268.92161898,1633342.412872,1332238.54560927,5830321.37686958,6149566.76884246,5223996.37721197,4919127.22085635,"-4.81403511974012","-0.0496432023093481"
"sp|CYC_HUMAN|;sp|CYC_HORSE|",545477.97317731,660822.696634453,719953.9122,723937.515624967,1270912.61256329,1125525.2037744,168352.574008986,2342843.3626342,2487690.27372048,3840785.3899053,4126085.16795579,2229074.8504353,2251524.95858822,"-4.4569731788584","-0.0447325921710077"
"sp|P62280|RS11_HUMAN",134989.25551192,141094.529532407,202392.1938,192163.982335759,431459.634367788,445712.618870181,62670.872232134,1021340.94992287,926975.461106217,1601066.25350962,1719541.80788741,1387830.42236957,1439865.43084961,"5.49440736042585","0.0538989036685822"
"sp|P57088|TMM33_HUMAN",129138.055867907,210430.21974184,194766.8834,207240.849743905,209534.817188443,213706.337774623,91675.1245827645,437765.005548163,619356.713570415,804757.105587764,759420.679957677,453546.852100857,536663.598124012,"2.24161614763026","0.0225714567116024"
"sp|P22528|SPR1B_HUMAN",10457.5333816988,11354.0165777496,31079.45072,24350.2792847947,64462.517325857,52431.9221427565,7420.93086226519,12504530.091949,12830642.8425533,174041.666126472,113410.46305827,2212128.96450912,2409687.83494821,"-1.22033998786915","-0.0120818667358293"
"sp|Q01105|SET_HUMAN",4.59209006161339e-06,5.43342269012339e-06,1e-05,8.96034732301016e-06,5258.2484017819,8625.36868161879,4.72166493772663e-06,44364.8208476291,39373.0653410069,68334.3873640869,73950.5799477118,31131.0460963083,35314.9914922907,"2.77669420207225","0.02870457339649"
"sp|O00244|ATOX1_HUMAN",83261.9801123329,96153.3600888504,317716.3788,222987.537074162,452164.37222695,457042.101164796,57251.1667376767,948969.894997792,1052410.06019818,1205082.865221,1176671.5801914,814968.062400562,1169403.44098536,"3.55971522429832","0.0345627548264254"
"sp|P37108|SRP14_HUMAN",97483.6176417871,103959.655726017,145248.4524,92643.2944459393,1000551.82506746,1012947.49593822,53903.5605959753,2021789.87054763,1899657.95889445,1869073.89146254,1600208.31743513,3637052.3916547,4676201.2345218,"-2.00243663279624","-0.0215802815612631"
"sp|P30511|HLAF_HUMAN",5234982.67023927,6465773.00124683,9458435.063,8627609.77486604,13187362.9966005,13785700.0826876,1475356.56128102,23339576.3041377,22224990.6955514,22733334.4834418,21864094.012459,17872356.501045,16676517.9403422,"-0.1874220111794","-0.00190433272748183"
