"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"2606","sp|Q9Y4E8|UBP15_HUMAN",652813.644388263,606971.750383798,190208.157458862,175590.191501183,118965.803060556,168297.993806598,218519.329987066,241920.613867722,263196.991312664,205236.508206469,239265.469088422,273721.158539507,382579.946042124,355873.287229647,1006985.27836091,926542.564879145,775118.919034892,793460.218042758,285901.60901809,267065.778197206,234698.674500798,269786.035077884,256324.36174739,236282.143351211,601770.314865437,653414.573057291,194261.524296124,199015.835320938,281056.290155598,361240.001145434,399720.365984899,398329.545063156
"2607","sp|Q8NBU5|ATAD1_HUMAN",307147.452959134,744891.984824136,756984.928347197,682089.612829562,286456.232605752,340607.366769062,890234.314681486,1383198.46844557,502524.191727736,495719.329219885,391468.949182544,389557.203135871,236873.26719596,237485.502584706,880705.907048916,864362.285771087,871865.972753588,752948.637078312,956169.779960363,898305.961519843,791238.587223129,1090048.5517331,689384.719532911,932768.370895255,993102.22328984,1105777.99544322,757320.438871876,832135.721400877,888807.940560012,745922.160341651,666324.353243713,682462.951777029
"2608","sp|Q13232|NDK3_HUMAN",1339721.51797765,1379659.25605564,1714882.61959181,1565675.84520203,187490.946503731,140001.341635211,3092839.28837603,1951904.49527922,2170328.60593763,1834217.0083107,1273686.57925047,1243405.61779006,782060.994685413,3248351.93529155,4784974.35217667,2273059.61818225,3988708.60668904,4260141.2372625,1347307.59413566,1565132.29111834,2495780.0618947,2851821.20738001,3217787.36802209,3193317.70228949,83883.7129407953,72986.1419563192,1701689.73036969,2174405.23822648,1065841.2508348,836160.63494014,3137520.66912437,1130618.60353108
"2609","sp|Q9UH62|ARMX3_HUMAN",247922.241413969,260919.674726704,372159.845802805,318572.335099539,133673.504732208,132457.604825434,201911.606537377,195547.085375272,347405.688899216,419055.678693879,265232.315144182,262091.666156741,548352.820376932,485029.036014261,812700.013703511,778690.591258383,806997.392244093,926404.907912915,284267.861109698,247044.124246106,340789.419146966,283700.565933543,449286.161917164,450017.719377962,399999.424815596,443203.789296883,316198.537030682,321049.300070905,291086.80343099,282685.357725794,697387.512942902,702425.840961424
"2610","sp|P10619|PPGB_HUMAN",3510394.91197477,3796521.93595671,700522.222498053,745451.115174207,1664795.58393081,1492633.94690223,1053345.96156147,1221733.69470006,549670.954808724,590723.668043098,1967580.59749733,2130129.19626224,1564223.61499234,1561372.74424325,5810697.67812337,5613865.20397918,5164150.55123799,4654874.95028432,1518229.87109031,1469783.6426941,819343.562378273,708624.58828079,682128.589924158,663782.50561062,1421302.89126673,1390834.40491678,808321.654057646,672339.915511752,1180619.66481945,1243926.63961324,1925488.83457945,2513224.15304094
"2611","sp|Q9HB21|PKHA1_HUMAN",347101.068791337,370244.132499802,994351.985732787,951835.545597228,454681.424336969,549484.76411576,922259.010687549,939519.624108236,1226138.30403977,1231901.99880903,541195.308818338,752497.744647315,578220.03292944,643646.90140617,3149541.40707288,3329663.02819857,2671636.65304047,3312671.15278573,827001.064916543,955071.593495163,1167657.46983208,1342822.57140824,994890.251645569,838595.233569981,341919.989009465,352487.530444742,1219881.70015114,1152355.10488565,853671.60485167,985273.515732029,500539.990258842,529859.982110176
"2612","sp|Q9HB19|PKHA2_HUMAN",293576.647284449,365421.490488928,738079.841051309,785156.881262524,1037469.30021576,890389.956896376,747796.436732087,756401.485704064,952040.766474107,978841.582238886,1655903.30513912,1880210.08223388,501605.61071304,623126.86292328,3851638.89804115,3969711.20706819,3521694.63834135,4212431.90915657,651008.347545578,801721.720586365,1004877.9987928,1213644.57554686,949806.107740586,845480.294512641,589331.512719335,594764.334143906,997113.003953274,890708.919432514,1728626.33924797,1214864.33786724,686579.966542532,683590.632057494
"2613","sp|Q14919|NC2A_HUMAN",232249.869937606,264866.462945088,79920.5868871374,86080.5172937694,48972.9296180068,37498.2956329946,66324.0912982991,72406.5772099049,141618.045733101,121531.243031841,228488.527509831,211796.649030626,247601.534273823,195315.241745387,1247223.01164246,1155375.92521266,1143814.83626673,955510.607167358,145352.260765299,136008.281624874,127013.210322414,139343.702189107,154504.37048881,152208.493136752,500557.287192676,503987.06766558,95419.9864073873,126273.610847479,185122.855899426,155351.871115472,371958.620438823,355840.365781824
"2614","sp|Q6QNY1|BL1S2_HUMAN",686070.400980308,750358.864287715,229562.045211976,233391.109094163,183141.53863585,305760.500974929,310804.34422009,250445.257297867,255398.953148143,206464.48647367,169397.768442087,148269.712852431,223390.191269631,179288.252520971,730640.970288734,602216.362799508,809332.815118017,874579.130470707,155749.81680984,131727.732862516,213185.748642517,190346.176130929,221232.778175052,248222.853145003,612022.033510038,541565.244687319,222560.350253103,264631.859795759,376480.780788855,425546.680451705,335829.381242916,292603.964039947
