"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1986","sp|P62995|TRA2B_HUMAN",6768718.53500591,8905505.37520591,2177201.734589,1786680.25426815,3519344.11240316,3382075.70030827,2098869.1915584,2033742.3835804,2097800.88747145,1942270.17487956,4954587.5278807,4328807.98522682,2935507.76813457,2790533.30917322,6665726.34480535,6225318.96308326,9153692.22126651,9434966.32397339,2772998.70766007,2819573.30132972,2194801.08323156,1983827.89469673,2280755.09378887,2068909.97990579,11703638.1829215,9969222.3993412,2176568.00531305,2234168.45199561,3341092.4960996,3463627.54367519,7652472.51370027,8183836.39263887
"1987","sp|Q8NFW8|NEUA_HUMAN",3426892.57670855,3727096.85388218,5440807.34550413,4991282.94431689,1638491.7426463,1884970.90365206,3488547.17720449,3489121.91984769,4182772.44995343,4219044.42648752,1518407.62269118,1328318.6099892,1359166.55965263,1323051.59117738,3884260.19721618,3386289.53107946,3039901.38476452,3058555.52520023,2809146.88714877,2852896.23870131,3456644.92461581,3229459.07919307,3151098.3044584,3026905.3427424,2914542.90695746,2639486.01969497,3564161.11605047,3550199.70699704,1900498.13318306,2189866.09025784,3401843.62647027,3568737.23998136
"1988","sp|P61289|PSME3_HUMAN",2212286.36658396,1548779.33175106,721002.766455655,605191.253862947,1373857.66177506,1358425.54763602,821150.291012371,470841.813070569,762231.344672636,584429.853970712,2051671.5151659,2326466.60077336,3743008.11884592,2772790.90592542,7551776.5189565,7223640.72386219,7497914.02415315,7854913.76491552,1186423.78478916,1132858.04661327,1073913.39449202,1012814.42783923,1272792.01817738,1667836.703513,8094113.12767295,8211895.53647634,805420.262848182,991861.722905252,476352.107427748,557586.678710256,4753406.53715908,4982308.8969381
"1989","sp|Q8N2F6|ARM10_HUMAN",526782.799359928,703338.85685835,1475727.15978361,1409740.65799716,2246329.65373414,2163443.94631542,2047218.3215979,2064318.61824153,2416608.00765659,2170831.71797738,2091173.1262662,2105837.29294973,2316272.34653483,1976150.1912273,1302196.24857263,1159012.13700774,1318297.61716281,1419677.85814451,2339352.70716159,2175159.48183072,1817019.55026729,1901697.22846009,1805597.56508462,1995270.41440304,2712731.15034788,2847287.95372452,2602474.02029862,3010932.78724085,3169813.60794158,3188939.78639366,2132209.32871341,3943010.11167106
"1990","sp|O95571|ETHE1_HUMAN",5545699.25490318,5695939.49562714,1490544.40829091,1310271.42178599,1474317.11573641,1550435.4357232,1975899.19694121,1867223.21200015,2165807.61861223,1962556.87043026,1123749.3393395,1138733.67253596,3273083.81786931,2600995.34611841,1619354.86076182,1989396.33942031,1917089.55433724,1900177.62244444,2322450.19286906,2044048.84547454,1891221.2084391,1875027.79853073,1532574.1995895,1849521.62849737,4812207.41858414,5414138.25258135,1437286.7155132,1633318.1170182,1794263.66368229,1664367.10720823,3786099.47459204,4690035.49510189
"1991","sp|P12429|ANXA3_HUMAN",2663014.29796169,3721604.92201024,1923247.58806731,1976837.88840148,4679757.05858694,4277245.31243538,2804292.44680308,2767772.49194096,2070447.67694246,2305435.09355308,1259070.4615562,1405674.46738137,988677.58915657,1444087.40001794,997692.180340582,855306.758729479,649977.259170923,772300.540860714,1362180.16680713,1433374.56428762,1815086.94484471,1711742.31003211,1484459.4259623,1285630.63538095,2524827.78528079,1793317.69029425,2056035.26760157,1937017.50611722,2178968.08165174,2494341.33644909,1148063.7240663,1243707.33291181
"1992","sp|Q13362|2A5G_HUMAN",1.97629638094957e-05,1853.6423301358,116344.062436456,108246.114420701,8645.22316212839,13504.7632612518,53350.9621078614,57417.6365572669,183339.378391825,200819.577042766,4.58758104433398e-06,721.800111868513,15766.8947338503,13451.4542184106,798.26767658497,4033.25794644928,475.538993757305,1885.8180094864,15326.6334673664,18674.1598193244,96713.5304793534,89682.2286020681,71243.7493963028,75733.405972933,3333.53113495497,1.50864611364468e-05,166584.56691938,129868.50880721,2.35674508327289e-05,2.32820433938426e-05,73466.3998304142,57473.7404824418
"1993","sp|Q9UKK9|NUDT5_HUMAN",5539027.59255222,7235728.24593006,2635297.45465401,2456476.22207288,7851711.16056809,8469616.53531853,2153883.15953179,1914962.88926324,2464280.52773031,2655320.6142607,3910595.74348163,3777707.06827672,4128299.29837362,4332895.49699367,4308783.96605359,4587966.13103179,4689331.47135783,5047356.74819134,1790889.14486692,1681359.99112596,1995602.43988946,1739588.93828386,2248139.84181195,2275137.98215377,10479269.8849613,11213795.308464,1995877.09851001,2116735.51380402,2221919.97714359,1958149.53785412,4884299.34501827,4853189.18370648
"1994","sp|Q13501|SQSTM_HUMAN",3041682.89805132,3461016.04772521,1696187.47902467,1558285.93968167,2790501.62114591,2485889.019307,1652886.3152418,1819245.37398211,1059831.47204074,1027910.76788715,1424569.91584915,1350815.00163881,14965748.7695757,12558836.1610948,1520525.2529623,1132784.95003132,1546864.23761723,1472148.25164313,1413780.19203717,1555692.93399735,1330512.48202557,1495371.97767332,1523230.67522354,1381769.54515084,5319232.47791076,5719765.27828128,1381357.79104535,1488261.82975466,1798936.11066186,1669672.28562514,4896410.52443772,5073411.67301129
"1995","sp|Q9UFN0|NPS3A_HUMAN;sp|Q9BS92|NPS3B_HUMAN",1971642.98400476,2170297.91651871,4248577.72727979,4215056.49814849,2198345.87879466,2580603.44367106,3706506.07994697,3872341.3113853,3178731.43370242,3267427.26375153,4583858.01404033,4264054.58522059,3091438.28064852,2573948.67181475,1492692.97492187,1425741.45872716,1438200.67737181,1345207.18885155,3600724.44805692,3724018.14509153,3253481.83194843,3179747.32407166,3314450.1311148,3248005.21771797,484372.686812391,449413.903177021,4236986.15180328,4367925.52127744,4450425.59985512,4126561.30172245,1200205.17992505,1303770.74684442
