"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1862","sp|P07108|ACBP_HUMAN",22.6584423764129,22.9140666460306,23.1231358734145,22.9853024144476,24.532449223747,24.7081808054064,22.433413448391,22.4122356978545,22.8716946889438,22.7313138932825,25.318391674011,25.2619421021915,24.1203269448975,23.7993606980123,23.8347383257008,23.9542049607162,23.4914158249056,23.546241194554,23.4938640872776,23.5676098224642,23.3963442561755,23.4316088798443,23.4670624568209,23.6121751872394,24.1697079410905,24.2423165422489,23.4341042002341,23.3946502871617,23.7274193426819,23.7214965404425,24.0237452580074,24.0775904553598
"1863","sp|P30531|SC6A1_HUMAN",20.9209513533057,20.2245071552757,23.3794581091283,23.2420869847974,19.7187852429926,19.9682971127455,24.023799074759,23.9743072648198,23.532067698739,23.5852718819389,21.2703915758239,19.2991546626607,22.2006512223258,22.6732124001153,22.5303905930307,22.5141474338409,22.3307571919617,22.3245890257602,23.3559952672682,23.3427407213007,23.6272619212778,23.5807382088995,23.1478919969369,23.2070396805084,22.1714586084698,21.3203627822697,23.3743010298319,23.622509555987,23.5917361428155,23.5193192154383,22.2236345179589,22.0547232387847
"1864","sp|O75348|VATG1_HUMAN",21.0844190951797,17.7844713419027,16.4579717424707,16.0574366062479,16.4128272211155,16.3419414527114,16.4415335320519,15.74302378207,16.9469721267176,16.835272618025,19.4227535663486,19.4830690962777,14.0298270838685,19.3319567163904,18.9098863973935,20.4026757018458,20.0607085403244,20.0665839803085,20.3140206313494,20.0519697899572,20.4493124219313,20.2007897825482,20.5966914641137,20.4673595555364,16.5417430754818,15.9214425311886,16.0697697111958,16.1144052188557,21.1824401630478,21.3363552508173,18.2660625085986,15.0085681880331
"1865","sp|Q92734|TFG_HUMAN",23.0066234352991,22.608759779613,22.1687745204123,22.1355393222737,23.0991488742149,23.0343492789129,22.433739754503,22.4842853935892,22.6441417097294,22.6299222045201,22.6397493461202,22.6037043925575,22.2381998414344,22.3587653644498,22.7662616189451,22.8832951454217,22.6573799983434,22.6746043078934,22.6960306060763,22.705374658642,22.5840447989876,22.5063441018545,22.7313749216674,22.6334611220935,22.865925282831,22.8429692088555,22.1994808244391,22.3766940655646,22.9680131546824,22.839185487394,23.1132212045328,22.8715947219209
"1866","sp|P23763|VAMP1_HUMAN",19.8366282659447,20.2642230119908,23.6740134312948,23.5565802576276,22.792789488317,22.9391983334524,24.6007822079938,24.6242393032134,23.8414004581329,23.7998938953922,22.7577813973805,22.7487694026961,21.5162106591409,21.4590978232508,18.9266790629692,18.7846030688622,18.8680804916091,18.9473229395459,23.3749058286548,23.4912265229296,23.5608469638035,23.6753458330742,22.7696720199492,22.5399469895851,23.0012834161633,22.8854055949705,24.2472971806808,24.2830551990206,24.1971557940411,24.2544001151602,23.2811475231423,23.3852320195465
"1867","sp|Q9NR31|SAR1A_HUMAN",21.3231577990354,21.3937428000466,21.1720691539119,21.0652654661636,20.7812770336287,20.8592635583996,21.4970722832775,21.3486926041276,21.2920926672155,21.3970117033351,22.0654881050146,21.9795880674228,21.8981657546528,21.8438345526597,21.7437144740378,21.460335364754,21.306636754743,21.4389026562232,20.844944909965,21.237165209818,20.8052126883796,21.0431339647062,20.9395152443755,20.7813313394771,22.0635166313402,22.0090812658959,21.3039616130314,21.3160661195906,21.4144533342859,21.5415802429201,21.7593826267059,21.7831461230488
"1868","sp|P13716|HEM2_HUMAN",23.906310788604,23.6269004976644,22.7197953720608,22.5899583605973,23.8614808248254,24.0220844563632,22.4215848514865,22.3954782520599,22.3898425112438,22.4108883315702,22.8081106004316,22.8997301304995,23.2163880234631,23.2430846810914,22.2058124949721,22.5896131004639,22.2065675031377,22.2609822523731,22.5160678776205,22.4982862827845,22.6080104951167,22.5510119834807,22.7977721404904,22.5777147830974,22.5351744915963,22.9988803905384,22.5397277285474,22.5946605658681,22.5475864805582,22.5918192777252,22.9742846146271,22.9770741351394
"1869","sp|P52790|HXK3_HUMAN;sp|Q2TB90|HKDC1_HUMAN",24.2398588852579,24.2250424334875,23.6540995784823,23.6910978875694,24.2757624896362,24.3874349573522,25.1504511555992,25.3183865872095,23.314048501917,23.3862327675977,24.8958760224704,24.8771989558773,22.7069133261626,22.4677822947556,21.9760029142338,22.3553358381205,22.369620903461,22.8371630243132,25.437316019321,25.3740928126287,23.0184515226019,23.1074546424612,22.6514826105951,22.6978302340544,24.9537613094675,24.8889456084105,23.4730597600797,23.3734731148077,25.8423615151572,25.8883076521524,23.6955109146019,23.75636226646
"1870","sp|Q9NRV9|HEBP1_HUMAN",21.9053918197907,22.4263694977261,21.9363981246307,21.9653591342127,22.7477229075506,22.9566756606037,21.3159858924658,21.3326537837164,21.6572549281633,21.8424948438564,21.9357599457998,21.9111290570019,21.3803944252619,21.3940461127399,22.8464142583894,22.8305951952776,22.4181912711519,22.6152721943032,21.2689067967243,21.4041633870272,21.9814786722952,21.95697065344,22.299764871643,22.2328550586317,22.2660727485734,22.4219406699619,21.6403046238554,21.6812398933678,21.6501057345765,21.4808323603947,22.2295454532485,22.0578269119257
"1871","sp|Q15293|RCN1_HUMAN",23.4628764426382,23.71765393926,21.3542226564392,21.4485038211349,22.4352188007928,22.5131080716817,22.3232851812119,22.2352503865624,22.1430772194378,22.0250664908584,22.0588960676316,21.974959351947,23.2538082071369,23.1020081876373,24.3339102299746,24.0244649466302,24.1055834978659,24.063420059103,22.1625278540462,22.2331782213151,21.4126470536139,21.6202842630476,21.6414217474042,21.5809580239837,23.2714790916427,23.6421458869417,22.2834759126467,22.3850517046851,22.5004447328255,22.5443668276593,23.0162600880992,23.2328582227588
"1872","sp|O96000|NDUBA_HUMAN",21.6706024955677,21.9201950221598,23.1620977988699,23.0632010720023,20.7990897313898,20.6967343750324,22.8084460004785,22.8965356612236,23.2469737009668,23.0885220735893,21.7265872588477,21.8619091982922,22.7777779219515,22.6654683359985,22.489036348458,22.4240646542876,22.1121883423519,22.0871895546626,22.1814262239313,22.0702503762328,23.0307829228114,23.0930963842337,22.7764107156857,22.6980931271173,20.4092392264832,20.3965187352071,23.4054880646368,23.3004464373373,21.5887814538207,21.7101214296267,22.363957336743,22.3719097726181
"1873","sp|P04080|CYTB_HUMAN",21.7047953384468,21.5857905635521,22.3739684836945,22.5072259915228,23.1532647411714,23.240591525005,20.6696944274072,20.8165125648173,22.0959608263748,22.2047092365597,22.4216179523211,22.729771319777,23.8198424688289,23.6950724110199,23.9375732167658,23.7807539792785,23.3425106465918,23.3434477305426,21.6106708795027,21.6938976445396,22.2776979117947,22.2961411902944,22.8995008526641,22.8381018581808,23.05695339025,23.0638593225829,22.9175370364609,22.8266718441335,23.4985391476852,23.2726755773017,24.5484945407587,24.5918227161439
"1874","sp|P62750|RL23A_HUMAN",24.696710272278,24.4186541076541,22.7229653749832,22.7639606538249,22.8914605236386,22.9514165725346,22.8522679551187,22.8017062879028,22.4427401122552,22.3872610328398,22.2573814438028,22.0179816765303,23.1109410050722,22.930728136843,22.6546613412152,22.567056202948,22.4734026329405,22.3402106393667,22.2515360448804,22.0627231831256,22.5040499801948,22.4210878546572,21.8913512535314,22.1363227042402,23.1459951951189,23.2584906968146,21.9945653268536,22.2104007625103,23.1795107685507,23.2829102313877,22.492786863873,22.5601541784429
"1875","sp|Q9P0L0|VAPA_HUMAN",21.5972006581238,21.4325070065921,23.0160554705473,22.943761076214,22.5053751925358,22.6390356451114,22.5303563622779,22.5771907282294,22.4446020889328,22.5591492867387,22.4828085010212,22.5941847784399,22.5276644835965,22.4690832715508,21.3057939691831,21.3335147205419,20.9696381108689,20.8805822172232,22.4527835591336,22.5320107199055,22.397275989883,22.4338263566434,22.4005095185843,22.2715900180227,19.5259514085286,19.2447873651338,22.514222428029,22.4085083375932,22.5658201531852,22.8172782672368,18.6595318651472,18.5859747890125
"1876","sp|O43676|NDUB3_HUMAN",21.8743980385842,20.9417000506546,21.9833730316036,22.29753388768,21.6576274777461,21.4432522406772,22.9779952391283,23.2430128933297,23.1276396867785,22.9689273885674,22.0095358998584,22.1764821926401,22.3236505717773,22.2135887424142,22.1654190792693,22.0906513191372,21.9011995279623,21.9883120545656,22.6412835942172,22.6508699713458,22.8067633465184,22.8967797623775,22.6980695147196,22.7323156726583,20.3001174726995,20.3612308251752,22.5833711358963,22.7512281444638,22.6112222364134,22.7351481780791,21.434255499155,20.8383963587492
