"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"870","sp|O95433|AHSA1_HUMAN",4517133.85737391,5457020.37429005,6238914.49381924,5555396.17311119,6256773.57770745,6364739.87985142,5076078.49669161,5636391.63184414,6976932.11948545,6611154.31859303,6597938.22799176,6549678.95548343,4695146.24969028,4591422.34311294,10675232.2318708,10391475.7630329,13002220.8740018,13740995.9119899,6142379.00436994,6191961.85031529,8472398.57442189,8581069.40856036,7936993.99624456,7729123.64355894,12647226.8309617,13833153.1492365,7845825.7384518,7506490.01688164,5019742.21464209,5398318.10457204,12202493.0944439,12465012.5471035
"871","sp|O75367|H2AY_HUMAN",17971799.1935073,23178512.2881593,2489524.73578375,2920730.69596119,4846901.04070411,6467560.6976455,4167155.84395282,4744014.51938702,3454137.0426375,3115338.89445238,4644358.75266459,4530942.2911221,3479890.7418566,3615454.65738718,12596364.0580254,12817549.12656,9717059.61201612,9662991.52516215,3524798.5259476,3560586.07223136,3297475.4656925,3609364.05859401,3303788.31865877,3239190.14330362,6158569.33408246,7838173.82398939,2375681.67411702,2495471.77124251,5747948.99113535,5602288.64733282,5611421.37684083,5103037.77998568
"872","sp|Q6PCE3|PGM2L_HUMAN",996241.406542383,1348349.67655532,4494701.83963321,4214438.47615332,1036831.91698416,2671950.62864247,3398112.51111893,3258857.59300215,4047319.06525483,4280518.67535289,2863258.19326056,3234260.53174517,2312752.56743388,1690049.60724024,1262603.80166742,1122472.78107534,809309.039330735,734543.608480566,3703194.3760298,3412910.33247907,3370927.55498812,3131478.08557231,3779519.51137227,3805870.4415692,1321213.30235571,1182371.70549144,4137240.00082385,4505858.06822892,3271450.27754418,3396372.14033548,1489517.28824925,1571516.97862576
"873","sp|P43121|MUC18_HUMAN",9471162.47158966,8091570.92865874,2139908.71070069,2120889.73316723,1863769.09109221,1685673.14501757,2028645.48316876,2041446.62031147,1936415.79772845,2199463.91224343,4718078.73286562,4665524.73541285,7417565.97411935,7040652.03014404,7577835.22166348,6654320.41249408,6591625.41072674,6595748.86413309,3401324.91966842,3706329.4433083,3342860.19141717,3342990.37591719,4756899.59287909,4639443.84022171,3183822.79234146,3220571.63567069,2350246.43430691,2498976.16882787,2329002.46324673,1932128.39720991,1202151.9667602,1290437.32583868
"874","sp|P10644|KAP0_HUMAN",6651106.75657848,7353113.06694567,3823850.81879243,3990945.52666034,6194469.67659261,6265599.79865661,5343638.15020552,5498684.83857687,4303994.00037984,4684446.20075875,9067557.5647261,8702998.06413552,6900663.95944309,6471818.37090155,19292336.5785606,18821286.3837172,19448700.1308598,18391794.5283557,5837798.22729375,6191961.85031529,5466009.17952199,5343230.81774304,5562430.4231844,5726145.03484601,11315056.1351506,11156096.5231309,4339734.92013289,3943091.4941434,6627548.1895212,6532908.45625867,8055493.79620137,7733180.49420169
"875","sp|P43686|PRS6B_HUMAN",2704841.50883442,3203301.00083081,2502634.64127408,2412154.9068803,4166731.31203744,4597022.65837827,2319278.42553924,2409164.35045843,2691437.216811,2409487.76261086,3467324.47149548,3633549.95752718,2602603.93379906,2600114.47746906,6755065.89863237,6044271.62176567,7181016.41619544,6852087.62697711,2460407.97780699,2396891.70533191,2866107.34116011,2550935.99850857,2590872.3449056,2478028.09224107,6419261.75584202,7075312.11550105,2434118.7812495,2821049.69955277,2052573.28901421,2058774.02856031,5456432.45622688,4635117.0540557
"876","sp|Q93034|CUL5_HUMAN",656468.224710756,725151.145078401,1175901.79116061,1297677.49388859,1703308.78879059,1591040.62141435,1295326.38451054,1250000.18302895,1681408.57600333,1695040.51780934,1639600.66196966,1664091.6070894,980358.66949867,859586.35502604,2621567.02368311,2736565.20142613,2261282.28785018,2118696.83728485,1394777.875755,1275206.57113854,1419378.22607484,1439044.71400902,1483602.74097687,1588563.71943759,1557597.07640013,1864726.44445384,1597566.96316035,1794103.00753754,1900650.73176636,1921198.06764281,1883101.96699969,2142925.08631156
"877","sp|Q15046|SYK_HUMAN",6359472.24804192,6569714.79904498,2613473.64315115,2498918.58241065,2153492.26541205,2289835.79493019,3563851.6146149,3362202.22037512,2436182.21201074,2585595.49038876,6450498.26758971,6639400.5850106,5282619.34742606,4787776.50074009,9716138.09600613,9017124.36556912,10262305.3307618,10382573.2068013,4500956.81199433,4659182.64546924,2759087.15461146,2728547.89735113,2835080.15950558,2634458.69161117,6051922.57108557,5822375.60621376,2279024.24695767,2348283.56826387,1436422.81120475,1341164.83320763,7143727.42519553,7726595.5052078
"878","sp|P55884|EIF3B_HUMAN",3720224.90397588,4764833.94570413,1622168.21504807,1650990.0321197,929214.663612991,1072174.54023245,1967800.65736518,1887295.96954911,1565489.7605945,1564429.42550441,2183570.61618045,2338814.97806773,4148919.96698126,3969120.06200135,14428008.6935261,14705467.3431937,12565171.4328589,12683996.2264522,2140364.26211503,1979023.5522843,1685918.25945552,1850199.43460758,2167127.7767255,2249759.28341595,4315373.40027156,3968024.99358639,1662899.25061186,1630516.41216959,807039.898890238,946110.964802302,5826868.19833531,6128408.5067558
