"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1041","sp|Q6NVY1|HIBCH_HUMAN",5157682.16287959,4497580.5550245,2677605.20122013,2676287.69909035,8301223.3912758,8571174.85453285,5883197.54530148,5535942.46887369,5679229.65096008,5701635.86257458,5675650.09801504,5899189.87426862,9485654.7749658,9554141.72429016,15098040.6827522,16270361.1139889,15098521.2477664,15719105.8739715,4503035.3949727,4877912.42427719,5202035.27694985,5147005.57903726,5189992.31478664,5403414.63233171,5142672.91584921,5577470.39333581,5676243.93193945,5987251.54381663,5012775.2612181,5699212.55401417,6416603.22236881,6786658.67965544
"1042","sp|Q6NUK1|SCMC1_HUMAN",10185679.3299264,11368339.821078,1433740.58185161,1372429.53000192,1049036.68160008,1088358.83231113,2222247.23383309,2225728.84808917,1871416.18813024,1968511.83031395,2836016.3580594,3062612.5865702,3274963.53589678,3105958.57746576,35821275.4549886,35916320.8599563,37818200.8396434,38393568.3293463,1584974.4752786,1699175.57352556,1652462.14306865,1623193.46968112,1710909.30808796,1683466.73927058,10262440.6334583,10978245.7682535,1743542.77606522,1692950.9051735,1904723.64119358,1882735.2985663,5719191.44911504,5760904.82097422
"1043","sp|P07203|GPX1_HUMAN",30291034.06248,21144825.1339406,4723396.5115255,4453958.74251435,6122253.85864913,5787717.32797515,5777441.00861134,5699182.15651393,7330686.67275028,7085425.00824848,7858592.44340545,8147432.68376519,26062527.1972361,24313373.2749083,26373906.1042223,25389123.3665209,22000702.3896025,22813569.5870029,8952216.48427706,8950509.89700963,7156175.42425026,6260105.62685637,6691981.13329507,6768465.395207,22327487.962567,24095132.5282792,7134016.38605216,6765594.2445128,10107853.0461674,9673864.13393611,16368000.6655679,13635338.3540609
"1044","sp|O75436|VP26A_HUMAN",13874651.5186267,10942465.3280746,6798159.46518624,6722956.5924745,14875046.3368257,15490768.9390516,8444780.8382909,8041084.86510821,7808656.83038983,7699243.14448899,14019340.8403961,11925952.1892795,17958278.4574595,16586665.6663569,16227174.5455586,15232839.9833207,14810930.3668566,15997320.1372276,10154753.0269411,10019227.4966526,7454255.19997316,7199660.83144741,7590163.88620718,7593810.09380018,31181491.8097919,35161045.2449703,6883700.02162927,7005084.30626546,12142774.9082321,11324511.6102072,15231811.3055183,15403522.0840568
"1045","sp|Q9UJ70|NAGK_HUMAN",28838724.2101693,27981325.5649549,6047713.29045789,6176716.36933594,7513564.94602543,8689951.41667508,7353240.72845822,7595489.48131488,6930612.63394857,7359514.54933745,15038047.268245,10745164.8438063,16208497.4795532,15041324.1446466,19682019.4807629,18176236.8559296,19268589.020959,17944819.9800205,8284140.62724146,8282561.39723279,7183110.45213112,7172228.26599583,8066516.55693814,7854951.97179268,28294316.6422186,31591395.9815216,5837487.48970346,6346486.63644563,6791995.14284714,6343310.61447085,17448906.3698979,18952957.737416
"1046","sp|FABPH_HUMAN|",2167933.15232335,2807702.95882035,2614592.70622042,2542120.900722,5141396.99580052,2279402.74404976,2274477.81727079,3223050.00817573,5529487.25117173,4651471.63239943,9022828.36094699,9977653.06924867,2888443.69321341,6161178.22013642,4321175.97520762,8358268.14259292,7680051.83596536,7483865.42744075,9286254.41279486,9484868.6968311,8950590.31261062,9191379.63434426,10445532.6115364,11207996.7983255,2343588.34403936,2549402.53687534,3481565.83536542,5296596.60068589,11430719.5632555,10844012.7944292,6801405.31030875,2364875.48101168
"1047","sp|Q63ZY3|KANK2_HUMAN",2921817.23173751,2873268.90180041,1838772.6308365,1726470.89978855,1030648.788995,1157177.60327346,1937568.17965076,1970510.96544128,2176333.87506732,2240023.41624226,1030814.98831901,912540.495425251,1997646.75305217,2212368.65231876,8317998.54990468,8581479.38044676,9127785.84319351,7481180.81838246,1460067.16092184,1321794.4392305,1981670.1218599,2199912.88541615,1864899.24859124,1855874.85292538,1104790.92682256,1065590.98041585,1550774.25521394,1682835.76281073,1056679.07384059,965755.270220937,999423.213806542,774054.437990364
"1048","sp|Q8NCW5|NNRE_HUMAN",1862433.79054331,1555462.42163939,1616617.73189564,1853965.50660965,2046458.32072055,1482668.9850085,1364823.88381958,1669485.43690883,1821717.35223282,1861105.68334377,4399378.97178413,4866517.34366132,1748861.9828064,2812026.1093256,13611086.1056373,13729408.7757234,9486465.61798551,10231735.8200525,5041398.07852366,4863891.794517,4410928.3499028,4362634.36263584,5483213.00769914,5783824.14028248,2748893.95526764,2457378.68158633,2416165.31629217,2296673.20769333,5065267.78609757,4490100.29676871,6354946.42926092,4103989.93210433
"1049","sp|Q14155|ARHG7_HUMAN",59277.2123293186,160021.879224471,1365546.67008512,1135381.04411457,174675.310169723,576845.721139042,676512.001055104,599358.587244107,549444.145499333,592382.680462406,680266.155129426,761259.849172427,37767.2346568826,34818.6520930157,71212.9660354649,148530.694739402,305960.105806129,330290.641639539,1714735.89987395,1500512.68690067,1598247.75906176,1322171.54634916,1400853.10120516,1196090.53231086,330919.158314014,463488.480978236,1679374.75615359,1473458.86290106,701920.768168795,541974.916301161,723487.825507911,252820.368689613
"1050","sp|Q9P035|HACD3_HUMAN",4357816.397495,4505572.85416496,8652202.95569158,7353233.77301898,45579068.7150166,44991688.3172447,10254376.7322104,9971918.27549428,8302717.12510712,9423046.25024691,17851617.4023037,22080723.3603491,5537201.57856928,4197991.11205791,7947432.35024107,6803054.02000933,7318862.17359225,7107851.3040882,5882422.60350158,5806622.99873393,8216874.81374379,8441813.59839202,7688013.85872461,8322226.94259536,36570885.4559288,37302834.8030396,5879938.5274262,6346486.63644563,41045532.0134778,32741692.858504,8573578.74692416,7876500.748114
