"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"374","sp|P16152|CBR1_HUMAN",24.7994650333168,24.6757296648946,27.6180690965074,27.6997528941011,25.5725364797741,25.6811028369934,26.6997528941011,26.6730355557253,25.5638367848237,25.6403076106838,28.0556898811534,27.7581170566151,25.6430634759743,25.6068199553744,25.2280259766954,25.0400930261023,25.8504318065988,25.8384591649327,26.7517475317394,26.6997528941011,26.3324480056064,26.3135440478815,27.2261893182158,27.2076929745984,24.9539363823526,25.2169707881864,26.9315685693242,26.9649915708616,24.6811028369934,24.7644585834889,26.6180690965074,26.5374184365192
"375","sp|Q969P0|IGSF8_HUMAN",22.1770245523128,21.7832243203397,27.8263863326321,27.9868510048254,23.9671924790549,24.0442687020735,26.9315685693242,26.8857648797111,26.2552989068455,26.2298602999443,27.2624854474388,26.9315685693242,24.5165310700453,24.224350318552,22.8196000724716,22.7459700577506,22.8970753554478,23.1929115794837,27.0813156888289,27.1312409141605,26.4629500298405,26.4999047514579,26.6730355557253,26.7259844356743,24.1014935707665,24.384427534038,27.2076929745984,27.29789078357,25.5521549797761,25.6068199553744,24.3910001879615,24.2169707881864
"376","sp|Q00839|HNRPU_HUMAN",25.2785254587031,25.0649676947414,25.3877176039722,25.4040563407869,23.152363126753,23.190699515385,24.5926340491311,24.4861574210018,24.0019578972156,24.010519910719,26.1927232419397,26.4345992149653,25.5255198532726,25.5869203979367,26.589780052076,26.7770586202685,27.2714185722088,27.3661967969609,25.7720318031937,25.7593875939415,24.7491918268356,24.7593875939415,25.3341543275568,25.4073020002906,24.9759626886826,25.0894207384659,25.2095533166239,25.1642293261144,23.4040563407869,23.4040563407869,25.4983837233351,25.12927672728
"377","sp|Q14894|CRYM_HUMAN",23.0096302853348,22.6316970856684,26.9649915708616,27.071119921723,22.1061242626328,22.202050329872,26.0253822427269,25.980327881244,26.1114776593391,26.1213931282042,26.814211618686,26.6180690965074,24.3975430338282,24.2169707881864,23.2170484224747,23.1999518279174,23.8764270151317,23.9134212226139,26.6320082874653,26.5580077060215,25.7259844356743,25.710302813442,26.2316922938932,26.2642765029648,24.1565349343244,24.2095533166239,26.5739813422292,26.6320082874653,24.9583686286679,25.0442687020735,24.4488442625338,24.1487992855448
"378","sp|P23284|PPIB_HUMAN",26.2462650949805,26.0772460245198,25.1410219349531,25.2020975117049,23.6208677298601,23.8480452137619,24.7695118112152,24.6208677298601,23.9042612233284,23.8190938400658,26.8263863326321,26.7129282828488,26.7644585834889,26.7129282828488,26.1371174804972,26.1114776593391,26.4056800832666,26.3926386833572,25.5811840283876,25.5225298106668,24.4738266190911,24.4613895158529,25.3066080006711,25.2926350581185,24.6096404744368,24.7129282828488,24.7644585834889,24.871735319807,22.7892675003472,22.8895128064019,25.3611845335259,25.0934562517011
"379","sp|P31948|STIP1_HUMAN",23.828808994899,23.8857648797111,25.3811299439374,25.274976391622,24.0019578972156,23.9933447669109,24.4425304886016,24.4105403743571,24.2534966642115,24.2820658164083,25.9911834256214,25.871735319807,24.8764270151317,24.8904112445674,24.6375464710067,24.6208677298601,25.1174351146355,25.1642293261144,25.0484323270151,25.0567237006465,24.29614100162,24.274976391622,24.7845661569375,24.8432601511965,24.4169953964944,24.4488442625338,25.0974805082599,25.1371174804972,23.2678519571886,23.4040563407869,24.9976577597819,25.0649676947414
"380","sp|P02511|CRYAB_HUMAN",22.6925778998073,22.7385508219168,25.5462784134394,25.5954824114402,24.9539363823526,24.6375464710067,24.4234216656538,24.2169707881864,22.8145849253848,22.6813375865314,27.4861574210018,27.2802967235553,25.6208677298601,25.6068199553744,23.7076725573973,23.7389234913818,24.1332024304938,24.337560929,24.828808994899,24.7845661569375,24.274976391622,24.1870693024726,25.4800051940202,25.6567643865508,23.3778247992137,23.6971033156872,24.5869203979367,24.5869203979367,23.213391246764,23.1744730083401,24.7994650333168,24.5926340491311
"381","sp|P52209|6PGD_HUMAN",25.1983551100191,24.723382640486,25.7619253167434,25.6917895157907,24.814211618686,24.7795654758791,25.3811299439374,25.464508857697,24.224350318552,24.2389970945164,26.4551305253812,26.2389970945164,25.6208677298601,25.4361889617277,24.384427534038,24.2678519571886,24.8043973288591,24.828808994899,25.7593875939415,25.8360526672256,24.6971033156872,24.6540345937953,25.2678519571886,25.3341543275568,24.6152650236307,24.7945158173451,25.3238859921029,25.4234216656538,23.8764270151317,23.9042612233284,24.8857648797111,24.664922909938
"382","sp|P49821|NDUV1_HUMAN",22.9562690635395,22.0491563130451,25.9450308291307,26.0505096420477,23.1087272119298,23.2033042316779,25.7050374972294,25.7669874097997,24.9315685693242,24.9042612233284,25.0442687020735,24.7994650333168,23.6971033156872,23.9315685693242,23.718164931215,23.8670283171295,24.3238859921029,24.29614100162,26.0567237006465,25.8068571675469,25.0525839702855,25.0894207384659,25.3169996065177,25.3204469081362,22.9995023497959,22.9766323185035,26.2642765029648,26.1074923113879,23.4676214695644,23.4551305253812,24.2020975117049,23.7593875939415
