"","x"
"1","sp|Q13201|MMRN1_HUMAN"
"2","sp|Q13790|APOF_HUMAN"
"3","sp|P01714|LV301_HUMAN"
"4","sp|P00739|HPTR_HUMAN"
"5","sp|P60900|PSA6_HUMAN"
"6","sp|P35858|ALS_HUMAN"
"7","sp|P01768|HV307_HUMAN"
"8","sp|P17900|SAP3_HUMAN"
"9","sp|P01769|HV308_HUMAN"
"10","sp|P01772|HV311_HUMAN"
"11","sp|P0C0L5|CO4B_HUMAN"
"12","sp|P06889|LV405_HUMAN"
"13","sp|P01876|IGHA1_HUMAN"
"14","sp|P01834|IGKC_HUMAN"
"15","sp|P16930|FAAA_HUMAN"
"16","sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"
"17","sp|TRFE_HUMAN|"
"18","sp|Q16663|CCL15_HUMAN"
"19","sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"
"20","sp|P02748|CO9_HUMAN"
"21","sp|P01619|KV301_HUMAN"
"22","sp|P11142|HSP7C_HUMAN;sp|P34931|HS71L_HUMAN"
"23","sp|P22891|PROZ_HUMAN"
"24","sp|P05546|HEP2_HUMAN"
"25","sp|O95445|APOM_HUMAN"
"26","sp|Q9BYE9|CDHR2_HUMAN"
"27","sp|Q86VB7|C163A_HUMAN"
"28","sp|P03952|KLKB1_HUMAN;sp|P20718|GRAH_HUMAN"
"29","sp|A0M8Q6|LAC7_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN"
"30","sp|P02790|HEMO_HUMAN"
"31","sp|P19827|ITIH1_HUMAN"
"32","sp|P01700|LV102_HUMAN;sp|P04208|LV106_HUMAN"
"33","sp|Q15063|POSTN_HUMAN"
"34","sp|Q96PD5|PGRP2_HUMAN"
"35","sp|P02743|SAMP_HUMAN"
"36","sp|P01613|KV121_HUMAN"
"37","sp|P30101|PDIA3_HUMAN"
"38","sp|P31949|S10AB_HUMAN"
"39","sp|P01621|KV303_HUMAN;sp|P18135|KV312_HUMAN"
"40","sp|P05062|ALDOB_HUMAN"
"41","sp|P02749|APOH_HUMAN"
"42","sp|P07900|HS90A_HUMAN;sp|Q92538|GBF1_HUMAN;sp|Q14568|HS902_HUMAN;sp|Q58FF8|H90B2_HUMAN;sp|Q58FG1|HS904_HUMAN"
"43","sp|P01599|KV107_HUMAN;sp|P01610|KV118_HUMAN"
"44","sp|P20742|PZP_HUMAN"
"45","sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN"
"46","sp|P08107|HSP71_HUMAN;sp|P17066|HSP76_HUMAN"
"47","sp|P06331|HV209_HUMAN;sp|P01825|HV207_HUMAN"
"48","sp|P01591|IGJ_HUMAN"
"49","sp|P01009|A1AT_HUMAN"
"50","sp|O43866|CD5L_HUMAN"
"51","sp|P28827|PTPRM_HUMAN"
"52","sp|Q9BQE3|TBA1C_HUMAN"
"53","sp|P0DJI9|SAA2_HUMAN"
"54","sp|Q76M96|CCD80_HUMAN"
"55","sp|P04003|C4BPA_HUMAN"
"56","sp|P29622|KAIN_HUMAN"
"57","sp|P01042|KNG1_HUMAN"
"58","sp|P00738|HPT_HUMAN"
"59","sp|P00734|THRB_HUMAN"
"60","sp|P27169|PON1_HUMAN"
"61","sp|P18428|LBP_HUMAN"
"62","sp|P18669|PGAM1_HUMAN;sp|Q8N0Y7|PGAM4_HUMAN"
"63","sp|P0DJI8|SAA1_HUMAN"
"64","sp|P04217|A1BG_HUMAN"
"65","sp|Q9NPH3|IL1AP_HUMAN"
"66","sp|P07358|CO8B_HUMAN"
"67","sp|Q9UK55|ZPI_HUMAN"
"68","sp|Q9BXR6|FHR5_HUMAN"
"69","sp|P98088|MUC5A_HUMAN;sp|Q9HC84|MUC5B_HUMAN"
"70","sp|P15169|CBPN_HUMAN"
"71","sp|Q92626|PXDN_HUMAN"
"72","Int_P01008ups|ANT3_HUMAN_UPS"
"73","sp|P02652|APOA2_HUMAN"
"74","sp|P10451|OSTP_HUMAN"
"75","sp|Q14624|ITIH4_HUMAN"
"76","sp|Q96IY4|CBPB2_HUMAN"
"77","sp|P80108|PHLD_HUMAN"
"78","sp|P04196|HRG_HUMAN"
"79","sp|P24821|TENA_HUMAN"
"80","sp|P04083|ANXA1_HUMAN"
"81","sp|P02647|APOA1_HUMAN"
"82","sp|Q14520|HABP2_HUMAN"
