"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"485","sp|P01604|KV112_HUMAN",1359399.98694248,2088141.25287129,1157910.36361667,9050896.05734767,2418820.84468992,5968936.83721676
"486","sp|Q9BUD6|SPON2_HUMAN",7472222.6297647,7562991.17226403,11890787.8110952,4947387.38453047,4491732.53231008,7330332.32590892
"487","sp|P34096|RNAS4_HUMAN",13568623.0710588,6117545.18349835,10915798.194869,19559139.7849462,12358914.7286822,16605464.4808743
"488","sp|Q9UEW3|MARCO_HUMAN",839255.059756863,399968.828472607,2954006.32779762,2836416.76602867,1671514.517,1251049.28412386
"489","sp|Q12866|MERTK_HUMAN",1328045.80813333,1971422.38142574,2875330.66847619,4420790.23106093,8117148.43649612,7053169.72774499
"490","sp|Q99650|OSMR_HUMAN",3715065.51915033,251276.912562376,408641.444847619,2571546.652681,1663237.77420155,1082172.48137705
"491","sp|P32942|ICAM3_HUMAN",2107339.15495425,412241.675078548,18277.009317381,818188.877684588,3987484.25351163,3330124.49604372
"492","sp|P05019|IGF1_HUMAN",4344482.266,5234325.3609769,7559145.6597381,5180608.41428674,9206976.74418605,7113909.08346084
"493","sp|P02462|CO4A1_HUMAN;sp|P29400|CO4A5_HUMAN",1478140.89091503,593153.04239868,776430.261416667,2210294.86496774,1046294.27193023,6368222.51757377
"494","sp|P78417|GSTO1_HUMAN",710326.907197386,527241.694851485,496145.552520238,676503.447499642,393664.314047287,88488.725035337
"495","sp|Q92692|PVRL2_HUMAN",414934.128035294,1654664.98580858,2707607.02204762,1078067.5461147,1341902.6161938,1473467.32455373
"496","sp|O00187|MASP2_HUMAN",12855431.8141438,9971036.92311551,16559523.8095238,3694024.91313262,8875193.79844961,12317668.4881603
"497","sp|Q9BQ51|PD1L2_HUMAN",318822.642733333,96841.9116632343,809169.803091667,1236218.21269534,594672.42456124,1033261.34613479
"498","sp|Q14393|GAS6_HUMAN",289546.104044444,735645.336073927,404953.320697619,2418047.62509677,2627902.7049845,1809412.75400364
"499","sp|Q9BYZ8|REG4_HUMAN",20437.1863198693,89027.3249667327,23947619.047619,54955.7612859498,348.475032663566,22202.2541611658
"500","sp|P23083|HV103_HUMAN",36086274.5098039,38421122.1122112,49805952.3809524,91275985.6630824,76890697.6744186,127074681.238616
"501","sp|P12110|CO6A2_HUMAN",208178.187905882,842113.370918812,1215169.95128333,114009.65989534,639795.712741085,77077.9318001457
"502","sp|P10721|KIT_HUMAN",291327.027150327,474973.543122112,287772.72162619,97156.1790236559,42954.7654303876,212175.840300182
"503","sp|P37802|TAGL2_HUMAN",3919829.39943791,6351846.28149175,5050794.95483333,4108193.61450896,2252291.58463566,2502133.39606557
"504","sp|LEP_HUMAN|",374659.707920261,343871.456937294,136049.665145238,1449057.24658781,177474.15004186,214156.302091803
"505","sp|Q9BUN1|MENT_HUMAN",3275132.2231634,2246619.08988779,3268149.47354762,1128519.97978495,2376865.40232558,2556714.42271767
"506","sp|Q9Y5Y6|ST14_HUMAN",822216.206738562,789138.161635644,1408205.62929762,563937.4866,921366.860713178,828644.387795993
"507","sp|Q86VP6|CAND1_HUMAN",48482.584980915,195791.494579538,3486171.87614286,3053.47489275986,4344.0073377907,24374.1887302004
