"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"2","sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN",34.3367991364503,33.9315285460235,34.4854581760102,34.1916463914053,34.0709558507603,34.6694117901744
"3","sp|P01024|CO3_HUMAN",36.4746711164792,36.0790757463857,36.3298490205476,36.358857672124,36.2169514692614,36.5457566870701
"4","sp|P0C0L5|CO4B_HUMAN",31.2045609192831,31.466319148289,31.7223626273418,30.0869032638355,30.2346941299544,30.3777021147214
"5","sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN",37.7148451672817,38.1101391640971,37.8230172650639,37.82210584345,37.266731609953,37.941443325006
"6","sp|P0C0L4|CO4A_HUMAN",29.9258147826405,28.7175639638988,29.2670461915467,28.0430016680699,28.0229961145248,28.0280360441619
"7","sp|P01023|A2MG_HUMAN",35.3927525002807,35.055619352695,35.5418605839888,36.5242611641636,36.620594470779,36.8548600454131
"8","sp|P02751|FINC_HUMAN",32.7391798465831,32.6920371064061,32.617069022685,33.1234714692868,32.8426976916959,32.625878554345
"9","sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN",33.33930477474,33.2901430799838,33.3308128232757,33.6379996251453,33.5603365994681,33.622674405466
"10","sp|P98160|PGBM_HUMAN",28.5571823089789,28.1718008752228,27.2415342790278,27.8152081727167,28.1852189713519,27.9091499376405
"11","sp|P12111|CO6A3_HUMAN",28.651307357899,28.6970116118483,28.9215832482998,28.1365545606907,28.4324674960132,28.2329090549394
"12","sp|P01031|CO5_HUMAN",29.6892677402796,29.8211882112196,30.0370073120546,29.7073701878556,29.376014373039,29.2858926592043
"13","sp|Q9Y6R7|FCGBP_HUMAN",28.808457007372,28.9218124060364,28.8647970178679,29.7482193178354,29.6695790563463,29.0959830114567
"14","sp|P00450|CERU_HUMAN",34.3714636750554,34.1023710549099,33.9020911188486,34.2539396791907,34.2866871134706,34.5691847764248
"15","sp|P02671|FIBA_HUMAN",33.2454844971655,33.7239931900689,33.0611499250183,33.6578505144329,33.3559851009793,33.5606957396739
"16","sp|P04275|VWF_HUMAN",27.913078560897,28.2093083334903,28.2215861960576,27.7963351179407,27.5754139740011,27.6113199568526
"17","sp|TRFE_HUMAN|",31.0520469145776,32.5138733024746,32.7332428792413,28.7935910113995,28.3500252122039,28.068266608577
"18","sp|P00747|PLMN_HUMAN",32.1371827512542,33.249846776383,32.0272278097876,31.3891729059584,31.8299299510406,31.4076651637184
"19","sp|CO5_HUMAN|;Int_P01031ups|CO5_HUMAN_UPS",28.5339246061656,28.7668044726656,28.5643390511133,27.8879145985132,27.6373279998714,27.494042332941
"20","sp|P02774|VTDB_HUMAN",34.0455589583744,33.9461578823889,33.8060029069508,33.1948367550171,33.325306383909,33.2409796710406
"21","sp|Q14624|ITIH4_HUMAN",32.7323131197472,32.7193150976126,32.5709126384299,31.9049227230106,32.2879238662222,32.212476399997
"22","sp|P06727|APOA4_HUMAN;sp|Q9BT92|TCHP_HUMAN;sp|Q14980|NUMA1_HUMAN;sp|Q15020|SART3_HUMAN;sp|P61129|ZC3H6_HUMAN",32.1428363276087,32.5755616796406,33.987007172122,33.6731705155786,33.3842913422311,33.6752855202157
"23","sp|P10643|CO7_HUMAN",31.9415973523155,31.8945291841537,31.7880979982217,33.6160837233495,33.2736624720986,33.1116011370259
"24","sp|P20742|PZP_HUMAN",27.3295183500782,27.8375660608033,28.5598733305057,25.2933041632443,25.2677694375815,24.6299524116919
