"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"94","sp|P01877|IGHA2_HUMAN",792344771.078386,343670116.117362,839880700.113702,3757802350.45023,2291628563.22272,3197604537.7602
"95","sp|P01860|IGHG3_HUMAN",1041254079.63993,1234794638.31113,1001635501.61708,7342948917.23112,3798452823.97191,4306538097.99354
"96","sp|Q06033|ITIH3_HUMAN",679294328.14605,558679811.87923,362911413.629377,398123924.696348,521110056.842427,458646307.436311
"97","sp|Q92954|PRG4_HUMAN",138833877.285324,97574681.2092008,158644132.243699,382889590.843172,253230188.264794,319760453.77602
"98","sp|Q07954|LRP1_HUMAN",5164667.75586691,3640666.00660404,6362946.55192205,10257784.7944722,14231118.0181868,11950643.2219321
"99","sp|Q99715|COCA1_HUMAN",32725128.217255,9412071.01929459,19389838.385341,5541137.87300994,13812555.7235342,10224581.6142536
"100","sp|Q96PD5|PGRP2_HUMAN",878620109.105694,915302319.307548,866839833.697598,646951377.631566,641446716.555036,626601293.258059
"101","sp|TRFL_HUMAN|",10511707.8516031,8721276.81604362,35254251.6097109,11374969.2770385,8558736.07203113,27669507.2796085
"102","sp|P02749|APOH_HUMAN",7070611036.03115,8099562033.11773,10026723913.7031,5372641738.88695,5378525486.28529,5533901455.92169
"103","sp|P51884|LUM_HUMAN",2270925564.16709,1908318986.48083,2084148403.98585,4814049497.60381,4740217986.94015,4737191907.79289
"104","sp|Q14520|HABP2_HUMAN",368901445.358147,259047826.219117,293439800.163182,258983675.504002,261601434.157845,246549306.11013
"105","sp|O43866|CD5L_HUMAN",125942160.10883,113117550.782348,95601235.2475102,522029840.035518,1203366597.12609,1173531631.70324
"106","sp|Q16610|ECM1_HUMAN",218167521.448367,303949449.430431,253001099.787337,448905037.54027,337989052.931936,394048235.966408
"107","sp|P05160|F13B_HUMAN",60293569.5639122,87212768.1604361,105762754.829133,94148183.2126314,119290253.975977,99265703.158751
"108","sp|P00748|FA12_HUMAN",743752914.028522,499098811.848833,572363143.781189,532186062.604303,609008138.719463,442496789.568836
"109","sp|P07942|LAMB1_HUMAN",6133072.71120019,5738509.08878229,12753743.9646895,30163981.0292897,43216556.922876,38435852.5245923
"110","sp|P03951|FA11_HUMAN",58012727.2942247,67266085.5415641,154496573.230792,61140459.8640821,61319376.1665989,57169293.2508642
"111","sp|P12109|CO6A1_HUMAN",157675617.774047,143339797.174578,109910313.84204,129999648.88044,132893528.552185,237936229.914143
"112","sp|P26927|HGFL_HUMAN",45517678.3385456,57854014.5222695,40749767.3018129,38999894.6641321,50018194.21098,35528939.3084467
"113","sp|P01833|PIGR_HUMAN",37782648.0326489,25818433.3465054,146201455.204978,62663893.2493998,76596899.921417,75256753.262437
"114","sp|P35443|TSP4_HUMAN",25485933.1873774,11052707.2520157,11716854.2114628,15335896.0788644,6494594.45112054,14319239.1758285
"115","sp|P04220|MUCB_HUMAN",42046831.4064125,285156.960791125,481688.212708405,2941841.1125832,365045.858493504,181746.909217552
"116","sp|Q03591|FHR1_HUMAN",256842672.97785,130387405.863622,99852483.2357401,155390205.302401,162192889.177864,145345660.807282
