"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"117","sp|HBB_HUMAN|",179492369.918883,187377927.631828,6864210166.36136,3544521676.50576,110919008.082926,251932478.732622
"118","sp|P05543|THBG_HUMAN",542443791.964802,476648000.243176,408534562.771356,425545725.632066,402866208.603081,333756702.594499
"119","sp|RETBP_HUMAN|",706069433.051077,679568797.448151,1161316523.61401,824685272.585293,1423111801.81868,896836558.907154
"120","sp|P02766|TTHY_HUMAN",5335187569.9646,5681782321.73931,8709873927.10505,5626547303.10656,7282983926.9544,4823322669.75276
"121","sp|P08571|CD14_HUMAN",566243885.213715,447289246.605009,708195701.453899,818591539.044023,866423949.930783,1141232595.96829
"122","sp|P08123|CO1A2_HUMAN",76556966.6173359,77455300.0395161,78803621.2452362,127968404.366683,291947200.520155,218556808.473172
"123","sp|P18206|VINC_HUMAN",7986101.33329447,6710236.51652967,9741875.2293729,4850030.65010884,14335758.5918499,16257181.3199256
"124","sp|P08519|APOA_HUMAN",16660065.2742389,13384137.6879877,45830527.0926242,8417293.60800455,9307225.53939298,37251554.5476441
"125","sp|K2C1_HUMAN|",90242020.2354607,81945462.3606474,114057872.854947,133046515.651076,204049118.643119,253009113.25712
"126","sp|GELS_HUMAN|",28560111.8986953,28754308.710322,17938192.7308235,119843426.311656,92711548.2655403,77625349.2163335
"127","sp|P02763|A1AG1_HUMAN",37187645701.4261,24005098562.9715,21152550965.8266,15132771627.4888,25532299973.8057,16903162034.6246
"128","sp|P01857|IGHG1_HUMAN",61880242.447173,51118771.0405725,33698916.9798707,105624714.715358,228116450.585641,478025728.877282
"129","sp|P01019|ANGT_HUMAN",2568426729.7785,3099938987.08877,2892922411.50275,2041400736.32566,3024112578.86469,2422427680.12136
"130","sp|P08185|CBG_HUMAN",1150337840.36411,1018921449.79519,794257550.971723,888669474.768635,1023384810.42549,1141232595.96829
"131","sp|P04278|SHBG_HUMAN",343118011.005158,385981261.066485,189750824.840503,228515007.797649,191492249.803543,197024117.983204
"132","sp|P02538|K2C6A_HUMAN",2593690.16382745,13902233.340426,10125106.6202301,30367105.4806654,124522282.659134,50386495.7465244
"133","sp|P04259|K2C6B_HUMAN;sp|P12035|K2C3_HUMAN",2593507.37018627,14074931.8912387,10783653.4335586,30367105.4806654,121383065.44924,49417524.6744758
"134","sp|P15144|AMPN_HUMAN",37782648.0326489,12779692.7601431,22293129.694376,46718623.8164082,45309368.3961388,46187621.1009807
"135","sp|P27169|PON1_HUMAN",738794561.268332,610489377.123053,546440899.95052,417420747.577039,380891688.133822,341293144.265988
"136","sp|K22E_HUMAN|;sp|Q7Z794|K2C1B_HUMAN",90341187.2906645,88076260.9144999,106799644.58236,152343338.531766,296132823.466681,282078245.418577
"137","sp|Q13822|ENPP2_HUMAN",21122582.75841,12175247.8322985,14516456.5451751,48242057.2017259,50750678.2266219,60506860.2768092
"138","sp|P02452|CO1A1_HUMAN",448235089.521189,395479681.361186,396091885.732635,737341758.493747,571337532.200733,585689181.327121
"139","sp|Q15113|PCOC1_HUMAN",45616845.3937494,56645124.6665803,56717869.5015055,101562225.687844,86537754.4194151,107663452.449838
