"Protein","S0","S0.1","S0.2","S0.3","S0.4","S0.5","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","S1.8","S1.9","S1.10","S1.11","S1.12","S1.13","S1.14","S1.15","S1.16","S1.17","S1.18","S1.19","S1.20","S1.21","S1.22","S1.23","S1.24","S1.25","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|P35080|PROF2_HUMAN",1080618.21,824786.3964,4.9e+07,49700000,833313.6176,836094.5548,27800000,25100000,1.5e+07,14900000,8791107.544,8760101.22,4503796.601,4961911.295,3098149.197,4463138.554,5630969.424,4864135.216,37400000,34300000,23700000,21600000,23500000,29100000,692749.6338,682564.3009,27800000,27600000,6648902.242,6976600.21,7017280.014,7219288.866,0.991,1.6831,0.92213,0.793957,0.820425,0.916892321465358,0.914289262258794,0.81689711878096
"sp|Q9H3G5|CPVL_HUMAN",4224326.575,3651117.815,6446959.929,7348971.301,386250.1101,410998.6184,3124887.905,2756161.082,3864096.977,3666045.548,4024808.826,2843414.207,6643901.431,5282145.765,8650742.586,8227139.127,12500000,12500000,3139814.249,2957005.76,3221285.677,2956831.654,4158130.588,4304105.766,7309088.09,7719766.738,5696730.376,6666904.852,601432.8223,629729.3419,8496637.071,7608520.887,0.666,1.682,0.922463,0.794129,0.820371,0.917243194523381,0.914640132899074,0.81684398024748
"sp|Q86XE0|SNX32_HUMAN",18334.9988,19503.7217,169468.3381,180866.9492,73062.2586,69247.8263,70795.0473,119987.8821,92623.3734,83391.1788,8910.6929,4524.2431,515.4638,370.6596,2127.8016,4795.1047,951.517,1594.2122,67104.1298,86796.8554,54561.3945,35981.5187,50276.5532,42042.9053,17933.6118,12920.9382,244872.8583,100490.6483,27393.4246,27962.0029,50463.8923,1445.8932,-1.325,-1.6816,0.039643,0.834642,0.012725,0.0360385461385371,0.0361442459372644,0.0113652506034526
"sp|P13010|XRCC5_HUMAN",17100000,16200000,22900000,25500000,9299241.601,10600000,19900000,18100000,13100000,13600000,59400000,57400000,26200000,23900000,37300000,37300000,54700000,54700000,27900000,28300000,14600000,14300000,18100000,19500000,26200000,28400000,24300000,2.7e+07,8294217.724,7545316.866,22800000,21600000,0.39,1.681,0.922769,0.794285,0.820322,0.917579647150165,0.914976478949026,0.816795437837941
"sp|O00499|BIN1_HUMAN",4895549.307,3950869.86,82700000,82400000,8169328.396,8427110.136,39900000,41600000,26200000,2.6e+07,1.08e+08,9.1e+07,17200000,19400000,8767645.282,7822355.62,12700000,11700000,51100000,50800000,3.1e+07,33900000,48100000,54300000,13100000,14600000,4.5e+07,5.2e+07,20200000,19200000,2.2e+07,17700000,0.658,1.6793,0.923288,0.794551,0.820238,0.918126044820874,0.915522836876023,0.816712409323836
"sp|Q08211|DHX9_HUMAN",13100000,1.2e+07,19600000,21100000,8369809.651,7934645.973,16100000,1.5e+07,9422125.272,9754095.58,4.7e+07,41300000,30200000,24100000,41700000,38800000,54300000,55400000,26600000,26700000,10700000,11400000,16500000,1.7e+07,27200000,29500000,14800000,17100000,5004687.428,6125827.914,20100000,17600000,0.463,1.6792,0.923318,0.794567,0.820233,0.918158091211128,0.915554881210433,0.816707505486891
"sp|Q9Y5K8|VATD_HUMAN",7432081.691,4519869.695,49100000,53200000,4391139.843,4417457.707,3e+07,28800000,20600000,19300000,50500000,38600000,9610979.695,12700000,7988824.695,7828712.802,12800000,12100000,45600000,4.8e+07,22900000,23400000,32200000,31200000,7969809.921,8244846.633,31500000,33700000,14600000,14700000,13700000,11500000,0.553,1.6782,0.923626,0.794723,0.820183,0.918496090974006,0.915892757277484,0.816658340790311
"sp|Q16623|STX1A_HUMAN",5711726.097,3690300.906,1.22e+08,1.25e+08,6933155.56,7181702.423,1.02e+08,97300000,57900000,5.8e+07,1.55e+08,1.18e+08,22600000,20500000,4026052.229,3926880.793,5332656.682,5385853.688,1.19e+08,1.22e+08,5.3e+07,47400000,59500000,58200000,17700000,18900000,76800000,89900000,34800000,34300000,11200000,9941534.149,0.777,1.6766,0.924117,0.794974,0.820102,0.919013535063798,0.916410132563132,0.81657921382488
"sp|P05166|PCCB_HUMAN",1811005.962,1221421.275,8455278.25,9593304.404,1073081.892,995376.8036,7513671.615,7337307.086,5043783.45,4971669.785,7811642.732,5043088.969,2126312.149,2438376.658,1652259.256,1734660.596,2267812.606,2537585.604,9747411.196,9801795.987,5693181.993,5604233.207,5585174.34,5349747.215,1635763.435,1596637.306,7178913.363,8857208.212,4954047.582,5021806.047,2828956.773,2043704.376,0.545,1.6734,0.925104,0.795475,0.81994,0.92006760015643,0.917463926557008,0.816419231719613
"sp|Q15836|VAMP3_HUMAN",70525.8336,81307.3186,1980187.983,1823680.082,10539.4819,26447.0868,464555.2131,398505.8294,279841.5829,297370.0298,430361.7131,281488.7167,782413.9955,880553.6317,858123.5092,681094.8832,959202.2829,1153315.544,547596.8273,345388.1543,318661.8694,274692.774,635272.7909,603244.1294,26332.9685,32015.7566,375532.3805,382969.5606,56104.8514,55372.5234,1303057.819,1489019.388,0.975,1.6731,0.925197,0.795522,0.819925,0.92017956200457,0.917575785499483,0.81640411416519
