"Protein","S0","S0.1","S0.2","S0.3","S0.4","S0.5","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","S1.8","S1.9","S1.10","S1.11","S1.12","S1.13","S1.14","S1.15","S1.16","S1.17","S1.18","S1.19","S1.20","S1.21","S1.22","S1.23","S1.24","S1.25","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|O14562|UBFD1_HUMAN",176.7734,373.8983,6712.2619,0,111.378,34.28,14745.9742,375.1186,3328.6596,2089.8794,42242.8601,5047.7943,17027.1606,4471.1428,36962.1828,27512.1361,66386.1571,71736.1521,2010.3415,5793.715,973.2758,4327.8677,15445.8916,14321.8856,13294.0687,14909.3402,24369.0756,7297.1555,579.8713,114.3718,54385.9019,62568.0246,3.829,4.6903,0.052007,0.049581,0.813035,0.0436319450736343,0.0421052547571917,0.806239576876978
"sp|Q9H1E3|NUCKS_HUMAN",1067958.567,596592.1129,4979374.597,4996108.345,1801778.527,1811067.521,3953939.73,3826908.029,5069029.624,4804038.292,28800000,24100000,7762064.405,7060781.188,29500000,26600000,34300000,34500000,19200000,2e+07,7116507.957,8097809.45,13800000,14600000,8229568.003,9418168.718,11200000,12300000,4586585.36,4224517.675,4911383.419,4688363.133,1.664,4.5221,0.068846,0.057433,0.813293,0.0589259405151278,0.0534495326050746,0.806497520134453
"sp|Q01433|AMPD2_HUMAN",406723.4189,409654.358,1388973.077,1808251.458,188729.0457,275100.1679,1604087.256,1802809.082,1209325.133,1231654.901,2353210.229,1988937.84,961103.4127,933184.7629,1833220.9,1764919.826,2525888.188,2732325.901,2327235.187,2177452.363,1369815.778,1400687.63,1855894.818,1854529.73,676840.8929,667099.2977,2016774.276,2455431.774,728050.6923,863571.9552,1090317.52,976138.7706,1.032,4.449,0.077915,0.062378,0.813448,0.0672145011481934,0.0604673606719591,0.806652135077774
"sp|Q15370|ELOB_HUMAN",345383.2143,47195.6032,891556.2798,1078633.526,367112.0643,316769.2724,736117.9428,926690.5944,722543.7522,662063.3007,3748365.803,2990145.137,1228022.287,1227722.381,1754189.678,2109635.505,2023427.617,2452115.863,2722406.851,2161953.606,1231613.656,1013408.233,1950687.146,1637962.904,811045.1655,927013.6896,947103.0168,1181955.289,664340.8741,753042.9662,1125806.261,605177.7839,1.288,4.228,0.110445,0.081267,0.81415,0.0964020063697502,0.0879164460456436,0.807356843895154
"sp|Q13085|ACACA_HUMAN;sp|O00763|ACACB_HUMAN",71299.5462,32430.9657,1759418.46,1496685.251,174312.3887,542100.5275,1292053.912,1230641.45,706202.069,714354.3831,2039246.491,2194135.895,883942.7563,1118196.699,887307.2465,1007722.987,1341026.835,1227758.607,3082237.77,1381875.548,931236.5618,790182.4662,1401907.539,1062959.909,733827.0025,745651.7374,1109692.272,1418448.091,980522.383,847194.0186,819523.1366,630407.0062,1.381,4.1638,0.125471,0.088401,0.814431,0.109912784425401,0.10059047050924,0.807641098034825
"sp|P52888|THOP1_HUMAN",556153.8806,364608.4601,995987.3001,1562529.653,524310.8726,344415.379,1279512.531,1391764.817,882810.8907,911519.9582,2209485.549,1473351.739,939478.3645,1108668.682,1364738.016,1572551.78,2450204.992,2060979.299,1907896.147,1926999.145,1017881.255,1128232.514,1489086.657,1494408.634,807413.0498,1008144.026,1686682.072,2115039.682,913051.0967,940607.8171,840564.2802,602448.2572,0.744,4.1484,0.129767,0.090297,0.814503,0.113792347380324,0.104202670137475,0.807714196890275
"sp|Q9NQP4|PFD4_HUMAN",792667.0977,521822.672,4849420.575,5281317.26,1360150.625,1131622.86,3092129.022,3429048.263,2917870.27,2943859.121,9319009.849,9557702.951,3582768.943,3152890.405,3248428.181,3213963.451,4615621.329,5002165.69,5998559.665,5760537.501,3469451.693,3453719.108,4085259.931,4145132.169,3081077.769,3418818.007,7039750.569,6960366.463,2209524.859,2393073.436,3636667.722,3195004.498,0.916,4.1237,0.137305,0.093514,0.814621,0.120618867463832,0.110538330265141,0.807834953924862
"sp|P78330|SERB_HUMAN",25818.7961,30563.5716,559253.2941,557902.447,174470.7519,131389.4822,345758.7401,361850.4162,248812.7481,230696.0554,1450124.607,1410800.671,626700.4409,562544.9508,991927.363,1082922.525,1491278.017,1489196.318,694952.4643,652087.6261,319979.4086,272170.2461,491772.7338,452383.9032,1833098.496,2305475.882,482902.9433,583644.0803,477163.4113,404656.4714,2826776.083,2871569.989,1.693,4.1186,0.138966,0.094207,0.814646,0.122126413895062,0.111934615413002,0.807860390460401
"sp|Q8IYD1|ERF3B_HUMAN",4438.7966,4302.2738,274202.8875,289950.7634,4470.077,7443.6599,132130.1828,159213.4904,134762.7834,129965.7987,780364.6301,741042.2476,121475.1461,89122.691,128136.0506,137611.4398,275605.8,336966.3378,451460.6425,511149.8506,86956.4236,117578.4044,251135.6485,176431.4804,273142.3077,304234.526,318467.2264,366018.7249,13299.857,13633.7982,219841.3702,201860.1715,2.259,4.1082,0.14247,0.095653,0.814698,0.125305545669454,0.114876789000745,0.807912757823691
"sp|A6NL88|SHSA7_HUMAN",86.4544,394.066,813583.2433,832673.3177,0,0.89,237521.9152,274579.6772,262160.7097,295354.1458,159375.3874,113170.4067,28673.096,15938.0449,38195.9792,86096.2622,5605.4966,34660.9497,377704.563,406051.5058,134806.6113,114351.7832,166783.7184,157393.0632,2134.8811,9020.6467,380151.6616,363611.1281,108926.8066,122841.5058,15994.1653,21973.3159,5.142,4.1048,0.14365,0.096135,0.814715,0.126380718782158,0.115870614204801,0.80793001735409
"sp|Q86TP1|PRUNE_HUMAN",19080.3516,24475.8956,354388.007,548011.0559,124343.682,121865.9878,313262.9537,296237.9019,200566.6349,251996.404,615324.8782,594857.8669,243875.0104,273212.1797,343338.0691,451008.9503,530837.5798,505476.5907,608524.3148,756497.3712,226870.9598,273036.046,429542.5174,493863.2727,275179.4641,286183.2389,383572.1838,343995.4163,209904.3789,210254.8236,543210.4777,473616.8613,1.191,3.9442,0.222041,0.125442,0.815559,0.198200400695978,0.181949118873665,0.808794489554524
"sp|Q5HYI8|RABL3_HUMAN",5218601.963,1151187.655,2495680.971,3676937.148,3638904.339,1917512.463,4626042.753,6415180.157,4297812.992,3531524.197,18800000,13600000,3675419.546,6028719.747,6341172.761,5342169.171,9752082.643,9149542.55,13800000,13800000,5940535.867,5488155.607,8096998.063,8033134.703,4074180.246,4949834.769,4770716.243,6598227.807,5448735.994,5598388.553,9133590.602,2954925.362,0.888,3.9342,0.22856,0.127758,0.815613,0.204212735512324,0.187476417725063,0.808849610286363
"sp|P23588|IF4B_HUMAN",447471.3827,45866.9732,73079.6383,526009.7352,367099.5365,40830.5588,510993.0372,325394.2333,267455.3443,264037.1972,942562.8901,2077497.042,324404.1817,1008932.003,631409.5804,1497380.429,2771782.709,2168570.064,1443942.67,1503728.987,847386.6895,998732.1326,1024570.252,1065254.435,437716.378,163601.6268,456907.0951,328430.0978,451251.8232,625790.4111,674141.4814,217724.703,1.537,3.9058,0.248207,0.134699,0.815764,0.222361509127077,0.204170964417848,0.809005653321174
"sp|Q8IUD2|RB6I2_HUMAN",352271.2029,416307.052,1225694.098,1472307.953,237259.7609,197716.2135,1695391.542,1541823.157,948138.7502,1041583.848,1910737.002,1619043.212,758825.8365,677080.6893,980722.9828,939568.6504,1962003.073,2074913.892,2416116.959,2156888.071,1061477.584,1001216.3,1235525.821,1197017.253,1597784.359,1833134.156,3624946.295,3671910.604,355360.7453,468006.3301,1625606.972,1270733.262,1.033,3.884,0.264431,0.140402,0.815878,0.237384911843069,0.218004914534747,0.809124563443993
"sp|Q86VS8|HOOK3_HUMAN",15457.2718,19128.0232,119436.7659,227907.9297,18933.0567,19684.5269,63484.1353,63737.4712,115798.4939,99856.2581,389609.4207,194846.1711,81790.3192,96175.5521,139403.7921,127410.9478,162360.1631,202178.1126,137441.4948,136312.5442,95265.6259,124256.915,237414.8692,157493.348,171761.728,144587.5382,218510.18,269983.8502,45870.0385,41617.2736,112485.7836,105431.298,1.163,3.8781,0.268992,0.142003,0.815909,0.241614893478484,0.22190278846521,0.809156566380597
"sp|P06727|APOA4_HUMAN",653607.6571,464478.1703,1.1e+07,11100000,463956.1757,539267.0198,339515.0667,271701.3232,145559.0989,147189.0651,2399156.136,2181098.071,1345087.281,1461141.222,150000.6009,131521.5165,180852.9582,169254.6738,423057.6991,327030.5606,172006.9005,213911.4711,251405.4701,261793.097,159756.738,194062.5961,335176.7089,352172.8179,96672.8658,90525.0304,114901.9172,69414.3328,-1.709,-3.8661,4e-06,0.813114,3e-06,3.14689201575432e-06,0.0118797934732468,2.48712425137596e-06
"sp|Q9UBB4|ATX10_HUMAN",470188.588,265487.9683,3401702.398,3168660.237,1189705.561,1152492.149,2586262.984,2245678.109,1483455.17,1450209.633,5278782.117,5716289.815,2126329.316,1844647.843,2444474.804,2130236.478,3224324.684,3342839.132,5689594.55,4842709.648,1918889.735,1842078.576,2669168.071,3063443.037,4040877.194,4544337.115,2851311.893,2802979.135,1737273.57,1817717.968,2595376.609,2386476.976,0.915,3.8384,0.301529,0.15344,0.816114,0.271873068679256,0.249828787346738,0.809369307261993
"sp|Q14624|ITIH4_HUMAN",4254107.066,3997302.195,1.1e+07,1e+07,8091204.009,9353936.123,814976.1385,638978.8638,669900.4342,726021.6448,9086001.711,8185097.804,1.7e+07,17900000,1690299.85,1709204.421,1921663.343,1958731.287,2192719.049,2031726.84,698030.6126,709542.3658,1087992.842,1011529.656,1082055.282,1112414.942,1389035.79,1716609.774,860290.4535,803795.2949,883444.7507,893705.1548,-1.466,-3.8337,5e-06,0.813177,4e-06,3.84608799500465e-06,0.0116600072728682,2.75549916353227e-06
"sp|P13671|CO6_HUMAN",604306.6496,592296.1216,1433873.996,1429862.814,225924.3344,273989.1371,143002.8642,82286.8915,32122.301,44190.3037,227848.4803,285823.6675,1648431.686,1282344.276,326099.1837,301613.8901,125096.9232,144679.6112,122872.0429,137764.3738,43702.6718,58828.8511,72179.5376,76659.1162,150279.7832,216304.7304,186436.5901,273095.8347,86773.9718,107724.155,60432.2172,115063.431,-1.445,-3.7887,7e-06,0.813267,4e-06,5.2555243204698e-06,0.0116533761058544,3.2368087345178e-06
"sp|Q92522|H1X_HUMAN",1537558.395,884791.4795,400192.6595,322522.7733,166333.4006,130183.2373,667042.885,548698.3811,49170.3709,52881.8604,272652.7595,210454.29,87440.6472,92811.4847,106998.6409,146823.3548,128667.8625,151284.9303,79162.4677,107260.3628,31901.9701,55538.9964,21594.5307,9018.8463,84424.9699,96005.9001,35902.5459,35880.6016,50242.9323,22830.4832,29784.6915,30224.8082,-1.66,-3.7873,7e-06,0.81327,5e-06,5.31041365588574e-06,0.0116591250789681,3.25416644725283e-06
"sp|P37802|TAGL2_HUMAN",1582384.814,893727.8088,10100000,10500000,1054320.745,1064475.148,8563624.549,7845479.638,4916241.008,4431833.767,11900000,8055131.133,17100000,15800000,13900000,11800000,1.7e+07,16900000,7711372.314,11500000,3191875.046,4651870.318,5513745.217,5420956.985,3170997.664,3190537.395,7241092.631,7455131.634,2788497.346,3509318.804,7158344.406,7713880.729,1.122,3.7439,0.390084,0.185561,0.81657,0.355069112664229,0.327182465114579,0.809849858174031
"sp|Q86W92|LIPB1_HUMAN",301.0349,4518.0401,0,20087.8637,1259.7714,0,3355.3575,8136.5707,3185.9513,5379.3631,42888.438,12786.0496,17831.9263,14307.9886,281256.2516,280859.0605,203498.4126,231678.9793,35024.4443,59287.9825,14270.8942,12126.5448,20419.2558,6711.097,4472.6512,8026.3521,4094.4974,7531.7449,2938.9986,2143.1064,8461.9047,14402.085,2.972,3.7181,0.416012,0.195575,0.816686,0.379668102371093,0.350288042423711,0.809973128329843
"sp|Q7L2E3|DHX30_HUMAN",73227.6684,81600.1564,1241903.585,1198223.031,34794.1087,15051.9696,831682.7956,727934.9467,439703.0586,452833.9345,661163.9218,589147.2252,694336.9265,610619.214,926366.5538,729260.1918,841987.1605,1063729.216,573835.9208,569245.124,509338.5557,485936.0997,689677.2591,577630.9554,304699.4453,328358.7172,649773.9502,742090.6053,147097.8525,208566.6567,418939.2907,445289.595,1.434,3.7007,0.433607,0.202631,0.816761,0.396437443197769,0.366122082140402,0.81005416568568
"sp|P32189|GLPK_HUMAN;sp|Q14410|GLPK2_HUMAN",73540.5472,67821.8165,771971.1676,800368.4945,16777.7306,54702.3377,1253987.639,1089369.762,481403.2217,450503.749,850930.798,632342.1062,373741.9839,388097.7501,190264.277,190976.1275,279222.5625,260373.2846,816745.1468,829006.1008,413967.0419,400411.6738,389210.076,412524.4652,293655.3793,272203.8728,829856.8271,882915.7935,246336.6737,268391.6775,416302.7566,247939.5842,1.261,3.6919,0.442492,0.206292,0.816799,0.404927870544071,0.37416835534736,0.810094504326967
"sp|Q96AB3|ISOC2_HUMAN",453.1503,1129.8782,1861230.95,2111894.491,10582.0676,7527.4937,1310460.344,1158801.051,1153658.8,1243363.965,433237.7574,1034745.595,679558.6995,768415.994,565762.2723,477413.3861,533041.7456,714969.8772,785753.2857,719281.1934,1104800.25,1160722.122,1309131.225,1193461.551,95514.3344,87714.4822,2303629.499,2487021.209,48046.9753,64110.4151,357681.7928,412566.8659,3.201,3.6857,0.448735,0.208907,0.816825,0.410903665632667,0.379844228926832,0.810122665817913
"sp|Q9BTT0|AN32E_HUMAN",55943.2707,85081.3991,33209.151,23008.5834,27255.6946,6297.4723,88279.8532,72333.851,20411.5016,28503.8463,261309.9092,206714.9097,356020.1014,345660.4424,485227.0006,473491.8129,1307245.599,1511608.579,421641.3507,394692.5027,211944.6626,218839.8371,334015.6504,321243.6813,1112743.962,1068618.231,34434.443,29050.8924,42616.4239,64529.4827,667816.9967,780402.4781,2.017,3.6709,0.463542,0.215273,0.816886,0.425100962725936,0.393375480885055,0.810189034712483
"sp|Q96DH6|MSI2H_HUMAN",394032.3029,458931.2706,1348390.117,1633623.198,695548.6996,736601.9756,2632730.216,2627849.936,857659.5644,1071983.878,6959414.829,5443534.557,1618277.063,1382149.461,2700512.378,2051688.105,3850876.114,3367481.413,3196615.159,3125631.108,969313.8598,992911.183,1543914.054,1557886.521,2372121.533,2498229.92,1794195.078,1804984.6,707306.6264,813390.2076,3004510.451,2999458.612,0.956,3.6268,0.506151,0.235224,0.817061,0.466135618222658,0.432925667692772,0.810379988390031
"sp|Q6A1A2|PDPK2_HUMAN",74987.7484,122895.1787,1256044.69,1296339.519,128203.9618,130934.8205,943351.2393,1016084.718,806535.8065,693881.5081,1558129.691,1139496.972,422322.1022,549711.0634,1265889.622,1144035.23,1605783.824,1550464.245,1494251.395,1508909.824,854125.6531,915652.4918,1054857.55,1067088.038,270770.7787,396488.3909,1302579.215,1684338.243,563591.8466,546251.5106,398481.0538,287766.5982,1.186,3.6016,0.5289,0.247244,0.817156,0.488206207102029,0.454532478154257,0.810484983969065
"sp|Q8N2F6|ARM10_HUMAN",266550.5055,297030.6507,2561505.459,2617828.726,704946.3529,685391.9766,2540936.005,2469780.896,1579716.359,1471343.485,4558335.005,3773562.905,2135847.586,1793805.723,1164040.837,1007239.076,1584199.407,1700309.174,3547228.684,3265363.345,1410097.61,1488448.523,1851963.171,2169101.287,1594396.591,1887313.352,3493889.118,4230471.043,1344996.381,1369699.271,1756496.157,2959327.274,0.944,3.5736,0.552325,0.261077,0.817258,0.51099402283952,0.477172798444803,0.81059876330552
"sp|Q7Z2Z2|ETUD1_HUMAN",1810.139,4026.3877,3633.9208,4437.0557,7695.4734,6670.3016,10935.585,14476.7722,1786.5981,5500.4771,60016.7056,37942.2969,10681.676,10892.9593,38489.1936,45466.9929,55539.1779,67486.015,58129.551,38070.5946,88514.9397,85032.3997,28879.4676,54349.8449,85243.9316,84209.6376,4762.3186,4114.1089,3985.763,3841.0457,18329.2724,22552.7761,1.647,3.4404,0.63206,0.331713,0.817713,0.589808458324718,0.559743303433175,0.811123001798946
"sp|Q7L523|RRAGA_HUMAN;sp|P07864|LDHC_HUMAN;sp|Q5VZM2|RRAGB_HUMAN",53079.1463,4597.1319,109044.7971,81467.4116,4524.421,39309.6776,42012.2901,44512.5692,22221.444,32577.8826,863530.852,15400000,24809.0897,2748394.126,143811.8037,3402576.743,5002119.764,4541283.507,5159498.227,5529261.978,1451797.794,1499452.227,2622006.603,3386450.985,308614.6856,450632.1129,176736.9836,38360.2958,565069.5352,490675.3405,215170.06,180056.8582,2.917,3.433,0.635014,0.335768,0.817738,0.592800080796669,0.563090964894751,0.811152499695993
"sp|Q15043|S39AE_HUMAN",19310.0037,8107.1972,409468.3374,465001.2432,105171.7671,74086.517,154236.0916,325536.3496,61675.1621,79710.5113,775995.891,690277.9535,682856.7059,472653.6458,136885.4032,200339.2116,423085.6827,452332.9426,567297.2919,512339.6465,196782.3675,254517.2571,188118.936,330924.7814,597197.2976,683421.9442,434611.1268,401098.1203,156915.9167,134233.4053,676979.3344,771886.9302,1.457,3.3896,0.649743,0.359567,0.817886,0.608091023256636,0.580591300888329,0.811329126665788
"sp|Q96S19|CP013_HUMAN",27821.1848,22010.2554,622135.5013,701308.4144,27436.6847,27730.9629,417722.2308,406490.9621,249271.8558,244084.752,516605.7463,556001.3222,188500.9234,194073.0737,154960.5295,150109.8096,208503.0388,242491.2006,506287.2679,438970.4399,241507.0939,227679.9957,257282.1873,316848.7801,141011.9335,172294.9485,329935.053,394112.8048,145388.0109,192252.1252,175226.2184,249844.2658,1.189,3.3848,0.65112,0.362193,0.817902,0.609539422023,0.582294707027719,0.811349131766095
"sp|O95373|IPO7_HUMAN;sp|O15397|IPO8_HUMAN",279485.3787,184852.5681,2290267.822,2665341.336,326726.262,375415.6804,1615779.112,1737208.079,1118221.088,1343607.626,4312817.09,4170308.519,2152694.729,2410261.563,1460392.195,1362525.159,2542282.415,1884463.652,1815382.39,1954345.925,1389640.198,973995.8164,1833304.163,1316174.43,1215825.205,1236796.438,2368162.785,1942309.888,386809.2864,470341.9593,3628164.657,2526074.856,1.049,3.3847,0.651148,0.362248,0.817903,0.609570470784336,0.58233096088435,0.811349549733211
"sp|Q9UMY4|SNX12_HUMAN",397662.2689,251024.0996,2269241.456,2192018.666,250623.699,236389.7466,1302583.189,1274523.086,905758.7165,905459.2963,3797685.87,2541419.223,1245631.483,1086933.551,1370883.51,1504979.656,1568336.895,1704324.564,1940456.905,1783426.424,978900.8455,835672.9943,1386978.643,1390243.198,744455.1087,923404.5795,2048010.792,2310306.805,914638.3613,797039.23,1274997.785,1078870.195,0.892,3.3801,0.652421,0.364762,0.817919,0.61095611877816,0.583958636543142,0.811368827816583
"sp|Q9P260|K1468_HUMAN",493469.9003,173236.0929,2509806.079,2702329.902,98358.791,172163.0679,2181849.329,2109153.079,1642516.403,1781253.582,1900103.423,1223904.252,754853.9598,1063847.906,1067751.328,979476.5337,1442859.852,1789208.556,2405144.282,2405729.013,1150134.621,1100010.676,1537211.47,1425645.689,1282274.877,1135165.851,2717395.798,3073359.861,743601.3407,926165.3758,966750.7659,914597.7948,1.097,3.3623,0.656944,0.37446,0.817981,0.615819079001205,0.589778030199364,0.811444466448679
"sp|Q69YN2|C19L1_HUMAN",0,0,3437.6039,0,314.3124,13.5547,58.1398,377.0074,1289.769,505.2398,124.7314,4179.838,3770.6303,2340.5612,121718.2879,129667.1887,164724.4659,144590.5335,2469.6459,5160.5333,7.264,3.1107,50.5643,10664.7936,1636.6031,807.4152,1914.5162,337.2968,117.6638,636.0847,9351.5404,772.5486,4.67,3.3439,0.660974,0.384416,0.818048,0.620315049264165,0.595265286005477,0.811524599497608
"sp|O95834|EMAL2_HUMAN",4302056.909,1418979.406,4180097.371,4344164.041,2350808.469,2025201.906,3647148.429,4569633.906,2243039.2,2128342.485,9816969.76,8940832.918,2916975.848,5958843.776,6848374.378,6357043.16,1.1e+07,10900000,1.3e+07,1.3e+07,6455545.232,6286537.187,9232561.248,8870417.966,5936661.438,6543784.584,3616705.348,4109084.467,5354555.408,5265400.131,8946047.257,5789844.804,0.781,3.3341,0.662871,0.389684,0.818084,0.622448444720174,0.59792956870786,0.811568185925594
"sp|P33316|DUT_HUMAN",1092772.565,671248.9718,1574359.976,1528067.188,207196.4229,219332.472,1459587.091,1237079.213,875059.215,868163.4854,2813884.563,2018951.097,1736474.443,1652135.868,2255350.507,2244331.811,2480714.841,2362459.765,3360328.02,2769297.202,1588329.818,1480532.913,1863439.849,2143593.874,753884.7934,790588.0263,1767790.228,2589453.448,901712.4842,827410.3153,1105884.926,706935.1323,0.833,3.3258,0.664337,0.394122,0.818115,0.624187078862574,0.600112921519655,0.811605640347096
"sp|P00352|AL1A1_HUMAN",49300000,44300000,2.8e+07,27900000,46600000,49300000,3.2e+07,31500000,13600000,14100000,36800000,31400000,20700000,17900000,24900000,23600000,3.2e+07,31500000,30700000,30600000,1.3e+07,11900000,30300000,28700000,12100000,13300000,25800000,27600000,7359110.399,7388804.403,14400000,14400000,-0.674,-3.3205,0.000255,0.813915,4.8e-05,0.000201791664734324,0.0168152238453396,3.65324048442302e-05
"sp|Q99653|CHP1_HUMAN",312871.3683,284998.1935,1982412.813,2210348.461,156546.1064,146047.1954,1829516.924,1795038.899,997679.0503,1044515.944,2736037.542,2457496.042,1072214.635,916462.5139,909892.3714,857237.341,1520939.441,1626792.533,2024667.724,2129751.727,897404.781,838923.9476,1231210.008,1253053.953,1123416.313,1429747.729,2055089.316,2178142.523,571264.4148,629683.2601,1729424.054,1711079.792,1.026,3.3109,0.66666,0.402029,0.818171,0.626921242868747,0.603651123385448,0.811674219597105
"sp|Q96K76|UBP47_HUMAN",225882.2604,198745.5254,765468.0561,963176.9863,100898.3398,99789.3177,642685.8988,495964.7833,430096.2355,439120.1036,1608339.736,1009884.503,407598.4459,405280.9489,903712.4946,877072.7593,1122098.275,1062438.861,883342.6229,811815.9651,392556.4757,438188.2829,554736.9502,685640.2422,868484.3417,1016547.897,1530082.946,1423030.899,215140.7061,252375.1881,888756.7126,383918.8856,0.918,3.3097,0.666829,0.402662,0.818176,0.627145279966079,0.603938249556937,0.811679822301493
"sp|Q3MHD2|LSM12_HUMAN",341553.4863,104317.4725,1456401.241,1730068.253,48430.9966,100153.5146,861513.5288,685786.3827,456418.5513,501456.2897,1831379.047,1218901.752,728387.2115,620745.6974,1844657.33,1725498.126,2362837.169,2599547.035,968947.0837,1012301.197,536154.6174,622219.7464,678323.7109,729294.1691,1038029.218,1001699.018,1213243.198,1390260.108,189064.7079,415236.7119,1116848.003,1163975.799,1.179,3.2943,0.668801,0.410736,0.818236,0.629581762811903,0.607198476474323,0.811752849629285
"sp|Q6PI78|TMM65_HUMAN",621479.1172,510937.8329,6226864.769,6220626.795,473190.4719,513390.2008,8022800.613,7946197.641,3189322.537,3269414.074,7014264.511,6156476.198,2317104.929,1808757.904,1915389.777,1967581.236,2501962.205,2297518.941,6876338.014,7394232.729,2858860.302,2963434.101,3942714.614,4246537.768,2025966.12,2249056.568,6827602.368,7485572.032,2892643.493,2565244.031,1890946.412,1592872.945,1.066,3.2927,0.668977,0.411569,0.818243,0.629835486054407,0.607535762725538,0.811760562501774
"sp|A5YKK6|CNOT1_HUMAN",41937.6712,42842.9129,65123.1891,72486.9297,20983.7944,10523.9767,67251.9156,78103.9274,30733.5665,32809.6043,320713.7289,518356.3576,183549.1523,161037.5209,321769.2205,388302.3244,376623.4209,413234.0057,185825.6994,132246.4643,88952.8237,55844.6815,135036.7399,121738.8452,140294.9928,208276.9516,62445.1721,99402.7384,34582.0652,30951.069,286389.9817,256953.1994,1.306,3.2834,0.669948,0.416387,0.81828,0.631127753375338,0.609319359850214,0.811805885922084
"sp|Q15819|UB2V2_HUMAN",103302.9525,220547.8942,91178.9051,88869.1943,52015.4669,176143.9653,137365.1335,190644.8984,272091.7495,287221.5156,180908.3955,123025.7167,167665.7705,423293.9545,387735.5498,344335.094,684632.097,681303.8635,896774.7096,747710.9503,486555.1768,490214.3888,986736.2884,675262.1339,63915.9153,311684.2898,306055.542,662639.4357,85063.4572,187813.9167,513506.1102,206384.2625,1.056,3.2504,0.672229,0.433123,0.818419,0.63454405823936,0.614454791972332,0.811974236217252
"sp|Q15056|IF4H_HUMAN",399925.0482,187580.7697,1894970.305,1975905.627,80490.1555,116927.734,521503.4699,1024334.185,534438.7574,531261.3184,3218398.341,2941225.729,1712675.668,1362496.148,2647614.108,2273647.983,3232991.775,3070048.845,1311144.285,1326269.941,652853.11,855850.6801,873528.0627,994939.0789,1533541.231,1539243.232,1421357.999,1634355.34,523665.1,551341.7202,810537.9215,621706.5358,1.154,3.2432,0.672502,0.436692,0.818451,0.635054028491684,0.615333352959063,0.812012704946971
"sp|Q13492|PICAL_HUMAN",0,0,642.9376,111935.7574,4605.3813,566.4846,5380.718,11421.9994,4905.32,13637.9794,0,99654.2053,98530.1364,85349.4909,41928.1853,34028.3857,35552.6541,45021.5517,90946.727,28936.2323,12342.3862,9300.1161,30295.2312,13842.4728,791.445,2817.7057,59306.3366,63945.2165,30447.5892,40907.3619,20510.8534,28543.7201,2.56,3.21,0.672714,0.452709,0.818607,0.63649895451185,0.618431577428079,0.812199512047392
"sp|P21359|NF1_HUMAN",0,0,194453.5442,212768.5299,5371.2312,1647.3938,82513.3808,116478.3643,35013.921,34746.6248,234394.1746,163424.734,36945.9702,36564.5102,67154.9022,50737.2502,60090.7409,57498.8038,86282.1582,107849.9838,41807.2994,51103.8004,72206.6601,79449.6094,4776.3858,33237.095,75772.9756,66950.0826,29382.9432,24093.8061,50156.1919,35543.923,1.822,3.2062,0.672642,0.454494,0.818626,0.636534670680924,0.618653484381324,0.812221975019775
"sp|Q8NE86|MCU_HUMAN",23392.238,15236.476,1196223.583,524029.0894,109185.781,59175.698,621639.5906,660895.6532,624343.8878,471428.5895,433038.407,441645.0671,259309.49,261966.3416,204884.7091,236524.8211,299357.6048,303776.1208,785285.6551,770493.4287,279796.5528,358829.0274,225160.0255,260450.5607,402719.8894,351842.8674,966512.7678,916548.7349,497477.0547,418425.7035,209302.4711,96754.5102,1.272,3.2016,0.672518,0.456639,0.818649,0.636604245411708,0.618944011243119,0.812249491349062
"sp|O43169|CYB5B_HUMAN",2855269.99,1009449.397,142280.4474,236658.9531,554397.6338,117285.4478,366603.766,985914.2107,437267.9377,236765.4435,11200000,1.1e+07,1180536.655,5057342.033,4011574.315,4624997.9,5766576.536,6728532.611,9556965.863,9192290.689,4019254.297,3934757.558,5692708.535,5574499.301,566934.7637,646008.6801,510597.9414,924533.0604,3309961.426,3542468.992,6725191.917,884940.8547,1.708,3.183,0.671757,0.465149,0.818745,0.636487169443849,0.619710172426525,0.812364556476469
"sp|Q9Y653|GPR56_HUMAN",48773.4178,369844.393,408618.4496,346073.7406,68429.0099,79051.7757,1056755.095,1085317.578,222150.2009,148648.6351,445314.7246,224312.4771,428761.0449,444390.9206,156106.7189,91039.2639,395009.0349,440790.7447,1544031.852,1398446.123,455539.7081,523740.8643,1122436.139,1246917.591,405601.8248,479858.4418,446993.427,360997.1572,527120.4899,438237.2621,611055.7513,243194.5645,1.069,3.1787,0.671518,0.467077,0.818769,0.636422271539052,0.619844177281851,0.812392073521081
"sp|P30531|SC6A1_HUMAN",1050684.755,559606.3089,23500000,22300000,328184.3839,407819.9281,24700000,22900000,9884740.24,10300000,6318908.545,1336915.505,5071969.975,6596356.35,5061920.348,4845463.208,5928850.981,5962755.866,19200000,18900000,11600000,11400000,11200000,12200000,3180951.372,1971341.909,17600000,22100000,6501053.12,6296679.036,4430916.6,3616444.047,1.49,3.1734,0.671195,0.469433,0.818798,0.636278952591377,0.619945617279133,0.812426488230887
