"Protein","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q92859|NEO1_HUMAN",6413878.037,4064884.324,6488897.646,9801850.223,6851690.556,9154965.484,0.434,1.684,0.233654,0.032804,0.747182,0.237786979649666,0.233690159523953,0.749570991636178
"sp|P55268|LAMB2_HUMAN",1122853.988,1671726.872,1917828.961,2893549.4,2.86e+08,3859151.08,2.194,1.6813,0.234588,0.032956,0.747491,0.238711289110525,0.234600561234066,0.749877949847685
"sp|Q6UX71|PXDC2_HUMAN",7824730.744,4367004.633,3259440.915,8009180.869,10700000,7488930.993,0.566,1.6788,0.235455,0.033097,0.747777,0.239569147701454,0.235445519727117,0.750162147851471
"sp|P55058|PLTP_HUMAN",4.29e+08,3.39e+08,4.14e+08,4.78e+08,6.32e+08,5.43e+08,0.334,1.6713,0.238067,0.033523,0.748634,0.242154344087012,0.237991886241253,0.75101459036765
"sp|Q9UEW3|MARCO_HUMAN",600028.1502,283155.5024,2319033.005,3697945.223,2015190.399,1604733.778,1.103,1.6691,0.238837,0.033649,0.748886,0.242915971115412,0.238742086449878,0.751264591211297
"sp|P26022|PTX3_HUMAN",531406.0654,913145.0305,1452986.496,1257370.797,1637101.056,4202113.644,0.808,1.6677,0.239328,0.03373,0.749046,0.243401422071934,0.239220257151992,0.751423669830412
"sp|Q86SQ4|GP126_HUMAN",1873510.022,401890.3764,750065.8381,1620005.796,1919154.015,1543142.738,0.739,1.6643,0.240522,0.033925,0.749434,0.244582895819992,0.24038402236441,0.751809959494166
"sp|P13591|NCAM1_HUMAN",3687827.535,5632691.855,4829488.146,4947176.353,13800000,11100000,0.657,1.6331,0.251925,0.035761,0.752992,0.256117474208151,0.251736428892443,0.755343718413972
"sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN",2.5e+11,3.94e+11,2.63e+11,2.32e+11,1.6e+11,1.99e+11,-0.416,-1.6298,0.838811,0.430118,0.432252,0.843597850691664,0.824833710801123,0.438166685068782
"sp|IGF2_HUMAN|;sp|Q99996|AKAP9_HUMAN;sp|P30533|AMRP_HUMAN",33300000,28600000,29600000,56700000,39300000,39700000,0.377,1.6175,0.257862,0.036707,0.754763,0.262318076364333,0.257833900635475,0.757103045593636
"sp|P13473|LAMP2_HUMAN",6264318.082,1452759.815,3189862.873,5747829.263,7354252.606,5900003.672,0.717,1.6093,0.261092,0.037212,0.755692,0.265479640347738,0.260945280737869,0.75802417488434
"sp|P08571|CD14_HUMAN",5.71e+08,5.18e+08,6.83e+08,8.06e+08,8.28e+08,1.06e+09,0.415,1.605,0.262797,0.037479,0.756178,0.267147097649484,0.262586292939247,0.758506560701054
"sp|P02452|CO1A1_HUMAN",4.52e+08,4.58e+08,3.82e+08,7.26e+08,5.46e+08,5.44e+08,0.328,1.596,0.266388,0.038042,0.757193,0.270658383886435,0.266041942637568,0.759514700166169
"sp|P02750|A2GL_HUMAN",5.3e+09,7.61e+09,4.94e+09,2.34e+09,4.75e+09,3.57e+09,-0.497,-1.5759,0.866264,0.42759,0.448943,0.870529954296356,0.85158209306909,0.454805731315017
"sp|P49747|COMP_HUMAN",2.17e+08,1.42e+08,1.04e+08,1.01e+08,71100000,1.18e+08,-0.471,-1.5614,0.873633,0.426867,0.453453,0.877711524699241,0.858715587128831,0.459299189564861
"sp|ANT3_HUMAN|",1.42e+08,22300000,9323943.374,88300000,1.38e+08,91100000,1.178,1.5601,0.281447,0.040354,0.761212,0.285773164629535,0.280903184991675,0.763502147664006
"sp|P07737|PROF1_HUMAN",8762198.056,5812557.004,2.9e+07,25800000,16700000,5.1e+07,0.858,1.5601,0.281447,0.040354,0.761212,0.285773164629535,0.280903184991675,0.763502147664006
"sp|O75882|ATRN_HUMAN",2.16e+08,1.99e+08,2.12e+08,3.14e+08,3.71e+08,2.54e+08,0.38,1.5471,0.287188,0.041217,0.762653,0.291837968824686,0.286858505971806,0.764930762258827
"sp|Q8IWV2|CNTN4_HUMAN",189750.5155,9131.7363,217270.9136,587810.2841,131011.6038,389979.2687,1.511,1.5439,0.288635,0.041432,0.763006,0.293244541190468,0.2882412365047,0.765280741879832
"sp|P00751|CFAB_HUMAN",1.56e+10,1.68e+10,1.09e+10,1e+10,1.09e+10,9.32e+09,-0.358,-1.5334,0.887719,0.425418,0.462183,0.891491143032793,0.872404069328007,0.467993517739247
"sp|P50895|BCAM_HUMAN",631392.1042,1178175.938,368825.5712,175582.7963,285603.1404,534878.5555,-0.756,-1.5325,0.888169,0.42537,0.462464,0.891924003496563,0.872834377572151,0.468273292253627
"sp|K1C10_HUMAN|",20400000,65300000,67500000,63400000,1.35e+08,1.02e+08,0.729,1.5308,0.294611,0.04232,0.764445,0.299048310322482,0.293946640648884,0.766708158635392
"sp|P10721|KIT_HUMAN",208285.211,336254.6345,225915.0338,126666.2334,51786.5864,272160.1316,-0.749,-1.5308,0.889018,0.42528,0.462995,0.892740945800897,0.873646518520221,0.468801801661612
"sp|P08253|MMP2_HUMAN",1.43e+08,2.21e+08,2.56e+08,2.49e+08,3.23e+08,3.34e+08,0.4,1.5289,0.295485,0.042449,0.764653,0.299896160704332,0.29478012269972,0.766914463410041
"sp|TRYP_PIG|",6.24e+09,4.09e+09,3.86e+09,5.51e+09,7.65e+09,6.86e+09,0.373,1.5234,0.298023,0.042827,0.765254,0.302359140310818,0.297201364803141,0.767510599879174
"sp|P0C0L4|CO4A_HUMAN",8.43e+08,3.53e+08,5.18e+08,3.13e+08,3.32e+08,3.27e+08,-0.483,-1.5184,0.895183,0.424613,0.466869,0.898672411336591,0.879543737675146,0.472658539951153
"sp|P02763|A1AG1_HUMAN",3.75e+10,2.78e+10,2.04e+10,1.49e+10,2.44e+10,1.57e+10,-0.432,-1.5109,0.898884,0.424203,0.469214,0.902521732975892,0.883361015368968,0.474992702400541
"sp|Q9UM47|NOTC3_HUMAN",2353789.526,3024895.715,1968455.929,4733382.503,3310982.994,2766225.902,0.361,1.5053,0.306717,0.044089,0.767216,0.311307142044167,0.305985042805614,0.769455298801544
"sp|Q9UK55|ZPI_HUMAN",60800000,6.7e+07,49200000,37800000,35100000,51200000,-0.355,-1.4892,0.90944,0.422987,0.476007,0.912535728084808,0.893327959574399,0.481750843498405
"sp|Q16363|LAMA4_HUMAN",1293122.733,1959782.552,5781134.359,6838086.736,8115341.716,3002430.52,0.818,1.4862,0.316132,0.045452,0.76926,0.320430582662471,0.314948456670697,0.771483666792103
"sp|Q6FHJ7|SFRP4_HUMAN",4523149.545,3201871.736,380657.272,4649603.691,7896628.488,6566284.748,1.212,1.4795,0.319581,0.045937,0.769971,0.324297880740386,0.318737597362415,0.772187210362296
"sp|P35590|TIE1_HUMAN",1069667.81,1364523.513,372245.5911,1085373.553,1807187.883,2577970.025,0.703,1.4768,0.320979,0.046134,0.770256,0.325654368318754,0.320069537320996,0.772469754790334
"sp|P39060|COIA1_HUMAN",16700000,20400000,26300000,2.8e+07,39500000,31100000,0.418,1.4704,0.324309,0.046602,0.770929,0.328884900899057,0.323241577585857,0.773137246104156
"sp|CRP_HUMAN|",2.72e+08,2.28e+08,3.1e+08,2.67e+08,4.75e+08,5.3e+08,0.43,1.4675,0.325826,0.046816,0.771233,0.330355754202318,0.324685784997522,0.773438652616145
"sp|Q9UBP4|DKK3_HUMAN",33100000,27700000,16600000,56200000,37300000,42700000,0.615,1.4652,0.327033,0.046986,0.771474,0.3315254053599,0.325834240367138,0.773677228372859
"sp|P04278|SHBG_HUMAN",3.46e+08,4.47e+08,1.83e+08,2.25e+08,1.83e+08,1.83e+08,-0.438,-1.4621,0.922258,0.421408,0.484499,0.925056730020548,0.905785965978399,0.490195912629733
"sp|P05155|IC1_HUMAN",1.18e+10,1.32e+10,1.01e+10,1.41e+10,1.87e+10,1.43e+10,0.309,1.4608,0.32935,0.047313,0.771932,0.333770670296025,0.328038801821981,0.774132463627768
"sp|P02786|TFR1_HUMAN",861458.3708,1854537.54,1017792.233,1886129.022,1431689.661,2286216.39,0.45,1.4583,0.330671,0.047499,0.772192,0.335050877718985,0.32929579149099,0.774390429412922
"sp|P14314|GLU2B_HUMAN",24602.4199,792798.8079,257188.5577,38598.9187,64844.4634,0,-1.87,-1.4541,0.925965,0.420929,0.487007,0.928515992420016,0.909235575392857,0.492688713543951
"sp|P13671|CO6_HUMAN",8.69e+08,9.48e+08,6.69e+08,6.34e+08,6.06e+08,5.17e+08,-0.348,-1.4471,0.929189,0.420505,0.489202,0.931522813222546,0.912234415614003,0.494869422615543
"sp|Q12906|ILF3_HUMAN",623.0074,426018.8782,172129.8219,11758.6968,0,1423.2813,-3.336,-1.4428,0.931136,0.420242,0.49055,0.9339831547087,0.914664586163105,0.496209098268814
"sp|P14543|NID1_HUMAN",1232316.904,1948590.889,1791748.266,1913985.725,2287104.487,3534801.761,0.42,1.4275,0.347599,0.04984,0.775345,0.35198521531157,0.345908059176986,0.777517350932806
"sp|P43652|AFAM_HUMAN",1.73e+09,1.88e+09,1.97e+09,2.57e+09,2.36e+09,2.26e+09,0.253,1.4195,0.352117,0.050463,0.776148,0.356367416688261,0.350208249429233,0.778314797488874
"sp|P30041|PRDX6_HUMAN",6300.2119,15895.1899,363959.1975,14220.6576,0,0,-2.783,-1.4092,0.945791,0.41813,0.50108,0.948231905437249,0.928876982145823,0.506667821715873
"sp|P62258|1433E_HUMAN;sp|P27348|1433T_HUMAN;sp|P61981|1433G_HUMAN;sp|Q04917|1433F_HUMAN;sp|P31947|1433S_HUMAN",67100000,58500000,52600000,16900000,29800000,68400000,-0.579,-1.3896,0.953749,0.41685,0.507213,0.955392871387808,0.936059010479905,0.512757639043158
"sp|P05543|THBG_HUMAN",5.47e+08,5.52e+08,3.94e+08,4.19e+08,3.85e+08,3.1e+08,-0.297,-1.3889,0.95403,0.416804,0.507432,0.955645573015837,0.936312519302009,0.512974831963599
"sp|P03951|FA11_HUMAN",58500000,77900000,1.49e+08,60200000,58600000,53100000,-0.427,-1.3842,0.955912,0.416491,0.508901,0.95733676042042,0.93800922517743,0.514432556425792
"sp|P19823|ITIH2_HUMAN",5.61e+09,5.55e+09,5.11e+09,4.58e+09,4.33e+09,3.29e+09,-0.298,-1.3841,0.955952,0.416484,0.508932,0.957372638331274,0.938045222372266,0.514463560899298
"sp|Q16610|ECM1_HUMAN",2.2e+08,3.52e+08,2.44e+08,4.42e+08,3.23e+08,3.66e+08,0.341,1.3817,0.374469,0.053483,0.779846,0.378958465095288,0.37235293826338,0.781985395877209
"sp|P98160|PGBM_HUMAN",3.21e+08,2.33e+08,1.25e+08,2.71e+08,3.75e+08,3.12e+08,0.446,1.3727,0.380007,0.054222,0.780701,0.384377361588695,0.377665577049849,0.782834820048486
"sp|P63104|1433Z_HUMAN",78800000,79200000,8.8e+07,29100000,49300000,85300000,-0.487,-1.361,0.964667,0.414917,0.516142,0.966067860417031,0.946749265162762,0.521616974516782
"sp|O14498|ISLR_HUMAN",29600000,26100000,26400000,33400000,30800000,45200000,0.276,1.3566,0.390062,0.055564,0.782207,0.394204919366024,0.387299771889232,0.784330793387761
"sp|Q14767|LTBP2_HUMAN",6635716.204,7247839.618,6632948.103,6463712.373,15200000,12100000,0.44,1.339,0.401309,0.057058,0.783815,0.40550096241444,0.398367161347705,0.785929140167418
"sp|P00747|PLMN_HUMAN",4.36e+09,9.78e+09,3.9e+09,3e+09,4.3e+09,2.85e+09,-0.495,-1.335,0.973743,0.413095,0.524228,0.975073318866959,0.955789383954064,0.529634210328497
"sp|P04003|C4BPA_HUMAN",2.82e+09,3.04e+09,3.64e+09,2.37e+09,2.09e+09,2.62e+09,-0.281,-1.335,0.973743,0.413095,0.524228,0.975073318866959,0.955789383954064,0.529634210328497
"sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN",1.05e+10,1.09e+10,1.01e+10,1.39e+10,1.37e+10,1.23e+10,0.262,1.3328,0.405335,0.057592,0.784372,0.409457526972409,0.402244440796615,0.786482677136409
"sp|CO5_HUMAN|;Int_P01031ups|CO5_HUMAN_UPS",3.17e+08,3.55e+08,3.14e+08,2.84e+08,2.56e+08,2.32e+08,-0.248,-1.3296,0.975471,0.412708,0.525902,0.976562633747623,0.957299917393454,0.531294564477882
"sp|P04075|ALDOA_HUMAN",3048079.718,6808500.49,8771538.608,1843882.542,3491994.594,4446522.861,-0.596,-1.329,0.975663,0.412665,0.526088,0.97672728619781,0.957466936897755,0.53147889915132
"sp|P02647|APOA1_HUMAN",5.72e+10,5.98e+10,5.78e+10,4.27e+10,5.25e+10,3.44e+10,-0.285,-1.3196,0.978635,0.411986,0.528998,0.979285086526346,0.960062068803118,0.534362832182842
"sp|P06727|APOA4_HUMAN;sp|Q9BT92|TCHP_HUMAN;sp|Q14980|NUMA1_HUMAN;sp|Q15020|SART3_HUMAN;sp|P61129|ZC3H6_HUMAN",4.55e+09,6.56e+09,1.58e+10,1.43e+10,1.22e+10,1.29e+10,0.531,1.3046,0.423997,0.060067,0.786838,0.42796815787302,0.420379542896446,0.788936876366127
"sp|P55290|CAD13_HUMAN",6629711.732,4517926.457,9549873.689,7639395.83,16800000,9716416.688,0.483,1.2971,0.429056,0.060738,0.787476,0.432969666344172,0.425279265560362,0.789571508282416
"sp|Q14624|ITIH4_HUMAN",6.67e+09,6.92e+09,5.76e+09,4.26e+09,5.84e+09,4.88e+09,-0.272,-1.2571,0.994972,0.407263,0.548161,0.997025158878561,0.977994135148375,0.553350996656297
"sp|Q86UD1|OAF_HUMAN",9955373.772,20600000,14900000,21300000,25200000,18300000,0.387,1.2543,0.45856,0.064676,0.790961,0.462235093988695,0.453944960404918,0.793043630194697
"sp|LEP_HUMAN|",267864.1837,243441.709,106805.3446,1889191.457,213964.1622,274700.4903,0.887,1.2369,0.470778,0.06633,0.792301,0.47425404302003,0.465719014328111,0.79438098351317
"sp|K1C9_HUMAN|;sp|P35527|K1C9_HUMAN",72100000,43700000,25900000,6.4e+07,52900000,94300000,0.484,1.2143,0.486863,0.068523,0.793976,0.490377952556678,0.481509254926517,0.796052198690055
"sp|Q99972|MYOC_HUMAN",51700000,17300000,6577642.691,2648040.012,6.56e+08,4.87e+08,1.62,1.2124,0.488214,0.06871,0.794113,0.491371620414952,0.48248797987267,0.796189357096029
"sp|Q02818|NUCB1_HUMAN",3049323.931,4235562.875,3045742.841,2861816.88,6692455.168,7450176.603,0.437,1.2005,0.496643,0.069887,0.794961,0.499881959082643,0.490823272926088,0.797036962454345
"sp|Q14520|HABP2_HUMAN",3.72e+08,3e+08,2.83e+08,2.55e+08,2.5e+08,2.29e+08,-0.257,-1.1748,1,0.400527,0.572607,0.999979401381847,0.981868742833598,0.577544402553388
"sp|Q8NBJ4|GOLM1_HUMAN",51800000,30200000,47300000,58300000,79700000,49700000,0.365,1.1635,0.523087,0.073641,0.797463,0.526134081045119,0.516544000779116,0.799538894552156
"sp|P19652|A1AG2_HUMAN",5.15e+09,8.36e+09,5.38e+09,4.04e+09,5.63e+09,4.32e+09,-0.28,-1.1509,1,0.398468,0.579463,0.999871025475707,0.982035889532444,0.58432963311897
"sp|P02745|C1QA_HUMAN",59400000,40500000,42300000,1.77e+08,1.44e+08,28400000,0.692,1.1443,0.536868,0.075644,0.798682,0.539475920984223,0.52962344392206,0.800757666599475
"sp|Q9BTY2|FUCO2_HUMAN",1096194.693,734116.6991,2750324.085,1453608.04,3424701.248,2447569.415,0.555,1.1341,0.544031,0.076723,0.799307,0.546808864598299,0.536808995731,0.80138461524711
"sp|P80108|PHLD_HUMAN",60900000,52400000,53800000,32900000,43700000,54200000,-0.273,-1.1169,1,0.395459,0.589017,0.999859818501533,0.982391164074549,0.59378301750953
"sp|P20851|C4BPB_HUMAN",79400000,64800000,81400000,79200000,47300000,50700000,-0.265,-1.1154,1,0.395324,0.589433,0.999879709355038,0.982425982719467,0.594194694393569
"sp|P31946|1433B_HUMAN;sp|P27348|1433T_HUMAN;sp|P61981|1433G_HUMAN;sp|Q04917|1433F_HUMAN",44900000,36900000,37200000,9212212.989,19400000,54300000,-0.602,-1.1122,1,0.395036,0.590319,0.999918802165208,0.982496892605155,0.59507141367854
"sp|P02792|FRIL_HUMAN",34600000,24500000,48700000,43500000,13100000,14800000,-0.528,-1.1102,1,0.394855,0.590871,0.999940919874177,0.982538876181653,0.595618304670735
"sp|Q9Y624|JAM1_HUMAN",301880.7588,29430.1323,32547.8235,41484.8471,2300192.578,930178.6491,1.693,1.0971,0.570033,0.080727,0.801449,0.572691742913872,0.562188169407589,0.803530727043246
"sp|P10586|PTPRF_HUMAN;sp|P23468|PTPRD_HUMAN",3241739.288,1761785.22,4051945.78,4355650.887,3408284.12,4256626.189,0.35,1.0871,0.576989,0.081833,0.801995,0.579862194197851,0.569217421355785,0.804077194833463
"sp|Q9NPH3|IL1AP_HUMAN",7683859.54,8690309.7,7108232.533,5471597.837,5788378.101,7136013.002,-0.221,-1.084,1,0.392457,0.598036,0.999832599414589,0.982697327925985,0.602705626107928
"sp|Q6UXB8|PI16_HUMAN",28200000,32400000,64500000,54100000,53600000,50300000,0.313,1.0816,0.580831,0.082446,0.802288,0.583824537245946,0.573101653535046,0.80437132237934
"sp|P01042|KNG1_HUMAN",6.51e+09,8.73e+09,8.18e+09,5.88e+09,6.27e+09,6.46e+09,-0.219,-1.0706,1,0.391209,0.601646,0.999992210962711,0.982981039555987,0.60627659668014
"sp|P35443|TSP4_HUMAN",25700000,12800000,11300000,15100000,6206573.821,13300000,-0.406,-1.0664,1,0.390815,0.602769,0.99948921017279,0.98253487091247,0.607387830910076
"sp|P12259|FA5_HUMAN",12700000,9959541.483,13900000,11900000,11900000,5.6e+08,1.283,1.031,0.614897,0.088223,0.804793,0.617255008694125,0.605930836439023,0.806884850268441
"sp|P06748|NPM_HUMAN",20596.1395,2684357.848,13412.7509,137096.924,4171.5946,19260.7751,-1.549,-1.0249,1,0.386841,0.613678,0.999636965356749,0.983054489066586,0.61817497750501
"sp|Q14651|PLSI_HUMAN",0,0,128391.2163,68.2456,0,0,-4.103,-1.0244,1,0.386792,0.613808,0.999647793194107,0.983069314035993,0.618302777629334
"sp|P59665|DEF1_HUMAN",1.39e+08,70800000,2.71e+08,55400000,36300000,2.03e+08,-0.635,-1.0208,1,0.38644,0.614737,0.999721816125059,0.983172122167756,0.619221467756788
"sp|P49746|TSP3_HUMAN",485847.2554,260736.747,925945.6281,67290.5491,351405.1172,477379.3174,-0.791,-1.0052,1,0.384904,0.618732,0.999962388430425,0.983537552675233,0.623172237174494
"sp|Q6UVK1|CSPG4_HUMAN",1339402.472,830669.0859,1019065.657,617794.6102,564548.1983,1157649.124,-0.317,-0.9919,1,0.383577,0.622099,0.999593830585654,0.983290823138192,0.62650000636937
"sp|P15941|MUC1_HUMAN",2977986.313,12500000,617621.2939,4643598.656,13300000,9847082.514,1.071,0.9915,0.640352,0.09291,0.806507,0.642778328096936,0.631013942028994,0.808605672848495
"sp|P07225|PROS_HUMAN",3.16e+08,2.73e+08,3.88e+08,4.56e+08,3.13e+08,4.52e+08,0.232,0.9894,0.641676,0.093164,0.806592,0.644161618095169,0.632373054516348,0.808691380425392
"sp|P04004|VTNC_HUMAN",3.47e+09,4.23e+09,2.84e+09,2.36e+09,3.18e+09,2.79e+09,-0.224,-0.988,1,0.383186,0.623079,0.999681190562608,0.983407000904432,0.627469036791084
"sp|Q9Y5Y6|ST14_HUMAN",587846.1665,558665.5677,1105507.223,735226.9101,1110806.776,1062910.675,0.287,0.9803,0.64742,0.094267,0.806955,0.650164046966052,0.638270618687486,0.809055628396913
"sp|P08195|4F2_HUMAN",10400000,2613793.179,2814189.697,7038622.253,8855419.169,6324107.509,0.519,0.9777,0.649063,0.094584,0.807057,0.651881403781452,0.639957986812913,0.809157551769245
"sp|Q9NZP8|C1RL_HUMAN",33100000,30200000,23400000,62800000,3e+07,30800000,0.295,0.9771,0.649442,0.094657,0.807081,0.65227786342208,0.640347524325689,0.809180936280527
"sp|Q86WI1|PKHL1_HUMAN",6722.002,498312.1025,1215779.506,1307333.792,223787.8896,840358.798,1.338,0.9767,0.649695,0.094706,0.807096,0.652542200161311,0.640607245970977,0.809196497521679
"sp|Q99542|MMP19_HUMAN",309663.9477,219691.5017,841804.8317,1588629.838,192144.4085,1947009.187,0.795,0.9709,0.653244,0.095415,0.807319,0.655237678945325,0.643277053043971,0.809420828964609
"sp|Q06828|FMOD_HUMAN",1818946.552,807998.1516,3297698.542,1765142.146,5071841.924,2706945.471,0.47,0.9638,0.657528,0.096288,0.807586,0.65971857608056,0.647683901209583,0.809689938644516
"sp|Q96SM3|CPXM1_HUMAN",862149.3332,1820563.646,1679512.569,569163.6542,1069575.685,1377974.348,-0.395,-0.9623,1,0.380573,0.62946,0.999459724347549,0.983394831577864,0.633777306704597
"sp|Q92692|PVRL2_HUMAN",296658.5121,1171410.025,2125598.036,1405517.969,1617807.827,1890031.685,0.568,0.9612,0.659098,0.096609,0.807683,0.661360552533742,0.649298765178802,0.80978679508178
"sp|Q96IY4|CBPB2_HUMAN",80800000,98200000,88600000,61200000,84800000,67600000,-0.22,-0.9477,1,0.379063,0.633025,0.999794067738911,0.983828641399053,0.63730052199117
"sp|P07858|CATB_HUMAN",36900000,23600000,23600000,25200000,36800000,5.2e+07,0.3,0.9433,0.669908,0.098835,0.808323,0.672679157517229,0.66043079802426,0.810428719645679
"sp|P01019|ANGT_HUMAN",2.59e+09,3.59e+09,2.79e+09,2.01e+09,2.89e+09,2.25e+09,-0.213,-0.9419,1,0.378459,0.634429,0.999892047447221,0.983966330844755,0.638688405654831
"sp|P26927|HGFL_HUMAN",45900000,6.7e+07,39300000,38400000,47800000,3.3e+07,-0.244,-0.9409,1,0.378354,0.634671,0.999906932752385,0.983988073880168,0.638927011090861
"sp|P17936|IBP3_HUMAN",17200000,37200000,40100000,2.4e+07,11600000,27300000,-0.394,-0.9351,1,0.377746,0.636066,0.999981605021234,0.984102585996934,0.640306917822955
"sp|O00299|CLIC1_HUMAN",686922.2657,2378288.266,2981122.824,681042.4089,651940.1733,2118778.223,-0.601,-0.9351,1,0.377746,0.636066,0.999981605021234,0.984102585996934,0.640306917822955
"sp|P05164|PERM_HUMAN",2556734.871,4516855.697,6208247.852,1115727.619,448185.1645,6443146.383,-1.06,-0.9317,1,0.377389,0.636881,0.999335717651241,0.983501502343505,0.641112343768466
"sp|P11021|GRP78_HUMAN",6149790.507,15100000,13500000,4256592.671,9773121.171,10500000,-0.377,-0.9234,1,0.376512,0.638861,0.999567204786213,0.983784694261826,0.643068406252593
"sp|P05121|PAI1_HUMAN",4540878.641,9229202.801,2322043.05,1449004.372,3102020.67,4403620.84,-0.501,-0.9167,1,0.375799,0.640449,0.999723311236452,0.983982759593877,0.644637660537702
"sp|Q15582|BGH3_HUMAN",2.09e+08,2.27e+08,1.85e+08,1.26e+08,2.06e+08,1.62e+08,-0.229,-0.9067,1,0.374729,0.642802,0.999905059819223,0.98422749940094,0.646963373558591
"sp|P08833|IBP1_HUMAN",4019817.522,4124483.653,2860114.34,5938272.859,3050731.243,8930468.125,0.386,0.9004,0.694521,0.104294,0.809693,0.696528741241723,0.683954545481268,0.811806503214929
"sp|Q9NR99|MXRA5_HUMAN",25300000,19700000,17400000,20100000,25300000,34400000,0.236,0.8879,0.70138,0.105917,0.810051,0.70370891161358,0.691032112755672,0.812166021968116
"sp|P12110|CO6A2_HUMAN",148837.6764,596169.0453,953965.1954,148638.7622,771342.4948,98868.6555,-0.651,-0.8786,1,0.371676,0.649306,0.999796707055089,0.984307366776727,0.653389330491588
"sp|P14618|KPYM_HUMAN;sp|P30613|KPYR_HUMAN",6768202.575,8059183.828,25600000,3203968.256,6639537.984,1.2e+07,-0.537,-0.8763,1,0.371423,0.649831,0.999839777487125,0.984363724777199,0.653908415113182
"sp|P00748|FA12_HUMAN",7.5e+08,5.78e+08,5.52e+08,5.24e+08,5.82e+08,4.11e+08,-0.217,-0.869,1,0.370617,0.651491,0.99995413003554,0.984520437728771,0.655549020158207
"sp|A1L4H1|SRCRL_HUMAN",692878.6053,2471992.393,1667042.547,1685027.86,4873814.099,1467377.077,0.502,0.8663,0.713046,0.108755,0.810624,0.715055478256377,0.702239636771669,0.812741672854291
"sp|LYSC_HUMAN|",85600000,83700000,4.52e+08,2.31e+08,2.21e+08,2.61e+08,0.472,0.8611,0.715762,0.109444,0.810754,0.717893600086143,0.705040543967751,0.812872375208866
"sp|Q6YHK3|CD109_HUMAN",3760310.057,1402997.656,4677667.176,4711963.12,4014610.36,4803960.567,0.412,0.8431,0.725131,0.111849,0.811179,0.727690689062327,0.714709905493316,0.813298893625611
"sp|P02751|FINC_HUMAN",6.78e+09,6.93e+09,6.02e+09,9.85e+09,8.49e+09,6.38e+09,0.207,0.8378,0.727862,0.112563,0.811296,0.729769911565075,0.716779982121113,0.813416918099466
"sp|P60174|TPIS_HUMAN",2396593.453,7370335.473,11600000,2047580.819,3485648.38,6306813.263,-0.491,-0.8355,0.999906,0.366863,0.658971,0.999944582584145,0.984711821764293,0.662940068882247
"sp|P09172|DOPO_HUMAN",7900295.655,15500000,8701086.799,61600000,6428423.691,12800000,0.55,0.8254,0.734025,0.114242,0.811559,0.736192833331362,0.723126415191146,0.813681893984459
"sp|P00450|CERU_HUMAN",2.2e+10,2e+10,1.54e+10,2.1e+10,2.22e+10,2.28e+10,0.172,0.8223,0.735561,0.114664,0.811622,0.737794260563327,0.724708865541159,0.813745241313888
"sp|P01614|KV201_HUMAN",18392.7168,0,0,0,0,1491167.262,1.714,0.8115,0.740897,0.11614,0.811833,0.743359381556166,0.730208335307845,0.813956806592507
"sp|P22792|CPN2_HUMAN",2.94e+08,2.15e+08,3.1e+08,3e+08,4.13e+08,2.92e+08,0.193,0.8074,0.742916,0.116703,0.81191,0.745466183334179,0.732290404031412,0.814033386798115
"sp|P15169|CBPN_HUMAN",1.36e+08,1.19e+08,1.56e+08,1.09e+08,1.06e+08,1.3e+08,-0.164,-0.7916,0.999126,0.361801,0.668428,0.999374152471844,0.984397442575688,0.672291260643352
"sp|P08519|APOA_HUMAN",16800000,15500000,44200000,8287819.168,8894471.058,34600000,-0.449,-0.7891,0.99912,0.361508,0.668955,0.999451546016952,0.984485342936757,0.672812361250901
"sp|Q13228|SBP1_HUMAN",1523109.24,304246.9559,1017201.945,1581853.439,712713.1679,1814659.148,0.454,0.7822,0.754872,0.120194,0.812338,0.757213922296548,0.743927668303203,0.814463825550869
"sp|P14780|MMP9_HUMAN",134893.7736,135383.604,13800000,12753.263,96501.7913,3720222.595,-1.326,-0.7757,0.999015,0.359928,0.671757,0.99979229750789,0.984883237792481,0.675585921230711
"sp|P07357|CO8A_HUMAN",7.44e+08,7.12e+08,5.44e+08,5.76e+08,6.13e+08,4.45e+08,-0.189,-0.7739,0.998992,0.359714,0.672131,0.999828548032454,0.984927270025632,0.67595594562867
"sp|P04070|PROC_HUMAN",5064120.334,4822774.116,2885454.504,3627666.685,4041851.241,2288992.931,-0.237,-0.7709,0.998948,0.359358,0.672752,0.99988394922329,0.984995696137121,0.676571295894862
"sp|Q9H6X2|ANTR1_HUMAN",430341.0333,529208.261,1920.7115,81820.4851,393043.5261,520773.4424,1.25,0.7373,0.775258,0.126543,0.812922,0.777749821615704,0.764277268587047,0.815049689196413
"sp|O95967|FBLN4_HUMAN",204825.9704,851953.4523,867576.8688,606652.4215,429328.8485,14366.1099,-1.133,-0.7354,0.998889,0.355085,0.679973,0.999905880122693,0.98518154311072,0.683720879011219
