"Protein","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|P04264|K2C1_HUMAN",82900000,1.2e+08,1.08e+08,1.51e+08,3.14e+08,2.88e+08,0.839,2.6087,0.040648,0.00503,0.646947,0.0420939054926614,0.0412862751391129,0.649331795234439
"sp|P27169|PON1_HUMAN",7.45e+08,7.07e+08,5.27e+08,4.11e+08,3.64e+08,3.17e+08,-0.601,-2.6061,0.400962,0.44537,0.171078,0.409497518467027,0.392422644214036,0.176028887916773
"sp|Q92820|GGH_HUMAN",17800000,15300000,6867202.749,3821031.528,5907976.248,5065959.585,-0.929,-2.5992,0.403003,0.445386,0.172531,0.411157425468593,0.394149330228348,0.177503355825061
"sp|Q92626|PXDN_HUMAN",2369030.313,1269225.342,1457381.008,425153.9768,987101.6809,712999.3658,-0.898,-2.5748,0.410506,0.445437,0.177715,0.419035594241353,0.402102621469291,0.18275924072486
"sp|Q02487|DSC2_HUMAN",243097.496,29735.6063,458135.405,2921741.302,1286413.932,992488.7906,2.371,2.5748,0.043891,0.005442,0.650407,0.045424581035175,0.0445559208222785,0.652793289567697
"sp|P12318|FCG2A_HUMAN",7483406.532,5714963.503,5814070.5,22800000,8464488.855,21700000,0.953,2.5603,0.045356,0.005627,0.651897,0.0469149642385576,0.0460190777500541,0.654283128059746
"sp|P10451|OSTP_HUMAN",78800000,40400000,40800000,21900000,29700000,24200000,-0.716,-2.5599,0.415337,0.445464,0.180914,0.423581764656264,0.406717359702265,0.186001592981904
"sp|P01612|KV120_HUMAN",3559937.225,5369659.437,75067.5212,27900000,31900000,45100000,3.362,2.5593,0.045459,0.00564,0.652,0.0470192471771127,0.0461214572647052,0.65438609255964
"sp|K2C1_HUMAN|",9.1e+07,94900000,1.1e+08,1.31e+08,1.95e+08,2.35e+08,0.638,2.5379,0.047706,0.005923,0.654209,0.0493324701444584,0.048391837544843,0.656595742057588
"sp|P49908|SEPP1_HUMAN",1.22e+08,1.05e+08,87400000,1.66e+08,1.78e+08,1.59e+08,0.483,2.5371,0.047793,0.005934,0.654292,0.0494201938517723,0.0484779489931011,0.656678530883307
"sp|P62987|RL40_HUMAN;Int_P62988ups|UBIQ_HUMAN_UPS;sp|P0CG47|UBB_HUMAN;sp|RS27A_HUMAN|",12800000,23100000,62300000,59400000,3.49e+08,2.18e+08,1.812,2.5352,0.047999,0.00596,0.654488,0.0496290628359473,0.0486829796785371,0.656875219895554
"sp|P19827|ITIH1_HUMAN",3.14e+09,3.41e+09,2.99e+09,2.01e+09,2.06e+09,1.66e+09,-0.497,-2.4956,0.438123,0.445533,0.195027,0.446228154477061,0.42944507981942,0.200294654471192
"sp|Q76M96|CCD80_HUMAN",1839871.593,2065842.01,1299073.895,472257.4922,65406.8955,528993.5163,-1.871,-2.4714,0.447514,0.445537,0.200475,0.455795714641598,0.438976799606844,0.205805192101151
"sp|P19021|AMD_HUMAN",1613804.782,1323764.802,1316197.319,2469577.185,2119870.806,2388550.138,0.493,2.467,0.055964,0.006953,0.661602,0.0577636862375305,0.0566660557317387,0.663988409531677
"sp|O95479|G6PE_HUMAN",7565138.349,3825983.614,2744646.142,1401653.791,2715461.894,685997.5098,-1.131,-2.4503,0.45606,0.445529,0.205287,0.464106684275278,0.44726459913445,0.210670305822483
"sp|P01767|HV306_HUMAN",29200000,40600000,35300000,58800000,49900000,62200000,0.514,2.4461,0.058649,0.007285,0.663799,0.0604762712711909,0.0593280915348266,0.66618567417606
"sp|P12830|CADH1_HUMAN",13400000,12400000,17400000,25900000,23300000,24500000,0.524,2.4435,0.058991,0.007327,0.664073,0.0608210353481653,0.0596664344828049,0.666459583993002
"sp|Q08554|DSC1_HUMAN",101428.4931,131296.5313,767634.7563,3259495.465,1015541.088,1057613.556,1.895,2.4429,0.05907,0.007337,0.664136,0.0609008285478538,0.0597447416710209,0.666522811322187
"sp|P13598|ICAM2_HUMAN",9014235.844,4362386.254,5975136.54,20600000,10500000,12500000,0.811,2.4335,0.060327,0.007492,0.665127,0.062207385359389,0.0610261169997372,0.667513659186314
"sp|Q86VP6|CAND1_HUMAN",34662.7827,138609.3992,2736807.828,3980.9322,5237.1677,31265.0225,-3.165,-2.4261,0.466155,0.445505,0.210883,0.474032518929135,0.457142445382398,0.216323517943802
"sp|Q6UWP8|SBSN_HUMAN",101472.0757,364160.3165,1225297.975,1621478.58,2315918.15,1775859.109,1.699,2.4225,0.061829,0.007676,0.666288,0.0637246735100591,0.0625149133624824,0.668674741411028
"sp|P05019|IGF1_HUMAN",3106101.807,3705608.842,5934282.574,6754157.699,11100000,9125084.315,0.749,2.4145,0.062941,0.007813,0.667133,0.0648474277796944,0.063616590011496,0.669520348889622
"sp|P01611|KV119_HUMAN",1643597.896,1831959.346,542451.5383,4332210.726,7604354.262,1.21e+08,2.553,2.4138,0.06304,0.007825,0.667207,0.0649464475957166,0.0637137511396195,0.6695943858126
"sp|Q9NPY3|C1QR1_HUMAN",7981576.198,11700000,12500000,16400000,20700000,17700000,0.542,2.4082,0.063829,0.007922,0.6678,0.0657431460075155,0.0644954961453224,0.670186944223812
"sp|P02461|CO3A1_HUMAN",1.3e+08,1.66e+08,1.07e+08,1.86e+08,2.49e+08,2.4e+08,0.522,2.3943,0.065834,0.008168,0.669272,0.0678011820719945,0.0665140613736651,0.671658902258491
"sp|P27487|DPP4_HUMAN",1886512.805,3798677.111,2844906.132,4522557.971,5891726.68,5356982.197,0.645,2.3812,0.067773,0.008405,0.67066,0.0697591821704459,0.0684350611159589,0.673048302883452
"sp|P09382|LEG1_HUMAN",778997.9496,1690334.947,1909277.989,2654049.126,3405531.76,5686287.664,1.023,2.3499,0.07261,0.008997,0.673985,0.0746711567338149,0.0732534336354939,0.676374971460908
"sp|Q13444|ADA15_HUMAN",481.928,76294.2046,201392.9237,1141981.822,1226088.008,693141.2866,3.776,2.3441,0.073537,0.009111,0.674603,0.0756085810645099,0.0741730578208216,0.676992425121061
"sp|CATD_HUMAN|",10600000,2313325.458,1715484.324,13800000,16100000,1.2e+07,1.382,2.3335,0.075258,0.009322,0.675731,0.0773621305793869,0.0758930277317049,0.678121544540026
"sp|PRDX1_HUMAN|",1559761.083,2721355.441,5095857.076,941800.8049,951608.4022,1483138.951,-0.941,-2.3177,0.514846,0.445184,0.236951,0.522145644748169,0.504882799638803,0.242608969947184
"sp|P28799|GRN_HUMAN",1944256.783,545026.1253,1216178.953,3496541.551,2179336.182,3290997.361,0.986,2.317,0.078003,0.009658,0.677489,0.0801409631538871,0.0786189593521572,0.679880780533488
"sp|Q96S96|PEBP4_HUMAN",2769177.851,93598.0172,12800000,23100000,42200000,30900000,2.817,2.278,0.084807,0.010495,0.68165,0.0870344112271728,0.0853812083886978,0.684046581073684
"sp|P02743|SAMP_HUMAN",4.66e+08,4.49e+08,3.56e+08,2.6e+08,2.5e+08,2.46e+08,-0.526,-2.2537,0.544982,0.444803,0.253117,0.551959715384812,0.534453357274775,0.258870715801042
"sp|P06744|G6PI_HUMAN",127996.4251,1113226.495,3097904.444,24860.5591,0,383706.5309,-2.791,-2.249,0.547201,0.444769,0.254326,0.55412037501271,0.536599754973653,0.260085854618471
"sp|Q9UGM3|DMBT1_HUMAN",21800000,2417052.2,1270390.555,959708.1615,444457.6168,965792.7655,-1.702,-2.2455,0.548856,0.444743,0.255228,0.55573219182859,0.538200919486057,0.26099260519251
"sp|Q8N2S1|LTBP4_HUMAN",628164.9039,1196612.435,1501905.266,3358358.707,3224285.162,1587858.135,0.877,2.2369,0.092451,0.011444,0.686044,0.0947781364439516,0.0929782505104242,0.688446838084473
"sp|P02748|CO9_HUMAN",3.85e+09,3.61e+09,3.4e+09,2.01e+09,2.48e+09,2.55e+09,-0.435,-2.2351,0.553789,0.444663,0.257919,0.560535547341857,0.542972471563546,0.263696439796919
"sp|O75339|CILP1_HUMAN",29800000,11300000,14300000,35100000,32700000,42500000,0.788,2.2283,0.094104,0.011651,0.686965,0.0964225349171536,0.0945923405691721,0.689368974709118
"sp|Q96PD5|PGRP2_HUMAN",8.86e+08,1.06e+09,8.36e+08,6.37e+08,6.13e+08,5.82e+08,-0.434,-2.201,0.569892,0.444369,0.26684,0.576477653745291,0.558805796741513,0.272656257653968
"sp|Q14515|SPRL1_HUMAN",51600000,37400000,35500000,63500000,89600000,6.1e+07,0.534,2.1995,0.099803,0.012369,0.690051,0.102167751205659,0.100230434593286,0.692459981665799
"sp|P19971|TYPH_HUMAN",404945.6684,1492831.032,1428144.299,196170.667,312849.8245,411569.5734,-1.186,-2.1921,0.574097,0.444284,0.269193,0.580847239517202,0.563136224467876,0.275018365124048
"sp|P00742|FA10_HUMAN",38300000,33900000,18900000,35500000,95900000,89900000,0.853,2.1754,0.104729,0.012999,0.692637,0.107194853287858,0.105163686546678,0.695051060922106
"sp|Q6WN34|CRDL2_HUMAN",469088.525,96007.7268,243766.8305,1292655.596,4285164.514,575144.8079,1.816,2.1694,0.105985,0.01316,0.693282,0.108476616305611,0.106421533368994,0.695696555318628
"sp|Q06323|PSME1_HUMAN",152046.1978,233579.7472,531975.9555,45853.1765,70609.8364,198294.2385,-1.115,-2.155,0.591459,0.443893,0.279102,0.598048145899185,0.580242008972805,0.284962929980926
"sp|P19801|AOC1_HUMAN",984709.9297,446196.9304,3081093.714,442201.5973,351342.7245,103902.9009,-1.515,-2.1422,0.597395,0.443744,0.282558,0.603854028024606,0.586024944366585,0.288429750300612
"sp|P11717|MPRI_HUMAN",692647.2805,183773.7138,651262.9245,1100986.121,3142004.557,907209.1889,1.241,2.1344,0.113449,0.014133,0.697047,0.116029768340584,0.113837035355907,0.69946873045838
"sp|P04406|G3P_HUMAN",10800000,29600000,29100000,6917752.845,7081269.604,12700000,-0.93,-2.1339,0.601257,0.443643,0.284809,0.607630525257176,0.589786420574168,0.29068751161697
"sp|P02774|VTDB_HUMAN",1.72e+10,1.73e+10,1.41e+10,1.02e+10,1.16e+10,9.38e+09,-0.44,-2.1328,0.601769,0.44363,0.285108,0.608131696179781,0.59028559317513,0.290987315878062
"sp|Q7Z7G0|TARSH_HUMAN",20600000,19200000,32600000,4.9e+07,3.2e+07,69400000,0.714,2.0878,0.123797,0.01552,0.702077,0.126420432712616,0.124044675116159,0.704509294410086
"sp|P18428|LBP_HUMAN",4.22e+08,3.7e+08,2.94e+08,1.51e+08,2.6e+08,2.18e+08,-0.543,-2.0847,0.623902,0.44298,0.298305,0.630275945118835,0.612336165135934,0.304218935143581
"sp|Q9BQ51|PD1L2_HUMAN",227943.2913,68558.6431,635236.1071,1611705.053,716941.5212,1325374.951,1.666,2.0825,0.125003,0.015685,0.70265,0.127657706770413,0.125260002866642,0.705084115538342
"sp|O00592|PODXL_HUMAN",1840668.329,1144274.872,1970948.372,2200076.72,4293781.76,4378731.859,0.743,2.0738,0.127001,0.015958,0.703593,0.129708808109456,0.127274753593254,0.706028213674036
"sp|Q9UHG3|PCYOX_HUMAN",2196461.627,706144.7478,113516.5499,1763931.795,3507841.631,3128163.111,1.569,2.0724,0.127325,0.016003,0.703745,0.130041212904978,0.127601270971143,0.706180194857327
"sp|P01703|LV105_HUMAN",19200000,967686.8355,721446.1043,45900000,12100000,59700000,2.55,2.0663,0.128744,0.016197,0.704406,0.131497156198203,0.12903143900063,0.706842572192538
"sp|P02649|APOE_HUMAN",4.48e+09,2.39e+09,2.68e+09,5.28e+09,6e+09,4.83e+09,0.556,2.0643,0.129207,0.016262,0.704623,0.131841843726943,0.129372657604072,0.707059934948403
"sp|P01707|LV204_HUMAN",31622.9268,4681.0198,0,400957.9324,10400.5269,66233.681,2.316,2.0628,0.129552,0.01631,0.704786,0.132196640762463,0.129721296034071,0.707223059939581
"sp|P48304|REG1B_HUMAN",249375.1074,3146605.897,1053656.951,3781906.16,3462158.947,10900000,1.817,2.0511,0.13227,0.016691,0.706056,0.13498891152623,0.132465147887453,0.708496338946875
"sp|Q12860|CNTN1_HUMAN",5122698.198,3605154.599,1845901.535,7038712.363,5384794.334,7776827.765,0.723,2.0458,0.133515,0.016866,0.706633,0.136268342504746,0.133722422262457,0.709073624699947
"sp|P07602|SAP_HUMAN",8592409.112,6910742.174,7709605.389,8435378.523,17900000,1.8e+07,0.597,2.0159,0.140638,0.017881,0.709891,0.143450092331051,0.140784211661462,0.712337810857738
"sp|P32942|ICAM3_HUMAN",1506649.022,291843.9896,14348.3064,1066704.191,4807340.829,4271584.926,2.64,1.9973,0.145169,0.018538,0.711926,0.148109052500335,0.145364684867395,0.714374999698274
"sp|P15151|PVR_HUMAN",14200000,12600000,8275216.517,14600000,21100000,22600000,0.515,1.9911,0.146677,0.018761,0.712605,0.14951720444589,0.146752531591629,0.715055692453271
"sp|Q08380|LG3BP_HUMAN",1.81e+08,1.26e+08,2.56e+08,3.35e+08,3.55e+08,2.8e+08,0.582,1.9787,0.149727,0.019214,0.713967,0.152652867504921,0.149836687593342,0.716418877182181
"sp|P00558|PGK1_HUMAN;sp|P07205|PGK2_HUMAN",5112550.045,13400000,22900000,1740480.62,3072614.02,7420710.846,-1.304,-1.9729,0.674579,0.441018,0.32984,0.680757878695636,0.662692302255054,0.335807285999498
"sp|P07358|CO8B_HUMAN",1.07e+09,1.12e+09,7.93e+08,6.18e+08,7.26e+08,6e+08,-0.438,-1.972,0.674986,0.441,0.330098,0.681165771244184,0.663099236258747,0.336065810632362
