"","Threshold","Go_BP","Go_MF","Go_CC","Kegg_Path","Total","DEs"
"1",0.001,0,0,0,3,3,3
"2",0.002,0,0,0,3,3,3
"3",0.003,0,0,0,3,3,4
"4",0.004,0,0,0,0,0,5
"5",0.005,0,0,0,0,0,7
"6",0.006,0,0,0,0,0,7
"7",0.007,0,0,0,0,0,9
"8",0.008,0,0,0,0,0,9
"9",0.009,0,0,0,0,0,9
"10",0.01,0,0,0,0,0,9
"11",0.02,0,0,0,0,0,9
"12",0.03,0,0,0,0,0,10
"13",0.04,0,0,0,0,0,14
"14",0.05,0,0,0,0,0,20
"15",0.06,0,0,0,0,0,22
"16",0.07,0,0,0,0,0,24
"17",0.08,0,0,1,0,1,26
"18",0.09,0,0,0,0,0,31
"19",0.1,0,0,0,0,0,34
