"","Protein","S0","S0.1","S0.2","S0.3","S0.4","S0.5","S0.6","S1","S1.1","S1.2","S1.3","S1.4","S1.5","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"1962","sp|LYSC_HUMAN|",10200070.8677,10584567.4848,8265823.9448,7426401.5176,4500817.096,4177359.8493,13043002.1656,14836599.3457,15002278.7778,2686454.3872,3974889.4307,7875713.3601,7979853.2526,-0.369,-1.0711,0.068787,0.475421,0.007993,0.0834983969864604,0.083056555201315,0.0103490615140993
"1963","sp|O43678|NDUA2_HUMAN",187032.8305,69164.2608,103249.0803,36554.9628,133282.0594,205171.3082,7882.8925,199573.8771,200573.9073,341591.0529,367806.0023,407166.6473,450055.8551,0.768,2.1793,0.670234,0.160946,0.383447,0.697791496315784,0.694093999341862,0.392403505921277
"1964","sp|P34949|MPI_HUMAN",100988.6966,111063.5942,99005.7293,85399.1628,190085.0781,173493.8898,158141.8328,282156.351,285080.8704,496379.1415,585536.123,501942.7056,529214.9281,0.614,2.9936,0.209188,0.039951,0.387215,0.239401408344895,0.237808071096569,0.398535020389723
"1965","sp|P39748|FEN1_HUMAN",84076.197,135486.6441,91378.1022,78950.756,145160.94,187265.3575,77932.383,245991.2185,210712.6459,366745.3036,367712.8293,221578.6482,246218.8522,0.286,1.6346,0.956987,0.29374,0.340472,0.963459660195256,0.959004857078267,0.348602403649807
"1966","sp|Q9UBQ0|VPS29_HUMAN",86884.1974,68043.8015,85203.4593,98201.5028,159329.7541,169587.7155,35621.675,190729.4608,173908.392,95449.1322,109776.1308,253178.699,256224.6857,-0.084,-0.5168,0.211334,0.51272,0.029473,0.236064350285041,0.234987425681916,0.0348948325349682
"1967","sp|P60510|PP4C_HUMAN",5767.1832,7932.1953,4937.366,4104.071,11477.4249,12659.1022,7920.9674,23125.0097,26334.8067,23480.722,10226.1198,36464.8289,46446.5879,0.286,1.1839,1,0.403344,0.275305,0.999932302656201,0.995726016694574,0.284144774683628
"1968","sp|Q9Y2J2|E41L3_HUMAN",102171.7017,109303.4718,202312.5189,216933.5606,151181.2146,111223.3912,138315.6676,74426.1973,68670.6401,66215.395,81622.0761,301442.5805,358582.5377,-0.85,-2.4516,0.000802,0.398771,7.9e-05,0.00134987060605531,0.00134012969930092,0.000141555498385658
"1969","sp|Q05048|CSTF1_HUMAN",34599.8882,37881.7183,53370.2219,33023.1354,68405.2754,50882.9818,34268.2132,206161.2042,185264.0868,143556.953,144948.3249,160745.0436,165066.8629,0.614,4.335,0.007353,0.000908,0.357633,0.0110534111880834,0.0109114068751518,0.369485047732054
"1970","sp|Q6PCB0|VWA1_HUMAN",283354.5798,309140.2515,327801.1733,292249.8797,392620.1134,426707.8039,174458.0233,221321.0204,237103.4859,422010.3278,420824.9207,554800.7231,568809.2125,-0.35,-2.1101,0.003053,0.41341,0.000298,0.00466181584160562,0.0046299454511393,0.00048742916794913
"1971","sp|P18283|GPX2_HUMAN",2306.4811,1038.0763,2088.8628,2580.8829,4092.5982,4763.2232,1624.758,114789.3398,100734.0079,26591.2666,34446.5996,545339.8171,428467.8062,2.926,5.2513,0.000195,2.2e-05,0.34442,0.00038527492765938,0.000378343660553536,0.355880285218595
"1972","sp|Q9H936|GHC1_HUMAN",110359.3077,84348.8059,72215.1039,75341.919,88570.6684,109232.1,46509.4808,236205.0429,211539.0634,141549.51,131135.9643,256622.2094,235192.9489,0.21,1.7237,0.91468,0.27074,0.350368,0.925088102547178,0.920758971941162,0.358505160856504
"1973","sp|O00233|PSMD9_HUMAN",273566.2554,171839.7493,213210.6067,278636.6052,163197.2841,226706.8706,313842.7902,181019.5545,194890.8165,161570.0289,132061.0913,202049.4024,239516.1945,-0.862,-4.2539,0,0.355343,0,4.0539216721296e-07,3.98582334729055e-07,2.70181189263523e-08
"1974","sp|P36980|FHR2_HUMAN",153531.4143,121108.3619,235092.4794,209242.2298,214248.9706,224861.7658,208254.6255,81257.4295,96951.3261,294901.8224,278213.6165,182980.5269,163066.7622,-0.784,-2.6276,0.000402,0.392093,3.8e-05,0.000712338629051687,0.000706784680761371,7.15805258776298e-05
"1975","sp|Q86VN1|VPS36_HUMAN",22837.9643,27510.3318,19282.9008,18822.3604,53453.1881,66926.1549,35703.7818,150262.4487,169621.0826,129966.3471,204037.9087,49982.2615,45962.8288,0.395,1.0862,1,0.423775,0.258558,0.999999929545071,0.9957889273834,0.267641690126938
"1976","sp|Q5VYK3|ECM29_HUMAN",335982.5404,331536.3461,232724.8718,234482.1613,320810.5299,353264.3009,182466.571,523511.5765,554800.4568,452778.0231,451705.6244,661205.2061,667959.7567,0.098,1.1166,1,0.417573,0.263848,0.999960970048482,0.995756326913328,0.272854753763167
