,Protein,S0,S0.1,S0.2,S0.3,S0.4,S0.5,S0.6,S1,S1.1,S1.2,S1.3,S1.4,S1.5,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
787,sp|P12268|IMDH2_HUMAN,466538.7366,533843.6984,506817.9556,813753.3957,753488.0893,442545.1706,495365.9624,2235725.031,1923790.923,1731246.74,2012425.77,1492283.085,1372498.46,0.944,8.7311,0,0,0.2869
2440,sp|P52292|IMA1_HUMAN,13560.7229,15369.7167,10317.1473,22711.9623,21539.0065,1086.7422,14150.7118,366610.7453,327237.5165,163279.9333,183879.0956,248571.835,254851.1015,2.632,8.6954,0,0,0.286972
25,sp|P78527|PRKDC_HUMAN,1933125.191,2178248.548,2114942.08,2640189.54,2606560.413,1607848.154,2086106.369,7123855.85,6954580.503,4676708.616,4878960.143,6517691.58,6622441.272,0.978,8.6641,0,0,0.287035
1822,sp|P36959|GMPR1_HUMAN,370731.1169,154710.5701,149623.9834,70883.4203,105677.09,472997.8343,347259.2886,10431.2874,3341.2894,9138.6385,9039.6048,19116.7653,15817.006,-3.484,-8.653,0,0.287335,0
155,sp|P00325|ADH1B_HUMAN,41382136.32,43210246.22,47916088.26,54121627.77,58566661.03,38060254.35,43371310.32,4231320.195,4259974.278,11368413.04,10931537.7,11629388.31,11456330.49,-1.745,-8.6517,0,0.287337,0
2618,sp|Q7L266|ASGL1_HUMAN,38484.8974,47136.6864,45766.9411,116985.0918,81850.8454,12794.6343,79153.3485,9997.1961,11407.0398,15590.4397,15283.0407,8557.7716,7049.437,-2.311,-8.6081,0,0.287401,0
1245,sp|O15347|HMGB3_HUMAN,86165.4994,78242.0571,47060.4306,87025.4999,56460.8148,33689.7594,89406.4837,557290.1867,610208.9011,262960.7786,333327.4917,470359.8746,461517.7036,1.544,8.5991,0,0,0.287164
157,sp|Q7KZF4|SND1_HUMAN,1898208.934,1861870.404,1729799.06,2545759.592,2307233.298,1629558.738,1724013.541,3951738.121,3749965.641,4756724.945,5016561.716,5295024.876,5440116.637,0.787,8.5688,0,0,0.287222
1801,sp|Q9BZF9|UACA_HUMAN,121154.4098,139061.2936,115563.9612,204607.1053,192304.5641,176326.3667,123447.1394,28825.1965,35367.0496,73017.5337,84036.3126,42892.7862,47223.3862,-1.497,-8.5578,0,0.287477,0
1170,sp|Q96MM6|HS12B_HUMAN,303544.545,719892.2051,915280.9786,1017775.336,864432.0542,271478.6829,262800.8918,51451.5873,49838.4753,140929.8144,117614.7563,70278.8706,66125.744,-2.211,-8.5358,0,0.28751,0
55,sp|P13639|EF2_HUMAN,9293915.856,7533481.043,7341760.742,12591804.87,11880869.22,5556531.423,8997898.044,24533013.69,22682079.15,20351774.41,20857921.32,23456654.51,23994253.19,1.02,8.5262,0,0,0.287303
1172,sp|P16401|H15_HUMAN,756609.4054,547975.7645,584783.5929,971647.9832,953119.9601,620808.0954,708492.0006,3108288.47,3102595.31,2723870.995,2202427.894,1921613.018,1909110.11,1.037,8.4877,0,0,0.287373
1175,sp|Q15599|NHRF2_HUMAN,396165.5526,758566.9723,863735.4058,1341423.414,1350572.16,351055.9586,367184.1705,60727.092,68067.2219,145827.1281,82039.9082,128543.8643,178522.2725,-2.156,-8.3344,0,0.287812,0
2578,sp|Q04760|LGUL_HUMAN,848666.3492,629205.4213,588755.2314,962509.5974,878239.6479,704912.3635,800666.995,415531.7187,294703.2929,432258.406,289801.4345,322577.2901,229352.9202,-1.073,-8.3327,0,0.287814,0
1328,sp|Q9NRV9|HEBP1_HUMAN,614278.3002,495246.3586,492121.2517,584226.7847,425795.5185,408815.7342,547613.3688,238140.849,273367.4311,185217.2084,197894.3911,240361.1866,240434.0332,-1.015,-8.3285,0,0.28782,0
777,sp|P08865|RSSA_HUMAN,1306947.008,1301351.236,1124163.827,1483533.986,1213887.64,1195383.473,1111542.791,3008488.52,3227631.783,2893353.196,3187893.119,3506796.803,4330064.042,0.84,8.3113,0,0,0.287676
855,sp|Q02809|PLOD1_HUMAN,224248.7082,164672.9033,135102.3613,211275.1384,228802.2891,94501.7032,185012.8244,1072002.979,1022826.595,884045.1421,817575.6888,592048.1124,532946.6804,1.262,8.2863,0,0,0.287718
914,sp|P21397|AOFA_HUMAN,207249.295,255625.8726,301015.5651,321322.8467,329978.7073,335762.4936,222400.8991,72568.8193,90992.3385,135953.7112,121756.3793,104641.821,84090.7347,-1.312,-8.2769,0,0.287891,0
81,sp|P13667|PDIA4_HUMAN,3078516.218,2689234.645,2534564.545,4053099.536,3594720.394,2187528.541,3100860.025,6018733.876,5763015.768,9500719.633,10248251.09,10181135.39,10477114.99,1.043,8.2429,0,0,0.287792
641,sp|Q9Y5M8|SRPRB_HUMAN,318593.2194,195895.3425,200003.6693,218472.6836,194659.5597,125006.4987,266710.0696,846766.9057,697766.4643,712595.2011,717595.3833,746248.9815,697977.7869,1,8.0841,0,0,0.288084
1608,sp|P02775|CXCL7_HUMAN,528193.5785,779799.1179,818762.7252,440301.164,425424.1608,1634272.047,864619.1762,93510.4119,78697.0777,124989.5584,120847.9299,104847.6875,112890.6966,-2.151,-8.0563,0,0.288174,0
144,sp|Q14697|GANAB_HUMAN,2480322.338,2751777.303,2821600.378,3681315.7,4325887.616,1908083.939,2733904.48,6416473.133,6778826.509,6348947.504,5910757.885,6921899.518,6568050.119,0.791,8.0506,0,0,0.288151
1251,sp|Q15005|SPCS2_HUMAN,49958.5996,109009.7713,90731.0738,98767.1123,107784.5428,89447.7827,70431.1021,344019.216,308437.3551,534149.6434,570832.7585,692299.0843,708095.3717,1.437,8.0281,0,0,0.288197
51,sp|P24821|TENA_HUMAN,1126629.871,1559793.734,1662344.023,1930139.379,1551952.813,936867.3907,848862.8186,7261620.311,6676124.684,18408904.49,21829635.17,7777790.331,7529868.193,1.917,7.9665,0,0,0.288328
115,sp|Q07065|CKAP4_HUMAN,1685801.546,1563447.014,1308681.827,2069261.517,1932473.314,2316883.749,1651162.516,4485589.376,4206061.795,5777041.735,5915564.56,5290122.032,5023896.588,0.964,7.926,0,0,0.288416
511,sp|P36952|SPB5_HUMAN,323098.5848,86139.4449,130757.9613,153513.3944,173893.1086,66076.2264,244418.1152,3298236.622,3157511.496,1090296.717,1053008.981,1456576.225,1499720.358,2.162,7.9178,0,0,0.288434
1265,sp|P16144|ITB4_HUMAN,51317.8129,51294.3256,45635.8918,73061.5749,58184.1421,14962.3702,52089.5634,191767.7571,203102.4156,163207.2623,206734.3135,251628.6081,215702.0496,1.094,7.9143,0,0,0.288442
286,sp|Q9H223|EHD4_HUMAN,2316221.929,2894800.415,2989312.748,4702554.16,4319085.712,2883941.505,2495810.15,1119364.759,810091.3828,1154772.271,1330881.559,1497987.755,1433423.461,-1.006,-7.9019,0,0.288398,0
2076,sp|Q10589|BST2_HUMAN,129842.0039,221048.2975,196103.4032,358114.4664,368284.7691,185276.0001,109934.9934,41779.7971,37353.1543,52497.8384,56670.9265,83373.87,84863.5361,-1.655,-7.8399,0,0.288504,0
678,sp|Q9UMS4|PRP19_HUMAN,238310.8197,273935.8013,238496.9182,500936.8048,440563.0368,166076.7425,241815.3357,1295519.551,1081550.107,930544.8158,791975.0277,949735.2132,905901.4141,1.024,7.8236,0,0,0.288642
2070,sp|P26006|ITA3_HUMAN,83035.4726,244790.9253,229971.6901,348381.7957,308899.1708,129767.2099,95125.0464,54067.6096,47464.2688,65106.667,61963.0063,36579.7138,49976.8745,-1.61,-7.8189,0,0.288543,0
1248,sp|O15460|P4HA2_HUMAN,34433.3806,74437.1635,68022.7292,49779.6597,44827.3129,13642.8852,41454.6242,539580.899,449486.9069,559959.7325,541225.1205,229435.6636,207656.7143,1.801,7.7634,0,0,0.288773
