"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|P35542|SAA4_HUMAN","29.1715261367873","29.6145120336737","27.0693600364383","27.56771136739","27.6996764951256","27.8260295800527",-0.93256059043189,-1.20539455529661
"sp|P10451|OSTP_HUMAN","26.5720492021236","25.6893335162965","25.5958974486004","24.134526597293","24.4763512182231","24.0523228665081",-1.74272745474802,-4.86589892145856
"sp|Q9UGM5|FETUB_HUMAN","25.2441364225045","24.8996592971377","24.747844508778","23.358959197938","24.8765648936831","23.4244812558674",-1.11150504409769,-2.12144858625078
"sp|P01781|HV320_HUMAN","24.8554858343892","25.2329503234767","24.6074362642111","26.6025210008926","25.9130612272799","26.0385916867922",1.2959861313783,3.69690212217242
"sp|P01768|HV307_HUMAN","21.520581959049","20.4077515675041","20.587671589098","24.7486255918205","23.9367827089522","24.795765582644",3.67352765636284,8.0550707134069
"sp|Q9UHG3|PCYOX_HUMAN","21.5462016860361","20.0601879074587","17.084534785187","20.4433138135545","21.3672919237852","20.947882622373",1.37650143374485,0.915218149983395
"sp|Q9HCU0|CD248_HUMAN","22.5267185090505","22.6450736375046","23.2883969306359","22.3175173169111","22.3579919890622","22.0816387960223",-0.55967740206231,-1.90477225019557
"sp|P05451|REG1A_HUMAN","23.729117819391","22.4825954138707","23.2164148538895","23.7805234974064","24.7684178918283","24.8743656677137",1.35259737953491,2.59528979759251
"sp|Q13093|PAFA_HUMAN","21.6587173851437","21.9223203539136","21.5183592450162","22.4427478187029","23.4125791367638","22.0859210719949",0.956962144244512,2.17802092744367
"sp|P13598|ICAM2_HUMAN","23.52836734509","22.5931783518151","22.817241913705","24.0448516877826","22.9630127264284","23.0498980096251",0.367292726729891,0.713899763152079
"sp|P32119|PRDX2_HUMAN","19.8718754713403","22.4446455416208","24.9385937675652","22.3301310765804","20.3276164062867","20.6650785537026",-1.23964222998668,-0.761098116410367
"sp|Q15848|ADIPO_HUMAN","26.6020130780771","26.7785637209188","25.5708663037181","27.4884822028308","27.3908665509482","28.4395395322612",1.51404994289086,3.00216359787293
"sp|P78324|SHPS1_HUMAN","22.0024322032046","22.1412989185565","22.6952678105541","22.4584928499285","23.9153260175383","22.6454163297794",0.735763906472143,1.45904822563315
"sp|P09382|LEG1_HUMAN","20.0909862413822","21.2743592386579","21.1670630832181","21.0419829066247","21.3242107750567","21.8546931069929",0.544624007656313,1.10128635343929
"sp|P09960|LKHA4_HUMAN","20.7590540131851","21.5473714524805","21.1335727349967","19.7680617309488","20.8507416450589","20.6688337930019",-0.72559759055207,-1.62664115664743
"sp|P29401|TKT_HUMAN","22.1067522975814","21.8141894604675","22.9400169024732","20.5496104407783","22.4917958675444","23.1210387382055",-0.242122415384658,-0.26993198865093
"sp|P98095|FBLN2_HUMAN","21.5460047313867","22.0233982830097","22.6532650349723","22.2830181335944","23.0698829221122","22.5124956461434",0.567716394286757,1.27563968992729
"sp|Q6UX71|PXDC2_HUMAN","23.3297015150702","22.5946502242828","21.9406454286919","22.6605009723526","22.9904749098531","22.2725347127475",0.00023467604582511,0.0004829904967748
"sp|P62805|H4_HUMAN","20.8076367134263","25.9435208515904","23.7260289874506","19.5715555969249","17.7392964944742","21.1128187584105",-3.98186308788978,-1.98839762032409
"sp|P15085|CBPA1_HUMAN","18.8969086408581","17.1840080921882","18.4739238964423","20.6583762928403","23.0698829221122","22.5999064851112",3.99527932216645,4.27603490201545
"sp|P17936|IBP3_HUMAN","24.435395964215","25.5745448200088","25.5708663037181","24.2687075681957","23.1080192315921","24.2352201710772",-1.36101156198126,-2.36078164525402
"sp|P16930|FAAA_HUMAN","21.810016463456","21.5858019357391","21.7551378375123","22.9790292752982","23.0698829221122","22.9879550848978",1.29374257959552,6.28393357484506
"sp|Q02818|NUCB1_HUMAN","22.0067633435367","22.5521390029819","21.8425633659723","21.1524291584497","22.3074849657498","22.2646619945288",-0.235301694321634,-0.522584881527392
