"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"sp|Q9UK55|ZPI_HUMAN",60293569.5639122,57854014.5222695,51014975.8587582,38390521.310005,36728841.3557614,55123687.6543173,"-2.64978403148513","-0.0268666367116474"
"sp|Q12841|FSTL1_HUMAN",402618244.12744,226235101.564696,317288264.487398,368670879.246874,289854389.046892,343446413.314984,"-0.443161045447673","-0.00447521184723833"
"sp|P01880|IGHD_HUMAN",61582741.2815616,113981043.536412,37120653.1655192,393045813.411956,782711491.000272,100772991.493049,"1.92909298459568","0.0202976943661078"
"sp|P07333|CSF1R_HUMAN",64260251.7720643,56127029.0141421,84299136.9373382,213280673.944472,307643286.569626,273465169.222589,"-4.48318990010255","-0.0453732138540175"
"sp|P13611|CSPG2_HUMAN",53252708.6444422,45333369.5883455,37224342.1408418,31078041.0604803,51378521.6686008,67504984.6860487,"0.641697527672019","0.00626237273895118"
"sp|Q92859|NEO1_HUMAN",6360453.97365638,3509998.15988122,6728271.47887485,9954977.2450677,7169648.30342145,9856551.91066545,"-0.159457716438918","-0.00171267763560581"
"sp|Q7Z7G0|TARSH_HUMAN",20428413.3719834,16579060.8780235,33802605.9551934,49765490.5870436,33484983.5722042,74718436.0001878,"1.57088374227856","0.0149001490871199"
"sp|P35555|FBN1_HUMAN",2194196.45940865,2398782.24475678,4142109.17324559,7764229.28633673,7283971.32063952,7064560.4917902,"-0.325872149401701","-0.00307972020776626"
"sp|P02652|APOA2_HUMAN",9728288115.49307,7477847250.19185,7807779841.79775,6550763556.86594,6006368928.26412,4446500586.17832,"1.31893959935382","0.01257160962194"
"sp|P19652|A1AG2_HUMAN",5107103342.99585,7218799423.97273,5578466872.36014,4103113917.7889,5891264297.23467,4651061145.83302,"3.76775882432968","0.0376186981274168"
"sp|P01859|IGHG2_HUMAN",25188432.021766,10361913.0487647,13479566.7919483,49156117.2329165,118243848.239346,344523047.839483,"5.05626446776547","0.0525053379788977"
"sp|HBA_HUMAN|;sp|P69905|HBA_HUMAN",117017125.140488,116571521.798603,5153342073.53716,2559368087.33367,72411276.9748915,144269026.282783,"0.344765741664934","0.00346695485053389"
"sp|P49908|SEPP1_HUMAN",120983807.34864,90666739.176691,90624164.4320216,168593294.641821,186260221.120386,171184889.395243,"2.3842824044493","0.0244600335183705"
"sp|P05362|ICAM1_HUMAN",18246738.1574997,13470486.9633941,15138590.3971112,49460803.90998,141264774.445236,113046625.07233,"0.394247573378885","0.00372509716717922"
"sp|P13647|K2C5_HUMAN",2593134.02804018,13729534.7896132,7941340.79280487,29249920.9980991,120336659.712609,49525188.1269257,"-4.14641356969791","-0.0404689511059201"
"sp|P36222|CH3L1_HUMAN",38873485.6398908,40325111.6147759,37016964.1901965,83382587.2897199,144403991.65513,82470204.5765762,"0.32481568870215","0.00312619006522571"
"sp|P06276|CHLE_HUMAN",39567655.0263174,33071772.4806406,47074794.7964964,35851465.6678089,39554136.8446662,49632851.5793755,"3.27319192961041","0.0330339200348925"
"sp|P12955|PEPD_HUMAN",7216304.69519314,6356175.03448919,7763201.51668938,21429629.6201351,14440399.165513,22071007.7522169,"-3.87850890387732","-0.040828337092015"
"sp|P00740|FA9_HUMAN",53847710.975665,77109902.9378906,39712877.5485861,35546778.9907454,69690622.0596499,43819025.1470842,"-0.0742913070104393","-0.000726409031922386"
"sp|P05154|IPSP_HUMAN",21023415.7032062,34367011.6117362,31936204.3993852,26304616.4531516,35682435.6191301,22716988.4669159,"2.95353264197833","0.0298478162873434"
"sp|O95445|APOM_HUMAN",345101352.109234,203784289.959039,283070902.630914,132030893.394197,87584160.1560465,96251126.4901555,"-2.30255673099782","-0.0237358609017248"
"sp|Q9NZP8|C1RL_HUMAN",32824295.2724588,26077481.1727245,24263220.2255069,63781077.731966,31392172.0989414,33160343.3545502,"0.979538311606186","0.00971309961506208"
"sp|Q9Y279|VSIG4_HUMAN",36394309.2597957,43174637.7031862,51326042.7847262,99530981.1740871,158007266.231338,215326904.899677,"-1.98110613028545","-0.0188176378769589"
"sp|P35442|TSP2_HUMAN",14676724.1701628,11139056.527422,6617700.53975946,12999964.888044,11510463.1029452,15288210.2478771,"2.76679705713877","0.0258783274479202"
"sp|LYSC_HUMAN|",84886999.2544553,72274343.5151337,468674168.45851,234608741.33892,231255667.795535,281001610.894078,"-0.803001965438098","-0.00804911596722711"
"sp|P09172|DOPO_HUMAN",7834490.5534575,13384137.6879877,9022067.74382001,62562331.0237119,6726739.42775947,13780921.9135793,"-0.257250442807894","-0.00254915044146224"
"sp|Q13421|MSLN_HUMAN",12395881.9004754,14852075.3698961,24470598.1761523,21531191.8458229,17998178.6700597,8488914.26365777,"2.08759787254785","0.0205360486967802"
"sp|P22891|PROZ_HUMAN",11701712.5140487,9412071.01929459,12857432.9400122,6930349.55194438,9745412.89738494,8912475.83827083,"2.99461037865273","0.0302475012608554"
"sp|P02654|APOC1_HUMAN",1120587723.80297,718425971.381019,468674168.45851,379842724.072537,410191048.759501,564156490.837153,"1.23906601016513","0.0121886669119737"
"sp|P41222|PTGDS_HUMAN",320309588.308284,208101753.729358,451047042.653655,1066403369.72236,1339399342.88817,1026032701.84696,"3.41660255777832","0.034793364171028"
"sp|P01591|IGJ_HUMAN",221142533.104481,83845146.4195876,153459683.477565,1066403369.72236,997224667.009705,1410391227.09288,"-0.350615970186769","-0.00351605059745531"
"sp|P22352|GPX3_HUMAN",188417404.887226,165790608.780235,207377950.645358,515936106.494247,514831622.422639,743954456.428383,"-0.234501947686494","-0.00213300197204432"
"sp|P02746|C1QB_HUMAN",498810287.675129,371301884.247401,632502749.468343,1360933824.21711,1632392949.14495,1421157572.33787,"1.10404162177158","0.0122818028716043"
"sp|P01834|IGKC_HUMAN",3133678944.44017,2564573479.56926,3618745238.7615,22140565199.95,16219288917.7864,27131190017.3593,"3.97841655256278","0.0393975722165761"
"sp|Q04756|HGFA_HUMAN",56525221.4661677,66143544.9612813,81292156.6529805,38492083.5356929,81515006.8835845,62444802.4209063,"-1.63492189399268","-0.0164388010773732"
"sp|P0DJI8|SAA1_HUMAN",389726526.950946,171835058.058681,111984093.348494,34937405.6366183,24171972.5161849,15503537.1527767,"3.14344388750226","0.0323116214057067"
"sp|P39060|COIA1_HUMAN",16560898.2190351,17615252.1829,27270200.5098646,28437423.1925963,41333026.5969395,33483333.7118997,"5.24274284962223","0.0500844982285334"
"sp|P01033|TIMP1_HUMAN",803253147.150804,614806840.893372,824327353.8153,1797651394.67484,1831210039.10492,1754914274.93237,"2.84942813608199","0.0277039301524638"
"sp|P05452|TETN_HUMAN",168583993.846465,193422376.910274,256111769.047018,621560821.209605,529481302.735478,585689181.327121,"-3.41230715524355","-0.0327154891532777"
"sp|P63104|1433Z_HUMAN",78143639.5005967,68388626.121847,91246298.2839577,29554607.6751626,51587802.815927,91836924.9397121,"3.28306471963306","0.0346935205230741"
"sp|P20908|CO5A1_HUMAN",81118651.1567108,71842597.1381018,54436712.0444066,41234263.6292647,77224743.3633958,67935638.495848,"-1.31619013751778","-0.0132005226297727"
"sp|Q8IUX7|AEBP1_HUMAN;sp|Q8N436|CPXM2_HUMAN",13288385.3973096,5516334.53771578,4946990.80446541,8733015.39057557,7707465.19054247,10050276.4420588,"4.90031385023372","0.0503132037006109"
"sp|P07858|CATB_HUMAN",36592643.3702033,20378428.9959039,24470598.1761523,25593680.8733367,38507731.1080348,55984995.273916,"-0.808563732635846","-0.00802097254878355"
"sp|P07602|SAP_HUMAN",8520839.08743363,5967375.79245159,7994010.82927616,8567158.17315318,18730662.6857017,19379421.4409709,"-4.28257853981621","-0.043417555511474"
"sp|Q99784|NOE1_HUMAN",6279902.35377131,4204207.6108159,6557300.62082598,20414007.3632566,26892627.4314265,21963344.299767,"0.512169884620797","0.00519720854654594"
"sp|P36980|FHR2_HUMAN",92324528.3947406,65452750.7580303,67190456.0090961,66726382.2769135,79003633.1156692,53616399.3200195,"3.45844698301617","0.035094175438699"
"sp|Q9BXR6|FHR5_HUMAN",8868819.55963161,8087363.47616203,9298919.23239894,1921690.83996585,6530959.71147827,1908576.29684386,"-2.6683490871629","-0.0265826762841084"
"sp|P60174|TPIS_HUMAN",2376631.15254724,6364231.27595433,12027921.1374308,2079568.65253378,3647402.46071188,6790132.8985101,"0.185322694283972","0.00195978690238065"
