"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"411","BT","None",0.05,0,0,3,3,267
"421","BT","None",0.06,0,0,3,3,269
"38","QM","None",0.02,0,0,2,2,238
"43","QM","None",0.07,0,0,2,2,275
"44","QM","None",0.08,0,0,2,2,279
"45","QM","None",0.09,0,0,2,2,281
"46","QM","None",0.1,0,0,2,2,284
"315","QM","VSN-G",0.03,0,0,2,2,356
"316","QM","VSN-G",0.04,0,0,2,2,361
"317","QM","VSN-G",0.05,0,0,2,2,368
"318","QM","VSN-G",0.06,0,0,2,2,376
"381","BT","None",0.02,0,0,2,2,238
"431","BT","None",0.07,0,0,2,2,275
"441","BT","None",0.08,0,0,2,2,279
"451","BT","None",0.09,0,0,2,2,281
"461","BT","None",0.1,0,0,2,2,284
"397","BT","VSN-G",0.03,0,0,2,2,356
"407","BT","VSN-G",0.04,0,0,2,2,361
"4111","BT","VSN-G",0.05,0,0,2,2,368
"428","BT","VSN-G",0.06,0,0,2,2,376
"125","QM","MedI-G",0.006,0,1,0,1,2
"126","QM","MedI-G",0.007,0,1,0,1,2
"127","QM","MedI-G",0.008,0,1,0,1,2
"128","QM","MedI-G",0.009,0,1,0,1,2
"129","QM","MedI-G",0.01,0,1,0,1,2
"188","QM","RLR-G",4e-06,1,0,0,1,104
"189","QM","RLR-G",5e-06,1,0,0,1,105
"190","QM","RLR-G",6e-06,1,0,0,1,105
"250","QM","Loess-G",2e-04,0,1,0,1,105
"251","QM","Loess-G",3e-04,0,1,0,1,115
"252","QM","Loess-G",4e-04,0,1,0,1,120
"253","QM","Loess-G",5e-04,0,1,0,1,120
"254","QM","Loess-G",6e-04,0,1,0,1,123
"255","QM","Loess-G",7e-04,0,1,0,1,126
"256","QM","Loess-G",8e-04,0,1,0,1,127
"257","QM","Loess-G",9e-04,0,1,0,1,130
"258","QM","Loess-G",0.001,0,1,0,1,131
"259","QM","Loess-G",0.002,0,1,0,1,139
"260","QM","Loess-G",0.003,0,1,0,1,141
"261","QM","Loess-G",0.004,0,1,0,1,147
"262","QM","Loess-G",0.005,0,1,0,1,153
"263","QM","Loess-G",0.006,0,1,0,1,156
"264","QM","Loess-G",0.007,0,1,0,1,157
"265","QM","Loess-G",0.008,0,1,0,1,159
"266","QM","Loess-G",0.009,0,1,0,1,161
"269","QM","Loess-G",0.03,0,1,0,1,202
"270","QM","Loess-G",0.04,0,1,0,1,217
"271","QM","Loess-G",0.05,0,1,0,1,221
"272","QM","Loess-G",0.06,0,1,0,1,232
"273","QM","Loess-G",0.07,0,1,0,1,240
"274","QM","Loess-G",0.08,0,1,0,1,245
"314","QM","VSN-G",0.02,0,0,1,1,347
"319","QM","VSN-G",0.07,0,0,1,1,382
"320","QM","VSN-G",0.08,0,0,1,1,383
"321","QM","VSN-G",0.09,0,0,1,1,390
"322","QM","VSN-G",0.1,0,0,1,1,392
"351","QM","Quantile",0.002,0,1,0,1,165
"352","QM","Quantile",0.003,0,1,0,1,174
"360","QM","Quantile",0.02,0,1,0,1,223
"361","QM","Quantile",0.03,0,1,0,1,237
"362","QM","Quantile",0.04,0,1,0,1,245
"364","QM","Quantile",0.06,0,1,0,1,265
"365","QM","Quantile",0.07,0,1,0,1,271
"3312","BT","MedI-G",0.006,0,1,0,1,2
"3412","BT","MedI-G",0.007,0,1,0,1,2
"3512","BT","MedI-G",0.008,0,1,0,1,2
"3612","BT","MedI-G",0.009,0,1,0,1,2
"374","BT","MedI-G",0.01,0,1,0,1,2
"418","BT","RLR-G",4e-06,1,0,0,1,104
"514","BT","RLR-G",5e-06,1,0,0,1,105
"614","BT","RLR-G",6e-06,1,0,0,1,105
"2015","BT","Loess-G",2e-04,0,1,0,1,105
"2115","BT","Loess-G",3e-04,0,1,0,1,115
"2215","BT","Loess-G",4e-04,0,1,0,1,120
"2315","BT","Loess-G",5e-04,0,1,0,1,120
"2415","BT","Loess-G",6e-04,0,1,0,1,123
"2515","BT","Loess-G",7e-04,0,1,0,1,126
"2615","BT","Loess-G",8e-04,0,1,0,1,127
"2715","BT","Loess-G",9e-04,0,1,0,1,130
"2815","BT","Loess-G",0.001,0,1,0,1,131
"2915","BT","Loess-G",0.002,0,1,0,1,139
"3015","BT","Loess-G",0.003,0,1,0,1,141
"3115","BT","Loess-G",0.004,0,1,0,1,147
"3215","BT","Loess-G",0.005,0,1,0,1,153
"3315","BT","Loess-G",0.006,0,1,0,1,156
"3415","BT","Loess-G",0.007,0,1,0,1,157
