"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"37","1::O70410","6.213982e+05","4.087304e+05","1.663321e+05","4.489738e+05","8.197270e+04","5.203927e+04","2.162192e+05","0.0451232165735738","0.364644371770231"
"38","1::P32921","8.717400e+04","9.043556e+04","8.394544e+04","9.167278e+04","3.286839e+04","6.790138e+04","4.524399e+04","0.0571913361554352","0.433129046473495"
"39","1::P11276","1.278906e+08","1.229071e+08","1.146044e+08","1.686649e+08","6.804833e+07","1.086485e+08","9.697911e+07","0.0578263979745723","0.433129046473495"
"40","1::O89053","5.867511e+03","6.581608e+03","8.394405e+03","8.626415e+03","2.803744e+04","1.486628e+04","2.501643e+04","0.0580204639683925","0.433129046473495"
"41","1::Q9JJN5","2.278546e+07","2.683074e+07","2.491037e+07","1.881147e+07","3.444560e+07","3.968393e+07","2.831930e+07","0.0593922772756298","0.433129046473495"
"42","1::Q8BWT1","7.784905e+04","6.563449e+04","6.746420e+04","6.963881e+04","4.452251e+04","5.193951e+04","2.299491e+04","0.0618851450760927","0.440563294708374"
"43","1::P20033","2.964879e+04","4.355541e+04","3.858611e+04","2.814192e+04","5.350209e+04","9.151446e+04","9.151261e+04","0.0642465935508738","0.442049611291101"
"44","1::Q07079","2.853980e+06","3.444927e+06","3.547994e+06","3.378291e+06","3.773796e+06","4.092367e+06","4.737500e+06","0.0650507789190918","0.442049611291101"
"45","1::P21570","1.021120e+06","1.120533e+06","1.430562e+06","9.818244e+05","3.210170e+05","6.512949e+05","8.983602e+05","0.0679094654329394","0.451220670321086"
"46","1::Q8BH64","3.986286e+04","9.301547e+04","6.745507e+04","3.196807e+04","6.131866e+03","3.784167e+04","1.458593e+04","0.0721233292770649","0.46863011626262"
"47","1::Q80YC5","6.840973e+07","5.524346e+07","8.549917e+07","7.097866e+07","8.111928e+07","1.091928e+08","1.165931e+08","0.0736642657670338","0.46863011626262"
"48","1::Q9JM99","4.988713e+06","5.958854e+06","5.540346e+06","5.120722e+06","7.466076e+05","3.808598e+06","2.880491e+06","0.0766412521649997","0.477411133277811"
"49","1::P13020","1.052795e+07","3.335074e+06","7.825184e+06","8.263832e+06","2.393719e+07","1.125594e+07","2.346881e+07","0.0865846501197359","0.519162557618271"
"50","1::P31725","3.223219e+04","1.515242e+05","6.231346e+04","2.074051e+05","1.736099e+04","7.805989e+03","1.183412e+04","0.0868251791074021","0.519162557618271"
"51","1::P01867","3.235865e+04","5.787984e+04","4.047068e+04","2.240220e+04","1.119911e+05","5.435149e+04","9.020255e+04","0.0885528108312101","0.519162557618271"
"52","1::P98064","1.448984e+05","2.004209e+05","2.459172e+05","1.909105e+05","2.917714e+05","3.347468e+05","5.082813e+05","0.0986458845815322","0.561588368110416"
"53","1::Q8VCM7","4.663464e+08","2.654849e+08","2.106715e+08","3.820944e+08","2.696409e+08","1.280192e+08","1.608579e+08","0.0995457642469968","0.561588368110416"
"54","1::Q62151","1.861309e+03","3.175043e+03","2.546086e+03","2.237922e+03","1.611120e+04","6.572666e+04","6.036538e+04","0.103622781195147","0.573763177358314"
"55","1::Q6ZWN5","3.942496e+04","2.459572e+04","2.088174e+04","8.103157e+04","1.416024e+04","8.491583e+03","8.604192e+03","0.108407114503457","0.589340495209702"
"56","1::Q61581","2.647110e+05","3.494708e+05","4.303193e+05","2.601142e+05","3.711066e+05","6.396543e+05","6.528734e+05","0.114201122854751","0.609683347932573"
"57","1::P14869","7.826108e+03","7.388012e+03","8.227035e+03","2.866447e+04","2.505619e+03","2.407444e+03","6.854132e+01","0.116227260308216","0.609683347932573"
"58","1::Q9DD06","9.660942e+05","1.248643e+06","1.321283e+06","9.802704e+05","1.252194e+06","2.030089e+06","1.778678e+06","0.120782864806296","0.622656492708321"
"59","1::P09803","2.672735e+05","2.669719e+05","4.122530e+05","2.362524e+05","2.258742e+05","1.817280e+05","2.319528e+05","0.126755083106579","0.634295810712762"
"60","1::P26928","1.893827e+05","3.727317e+05","4.414559e+05","2.672521e+05","5.100800e+05","3.541305e+05","5.802427e+05","0.127283440276808","0.634295810712762"
"61","1::O88803","5.587498e+04","8.667929e+04","1.473568e+05","9.069191e+04","1.119699e+05","2.505704e+05","2.605835e+05","0.12946820587193","0.634606451732902"
"62","1::P50228","4.690841e+03","1.139503e+04","1.216738e+04","6.946390e-06","8.673370e+03","2.483747e+04","2.155368e+04","0.133201017520429","0.642372649009809"
