"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"37","1::O70410","6.415006e+05","4.219530e+05","1.717130e+05","4.634982e+05","8.462455e+04","5.372276e+04","2.232140e+05","0.0451232188214637","0.364644389935612"
"38","1::P32921","8.999411e+04","9.336118e+04","8.666111e+04","9.463843e+04","3.393169e+04","7.009802e+04","4.670765e+04","0.0571913706611153","0.433129065980471"
"39","1::P11276","1.320279e+08","1.268832e+08","1.183119e+08","1.741213e+08","7.024972e+07","1.121633e+08","1.001164e+08","0.0578262869666075","0.433129065980471"
"40","1::O89053","6.057327e+03","6.794526e+03","8.665967e+03","8.905483e+03","2.894447e+04","1.534721e+04","2.582573e+04","0.0580205004208995","0.433129065980471"
"41","1::Q9JJN5","2.352258e+07","2.769872e+07","2.571623e+07","1.942003e+07","3.555993e+07","4.096772e+07","2.923544e+07","0.0593922799504993","0.433129065980471"
"42","1::Q8BWT1","8.036750e+04","6.775779e+04","6.964669e+04","7.189165e+04","4.596283e+04","5.361977e+04","2.373881e+04","0.061885100999969","0.440562980928351"
"43","1::P20033","3.060794e+04","4.496444e+04","3.983438e+04","2.905232e+04","5.523291e+04","9.447498e+04","9.447308e+04","0.0642465522744936","0.44205147688431"
"44","1::Q07079","2.946308e+06","3.556372e+06","3.662773e+06","3.487580e+06","3.895879e+06","4.224756e+06","4.890760e+06","0.0650510534545472","0.44205147688431"
"45","1::P21570","1.054154e+06","1.156783e+06","1.476842e+06","1.013587e+06","3.314020e+05","6.723645e+05","9.274225e+05","0.0679093248139911","0.451219735986296"
"46","1::Q8BH64","4.115243e+04","9.602456e+04","6.963727e+04","3.300225e+04","6.330234e+03","3.906587e+04","1.505779e+04","0.0721233749043538","0.468629686440155"
"47","1::Q80YC5","7.062281e+07","5.703061e+07","8.826510e+07","7.327484e+07","8.374352e+07","1.127253e+08","1.203649e+08","0.0736641982029675","0.468629686440155"
"48","1::Q9JM99","5.150100e+06","6.151625e+06","5.719579e+06","5.286379e+06","7.707607e+05","3.931807e+06","2.973676e+06","0.0766412112078442","0.477410878148863"
"49","1::P13020","1.086854e+07","3.442965e+06","8.078331e+06","8.531170e+06","2.471156e+07","1.162008e+07","2.422803e+07","0.0865845016231638","0.519162076241346"
"50","1::P31725","3.327492e+04","1.564260e+05","6.432933e+04","2.141148e+05","1.792263e+04","8.058516e+03","1.221696e+04","0.0868252052298281","0.519162076241346"
"51","1::P01867","3.340547e+04","5.975228e+04","4.177992e+04","2.312692e+04","1.156140e+05","5.610978e+04","9.312063e+04","0.0885527287234403","0.519162076241346"
"52","1::P98064","1.495859e+05","2.069046e+05","2.538727e+05","1.970865e+05","3.012103e+05","3.455760e+05","5.247244e+05","0.0986458810857047","0.561588550967676"
"53","1::Q8VCM7","4.814329e+08","2.740734e+08","2.174868e+08","3.944553e+08","2.783639e+08","1.321606e+08","1.660617e+08","0.0995457966598222","0.561588550967676"
"54","1::Q62151","1.921523e+03","3.277757e+03","2.628453e+03","2.310319e+03","1.663240e+04","6.785295e+04","6.231822e+04","0.103622803288344","0.573763299689166"
"55","1::Q6ZWN5","4.070038e+04","2.539140e+04","2.155727e+04","8.365297e+04","1.461832e+04","8.766289e+03","8.882541e+03","0.108407088148793","0.589340351936166"
"56","1::Q61581","2.732745e+05","3.607764e+05","4.442403e+05","2.685290e+05","3.831120e+05","6.603474e+05","6.739941e+05","0.114201194061391","0.609683446578842"
