"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"2078","sp|P07360|CO8G_HUMAN",188775.488169269,218945.538462766,851106.967,805458.383804903,868770.357002489,644807.238270747,276459.323700538,399417.894285378,510078.714495353,2445307.38534085,2470701.23626114,877531.59935382,1056682.08590863,"0.922356987503705"
"2079","sp|O75122|CLAP2_HUMAN",22430.8725821946,19910.6844820949,20988.95855,14792.3402973213,77247.2961385815,76011.0064985772,1034.98837783439,68434.8434009673,100454.846787935,75132.898948921,75080.7051603063,51114.5459573354,31490.9518254521,"0.619178150791574"
"2080","sp|Q7Z3B4|NUP54_HUMAN",52785.550336431,60977.2048437514,88544.22179,86890.8765778964,151348.372496373,138665.051696126,18281.9334441752,279639.095741324,292288.796230649,205575.514067982,235836.130065308,353093.240575681,368242.153057416,"0.334306943238789"
"2081","sp|O75112|LDB3_HUMAN",29359.5460946278,27250.4406002956,79794.69393,60313.595929571,137336.941809268,147335.5007145,8156.05613088313,2567.22777497044,1772.25225482922,100971.299972267,72286.8511182171,45286.5297102559,26445.6832811446,"0.961487412131865"
"2082","sp|Q9NVE7|PANK4_HUMAN",5109.9407650434,5027.16051057125,32591.89795,34370.2555354611,31534.5987843326,51185.8630408225,3554.04235049213,55309.0331908605,64252.5237339821,102039.178253255,106514.361707951,65593.4213817964,68751.5298430171,"0.702094564721169"
"2083","sp|Q9GZP4|PITH1_HUMAN",150386.147798866,159709.979119707,1705639.252,1818399.70147663,434857.755621593,326472.632555658,253226.675638543,6040277.27793773,4805385.71000619,4269107.89001418,3790951.35104858,307292.772614209,275603.262906744,"0.767929903820276"
"2084","sp|Q8TBC4|UBA3_HUMAN",51214.3886261195,115258.553892702,158244.1252,178443.460443385,221721.622718715,171244.306593048,99916.8783656676,737432.281168694,605862.010097245,800698.954305418,824146.463352233,722500.491832626,757103.293455493,"0.574736568036378"
"2085","sp|P36405|ARL3_HUMAN",206964.264217977,203786.203689583,429057.6815,354966.183791525,317887.8000441,328657.140461328,85560.9560426666,940843.796238713,976696.37160369,1217069.36221605,1119962.0887083,1005176.29238619,1047495.43183978,"0.533548512276273"
"2086","sp|Q13526|PIN1_HUMAN",43225.026459504,79209.9624423893,131400.5439,143938.596199631,154036.945394673,117670.314366313,47187.7659660142,146520.034641965,164308.773999265,139339.3149656,132901.641652347,182662.997986922,216702.7496015,"0.305835072967349"
"2087","sp|Q95IE3|2B1C_HUMAN;sp|Q9TQE0|2B19_HUMAN;sp|P79483|DRB3_HUMAN",2550973.13711198,1944599.15661647,1364356.462,706430.090476593,2024018.73555119,1304745.46992184,270188.671818607,1326608.32741697,1372130.93283156,256977.500681313,366616.473332158,5105013.05779625,7298500.44218365,"0.468753841503114"
"2088","sp|P19388|RPAB1_HUMAN",3565.7045277538,3761.56497512844,7117.751109,7838.22951554583,12455.552897937,9353.73032326724,4417.63843245936,38263.8234691015,15814.3734062608,6385.54197144283,9780.17939721946,70275.2483574533,62970.2440370621,"0.130443863444397"
"2089","sp|P28065|PSB9_HUMAN",32577.973672791,29313.3365655302,10166.87909,6718.1919960781,56197.2900291255,49787.7932134973,4799.54000913431,30835.8088183636,38030.539676074,13093.5156840621,6928.10221908039,405744.813954069,1129188.18783447,"0.239072307721911"
"2090","sp|THIO_HUMAN|",1688532.02392946,2714646.40319548,1894895.954,1910460.1637691,3151500.0577131,1293916.6530126,630196.06802554,9822462.24130648,9909141.9814575,7934391.41063073,7009077.00837408,5842598.11682818,7678854.57297358,"0.420933985609348"
"2091","sp|Q9BS40|LXN_HUMAN",298210.724026049,492992.268930094,496006.7717,771886.938654551,1042479.45315791,834312.955452164,837566.261802945,975132.424130117,843364.289505419,2433868.63490536,3463772.66005415,1207869.07672272,1142385.26001422,"0.975105107429065"
"2092","sp|P55735|SEC13_HUMAN",366767.067939303,545120.067529594,447654.3048,438409.798245387,570089.628438859,570163.652810338,177058.36329534,1024265.90579108,1038244.15259788,1191291.70115983,1540377.12065721,1573224.19912002,1445771.81157635,"0.615003032367722"
"2093","sp|P11279|LAMP1_HUMAN",545425.165978437,579139.952772616,406444.6073,395844.869332383,543093.002982521,539780.192368682,158217.021423472,1180225.69462475,1232045.86652958,1184906.36200173,1290731.71490351,967107.345872717,746247.447158822,"0.733649331574329"
"2094","sp|P14854|CX6B1_HUMAN",482247.144071441,475934.559296685,1001592.539,562450.594502795,769339.387058981,595908.403940684,156963.097648257,3034626.8356522,2528346.40829496,1793493.8342907,1691286.80913198,2596414.61405794,2834505.45653402,"0.267080833555354"
"2095","sp|P03973|SLPI_HUMAN",145776.692610921,171008.056459226,534172.7823,521743.113870221,481626.46018073,459897.861215164,197364.666117646,343380.904920288,248319.519163301,767116.763884971,848425.745471529,601234.618200483,762941.12023317,"0.746510623606137"
"2096","sp|P60468|SC61B_HUMAN",34129.887476886,47359.1412279174,90456.17236,106798.047582883,118113.633571266,104653.659141115,43950.0929136718,499546.207407804,663605.707144125,781891.210673416,408439.259711685,627901.136568422,524648.038777043,"0.266267640022591"
"2097","sp|P99999|CYC_HUMAN",118541.156387233,149577.56557242,137850.4299,122572.100082675,235975.574414483,231964.386979629,19052.4264620508,579128.78921025,556056.266401236,321373.789043895,277149.773949283,522340.175551477,573734.711564925,"0.109004692982285"
