"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"1410","sp|P26885|FKBP2_HUMAN",563039.492508084,524614.835423544,824767.062799216,908324.609959915,521239.556333915,563381.611698874,1029592.89243363,777661.111524707,850080.411807811,680561.965812061,598288.763644196,1127410.54154544,1400432.07476944,"0.0766994407822928"
"1411","sp|Q15052|ARHG6_HUMAN",53308.4282963111,68819.5020213788,109339.396214853,128091.283696986,82327.6205628805,84858.7253961986,83097.0521443909,60972.47429789,45402.1635252067,49088.7685024738,61667.2547829823,89849.8932977626,88353.996069144,"0.406530936328921"
"1412","sp|P00748|FA12_HUMAN",487246.261790976,757302.347595211,377630.237912759,642341.759435517,223623.22612122,244129.055959187,462630.611362096,88745.2350552824,122339.61844633,229955.900457073,236262.015430417,203060.206189764,195845.86682021,"0.411150242990497"
"1413","sp|P00740|FA9_HUMAN",132469.634164533,146804.723650495,211788.022297807,256140.787010225,192037.623357695,129834.157648316,152535.559084931,59125.9862701757,47484.4702111827,144139.520534079,175412.049239681,64059.0267180929,88195.8777081501,"0.202926400657233"
"1414","sp|Q8WWY3|PRP31_HUMAN",71900.319215517,54158.8026252013,52017.5360859826,30451.5905426779,57041.279134777,56767.1152751478,148195.403630083,104824.522384236,102840.960669155,134447.761171406,117478.562136731,106011.55306789,85294.5196396531,"0.637844146093618"
"1415","sp|Q12768|STRUM_HUMAN",228192.965932953,238569.964344177,228656.920159673,217567.566000557,195433.681121855,202356.663363345,121449.790455842,152831.999728087,169566.036019361,116570.808859324,132073.869706234,143581.940486313,177949.042325438,"0.62300864253764"
"1416","sp|O00170|AIP_HUMAN",130431.215264282,141034.574061627,54972.8103357454,256978.266290354,190752.534659661,188545.789758295,62816.6379233952,297502.959506215,267910.721254498,304094.325692092,288415.718242124,373898.923171704,182465.150973226,"0.512903887955749"
"1417","sp|P12532|KCRU_HUMAN;sp|P17540|KCRS_HUMAN",466773.655868564,356516.93142552,165467.812803231,168469.488193608,334165.579054716,364632.384100274,50746.1905120418,2194201.14732055,1297587.83774958,642531.589034076,770097.291699722,569646.302749429,403078.936030348,"0.618385602223155"
"1418","sp|P46976|GLYG_HUMAN",317851.270916987,325027.392177537,333555.583393309,320117.794440991,234360.18899637,382830.553477949,257612.348076759,167757.230169879,146659.711747936,337085.428123585,291394.51154844,221382.650389679,203468.054788995,"0.134376592594717"
"1419","sp|Q9NUV9|GIMA4_HUMAN",54428.1873047238,55991.2232278181,276536.551775121,314005.339266609,310175.471128397,409557.345548631,130753.691015351,85608.9675206824,123106.854986829,141469.736851618,161542.914498763,174712.721194832,150971.20902839,"0.572452517918521"
