"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1170","sp|Q9Y5X3|SNX5_HUMAN",1008840.8968026,1054990.35085525,1207682.04182476,1433763.63224776,1567413.05537522,1508505.61543043,731679.570744811,1125661.07887878,1144085.64638561,731081.607230226,1062819.15388824,737038.992806358,966906.83636064
"1171","sp|O95967|FBLN4_HUMAN",132667.125015005,146858.718978021,190331.137019767,197298.899049278,260398.907949687,255446.786802671,474257.732217892,123109.784297722,117363.314513693,469353.228975115,442793.448256826,96314.6505552547,91391.0865172017
"1172","sp|Q53EL6|PDCD4_HUMAN",352157.361578596,153948.537850398,72418.9686974633,61650.575088479,329015.204423672,346190.231535496,120318.551975379,209830.872366469,215288.738045793,357664.599061498,251358.1072531,334852.460180136,360766.354929984
"1173","sp|Q8NF50|DOCK8_HUMAN;sp|Q96N67|DOCK7_HUMAN",58207.2853212532,47380.6533208599,53326.8563425956,50208.173431713,47383.3244047451,59392.4139862722,58467.9211752226,83253.8506429969,86313.3843759708,98013.1987423363,83590.2533196714,101897.184184308,97265.3958319492
"1174","sp|Q9BUT1|BDH2_HUMAN",1066231.65591132,1465414.09194871,1841663.04491337,2001050.5918623,1247738.32244644,1264925.45013946,5156477.80765979,444638.437300088,569136.721393664,1124380.11858994,1312285.79883837,537417.103908261,472058.200706982
"1175","sp|O43866|CD5L_HUMAN",574184.12779703,576691.429268251,715008.03015231,714510.553259457,98258.2217345617,118806.444420496,655233.155444214,242674.340619009,187135.689501386,156678.836043869,185647.677166063,306027.034642585,283633.050348406
"1176","sp|O60504|VINEX_HUMAN",133427.319295645,120413.738465527,133056.444912027,168580.454951674,253822.72587758,249478.984377947,42056.2579857705,25315.4200444471,36590.8245257802,77274.2319544896,85000.9737898323,26781.7071002184,32548.1731945995
"1177","sp|P50851|LRBA_HUMAN",65192.0198838802,43869.299635421,85229.8509298263,85084.0453199371,107608.364053615,131732.731032644,35206.8209823272,173777.528758235,151957.897513183,130459.41330018,117044.339088382,142617.236897057,113311.898096988
"1178","sp|Q14005|IL16_HUMAN",172253.925502726,167313.260406942,133348.109240302,141849.664499199,182696.734256861,194416.366728344,138948.045148165,275719.393532426,221333.908339259,583014.631658676,557895.879779206,354596.000453301,348461.039819893
"1179","sp|P16050|LOX15_HUMAN",128746.712353137,131521.773166582,45974.6136585526,36649.6999665297,60826.2927760041,48725.1839638472,136459.467636028,50517.2674300981,40641.0246089362,17328.9397548882,26642.2559906256,164468.082169256,162480.539546946
"1180","sp|P55010|IF5_HUMAN",742574.124241076,624479.18212293,483529.390516749,496805.851221628,491138.013179932,541152.825550379,399060.577807526,951304.335987334,818133.473028713,925550.526134966,1058166.38660814,980683.339737803,1098383.88842681
"1181","sp|Q9P2R7|SUCB1_HUMAN",348106.712065465,275183.129975675,264301.495822376,279574.342152161,230186.987536958,225315.187400068,242296.970843028,148351.044916467,160914.178449246,202432.810296619,221667.877958658,205267.42351245,214215.663688618
