"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"115","sp|P17661|DESM_HUMAN;sp|P41219|PERI_HUMAN;sp|KRHB4_HUMAN|",27.3585679644268,27.4574965974149,26.8702952077568,26.8238378125237,27.4574965974149,27.288056038208,26.9102617897795,26.3021921442091,26.1815776476355,27.4574965974149,27.0791660727257,26.6252157793684,26.3021921442091
"116","sp|Q03252|LMNB2_HUMAN",21.4924644124443,21.4791411793953,21.8659261819051,21.8281780644027,21.930128127828,21.9736968670357,21.3850884012647,21.2852175095802,21.240332002131,21.4286637193432,21.5753827309028,21.5536898776057,21.5086920683703
"117","sp|P46939|UTRO_HUMAN;sp|O15381|NVL_HUMAN",20.1497384949278,20.094854681933,20.2853268799804,20.6866729154901,20.7949538282128,20.8655077481784,20.1305228222293,19.971698288259,19.9786123125087,20.1606643248006,19.960957203492,19.3140191536519,19.3389654707126
"118","sp|Q14980|NUMA1_HUMAN;sp|Q8WZ42|TITIN_HUMAN",20.1459250666923,20.2752068783259,20.0088530675966,20.2525779169094,20.587378394061,20.6322274791611,20.4753175808408,20.2205520937206,19.9136178539717,20.4419466168117,20.5690151034345,20.118247608489,20.0154088719744
"119","sp|Q86VP6|CAND1_HUMAN;sp|O75155|CAND2_HUMAN",22.3775427442102,22.287085749439,22.2375447465913,22.214573301728,22.183320859131,22.1059106002413,22.4446337706974,22.1400094417242,22.2474182915307,22.1184527251607,22.0144484075948,22.1283814607713,22.0951802343608
"120","sp|Q07065|CKAP4_HUMAN",20.801622085784,20.8488203393393,20.8752483850075,20.645073763373,20.8686116169803,20.841983709531,21.4404075433048,22.3895426840277,22.3261667021798,22.7227422734107,22.7315628761781,22.5679245863695,22.3977945628427
"121","sp|P0C0L5|CO4B_HUMAN",19.5642674782044,19.9556020997518,20.0180827757209,19.7351564547231,19.7451312572221,19.7144439871247,20.7982079532606,17.8020239331146,17.4967072537182,19.3242259377021,19.7564874437422,18.6109727009117,18.4165154129254
"122","sp|GELS_HUMAN|",24.9446094542909,25.1565330337873,24.2057127536434,24.2303668718364,24.4947257609464,24.3097757722011,23.9318512950047,24.1107400992706,23.9115922994912,24.3367895471335,24.2532624506756,24.0953416590518,23.85079466478
"123","sp|P02647|APOA1_HUMAN;sp|Q9P2D0|IBTK_HUMAN",27.4574965974149,27.3585679644268,26.9102617897795,26.8702952077568,26.8238378125237,26.8702952077568,27.0294334827933,25.0630085470801,25.1338935873311,25.9048856939135,25.8271984501173,25.7369920744116,25.6675282064086
