"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1338","sp|P08754|GNAI3_HUMAN;sp|P63092|GNAS2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P19087|GNAT2_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P09471|GNAO_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P11488|GNAT1_HUMAN",9504473.90711527,11740143.1058809,21152380.0997114,15386792.2218619,24786700.7462804,28097228.5968224,11168755.8628952,30400242.2800118,32562637.6047296,51705820.6373803,43318426.9323256,31783210.8577337,36033402.5702243
"1339","sp|P02775|CXCL7_HUMAN",561694.43389304,404418.732756014,1044568.22744197,956993.518563713,524932.166437988,485584.935345939,794972.224759693,203892.523799527,175685.689434264,280393.342814796,280120.674415929,211736.439005496,234483.137771242
"1340","sp|Q9Y2X7|GIT1_HUMAN",117042.116158026,110530.456571307,115724.297492305,125556.440149283,407341.746477424,355941.786112709,24182.0916221528,426296.149246291,490898.075462618,601487.525195874,556032.397990543,261649.003678588,377626.913057349
"1341","sp|P16949|STMN1_HUMAN",357327.156969136,447253.278042275,724512.456078599,624324.409570717,933375.438791429,972444.632180367,473567.009501462,6636442.61430255,6825155.70302615,1869374.98624345,1899226.913068,2510359.5827405,2376226.91426463
"1342","sp|Q53GS9|SNUT2_HUMAN",114797.468107678,128329.861473622,316801.134129439,267747.53433857,373734.846990785,352016.408022354,179955.315106911,743642.807622007,750732.228357035,973875.895686699,1072665.30477004,924522.382410798,974812.180775172
"1343","sp|O60841|IF2P_HUMAN",47891.1554789885,45019.5325032208,105639.638024372,113558.095517942,125367.438843838,114538.050329739,15562.4673388339,591687.164796283,622849.56099681,477154.769568821,494794.99975166,371488.963701109,373423.980774548
"1344","sp|P09669|COX6C_HUMAN",192546.153041021,55098.818053552,321045.811470724,198942.585731878,151448.539220452,143235.622433438,23199.8601291421,641678.798462022,530141.905747476,420321.691557821,443887.760769547,567634.694800499,822770.249326413
"1345","sp|P47929|LEG7_HUMAN",29527.8174946226,26797.6194874596,59571.7456979031,71107.5620904335,50279.756279173,36868.7215827264,42636.8679511963,85861.4235573779,78544.764845463,59043.0050269131,83089.8069357113,3043635.48199897,4656528.29021304
"1346","sp|Q12792|TWF1_HUMAN",99622.0684291855,94045.0755895894,252201.758481572,340871.761358497,327614.051073611,314691.05668379,68277.6921602188,1600546.53313312,1665296.88692702,1180971.29199051,1122206.80058208,2045667.88984231,2213827.94648274
"1347","sp|Q6PI48|SYDM_HUMAN",164820.00219456,165655.522686883,233511.572627872,222436.576570455,330521.934740276,301215.241547892,38762.8583543815,437161.251545225,417113.76986648,475460.686381058,615189.372636873,458926.740484428,461893.230862283
"1348","sp|P00966|ASSY_HUMAN",393043.850159715,523181.393800414,415659.460234806,264597.108807202,558124.756013362,528955.09207193,96890.3790328462,1071530.48273309,977913.068795687,533533.085312164,630495.979392295,389791.615132649,419298.13010567
"1349","sp|P52943|CRIP2_HUMAN",1123431.09532809,1491757.5639771,3847038.59919108,3698602.54948846,5528953.29646369,4960494.61158248,321686.832484037,967344.063706911,810033.514568302,3150972.75235006,3218722.22951817,3028208.64396297,3038673.87354875
"1350","sp|Q13618|CUL3_HUMAN",140504.498335119,158722.717252749,335689.530976482,265441.255231805,313640.930534695,379608.784699535,153414.118540376,670506.962426281,638591.27006589,790579.070804594,676191.357758731,543676.970971475,505728.520869795
"1351","sp|P14927|QCR7_HUMAN",103215.989873222,130765.760493469,290063.640353947,347741.281869837,477045.237171354,469450.114345805,106474.27238371,891358.369557194,799507.06715449,942264.922536201,1071865.83348029,556133.861516666,588394.365519778
"1352","sp|Q96N66|MBOA7_HUMAN",199253.540438632,184290.487044312,343216.411879314,226036.401798563,373185.691387003,422799.427112204,100869.351297819,1274552.64188645,1278947.06759733,1342758.45737836,1070949.86767384,899819.947532254,796664.724858316
"1353","sp|O14745|NHRF1_HUMAN",378091.354364419,381241.960262233,689420.170533545,368670.479392234,664723.420317495,699138.248079073,217569.534438071,2282286.71578095,2727827.42800083,2079744.34129766,1391579.82886547,3590610.38982926,3275845.29713607
"1354","sp|Q9HB71|CYBP_HUMAN",98938.1928614797,117492.031473283,347029.321151879,241035.160723238,399053.470126789,437371.051469642,64587.3981373792,275366.69128928,359370.272640274,900898.155854306,871591.340370164,1640814.67582838,1416910.91099839
"1355","sp|P41250|SYG_HUMAN",92070.9654883851,117657.772325678,202494.870136859,168406.258185567,204606.753238745,195845.844139538,59443.6204294667,1699490.79579829,1777031.65484512,788564.624288757,795889.476870163,1976225.14256793,2197471.9177056
"1356","sp|Q15637|SF01_HUMAN",26020.861438501,35633.2295438291,59171.1295354143,48269.2021627323,72576.7875295172,71825.5715925082,7759.95403486155,303041.211119269,340696.383493047,340649.677452249,280505.140800943,293162.73055703,322237.726548688
"1357","sp|P52630|STAT2_HUMAN",43335.9564215568,42069.4141463654,69535.1057845363,68693.2983535759,126982.089521437,128763.643370195,14014.0907358892,437968.811759896,304382.865276359,430386.669618872,368253.16554174,323897.74462513,300190.156541965
