"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"115","sp|P17661|DESM_HUMAN;sp|P41219|PERI_HUMAN;sp|KRHB4_HUMAN|",63830051.8564262,84218051.6969125,97700000,82614402.3181537,171252561.136409,152179806.10759,33523821.057859,145193875.845507,134713440.534999,235753098.346803,201559616.677356,164329720.848535,140559222.640027
"116","sp|Q03252|LMNB2_HUMAN",1207312.44817743,1363620.57544287,2973036.731,2595764.64846458,3859790.5869669,3889101.12363016,700947.775072267,4243889.67086154,4069446.56614249,5279012.24951641,5946219.28591066,5170545.24474229,5117667.28245349
"117","sp|P46939|UTRO_HUMAN;sp|O15381|NVL_HUMAN",443169.518052549,501715.796136835,999627.335,1151829.71974019,1692417.1740986,1780459.01566072,264885.239920157,1787070.36815541,1754450.33861478,2235248.99192361,2002258.36738357,1165620.16650094,1207938.17509832
"118","sp|Q14980|NUMA1_HUMAN;sp|Q8WZ42|TITIN_HUMAN",442676.900029879,567274.051465464,784951.7951,840298.706696581,1493646.27793413,1532436.63263847,350368.241321918,2056354.78976512,1691517.69636172,2814788.03219631,3102408.52543099,2051487.58586144,1941185.45996886
"119","sp|Q86VP6|CAND1_HUMAN;sp|O75155|CAND2_HUMAN",2405084.54408307,2581023.69241784,3972296.196,3563102.27288043,4815452.49377294,4301622.40413106,1535884.5232569,7164121.17325296,7294466.32733174,7907717.78811092,7877706.86742253,7862582.58567748,7858391.44696511
"120","sp|Q07065|CKAP4_HUMAN",739646.209036399,862316.980865335,1489369.828,1121334.70536554,1782347.24124387,1753917.32672574,727760.384485082,8548178.32773762,7864525.30854423,11687805.8249504,12222422.7130438,10208787.9223326,9451390.30695266
"121","sp|P0C0L5|CO4B_HUMAN",297429.092988278,459776.029500976,788228.7957,553506.704470506,893573.967675634,836369.806879894,441183.55794367,426419.218615605,336945.174020161,1346613.90241235,1759040.6397292,757239.978701367,672874.405965471
"122","sp|GELS_HUMAN|",12031275.9614271,15430920.4399504,16200000,14963780.029427,22619990.6955578,20409997.525018,4564429.10037461,27274737.4251841,22770389.2402275,38225680.9462317,35358339.5357735,29747277.9346252,24419186.9840725
"123","sp|P02647|APOA1_HUMAN;sp|Q9P2D0|IBTK_HUMAN",67503723.9057169,79871313.5448138,98200000,92291577.4270047,119052582.608199,120848669.556028,42306117.8420306,59570197.6599792,57675896.0994984,117708154.103154,121960649.413248,92480448.7403067,88862017.0249661
"124","sp|PRDX1_HUMAN|",4255980.76967862,4211974.65184659,6245621.225,6038998.29711428,7818876.22493217,7873922.75538146,3620475.36309524,22661100.2487848,16498305.9764523,14787984.1792837,17764576.3851229,27828098.7130365,27039782.6604119
"125","sp|P06744|G6PI_HUMAN",3993073.03026128,4960589.03019903,5846297.964,6136436.72492466,8967355.76138305,8857806.78813216,2611262.35254081,47493323.8746987,47040624.4783143,27953581.661121,27671743.9845184,36224507.8074872,38236873.2774988
"126","sp|P00338|LDHA_HUMAN;sp|Q6ZMR3|LDH6A_HUMAN",2613410.39289882,2994714.15950051,3984868.851,4131492.44587691,6376422.79379315,5978089.47371753,2262035.94233797,29445860.8023132,28088025.0508196,27448396.4503778,25621985.1708504,29747277.9346252,27635372.5868527
"127","sp|P60174|TPIS_HUMAN",10929174.3466399,12877211.7755924,18100000,14784573.0829668,28114725.2774747,24527804.0432234,7271364.004099,77889051.1545059,73765153.1674436,75609386.5412248,74303756.9954661,62733170.8056815,62775178.2468594
"128","sp|ALDOA_RABIT|",1952342.22797903,2689319.78506988,4749395.567,4633853.21641876,2569957.22218642,2799517.2729145,2819232.8672974,12212681.5229618,13771313.2530717,8156090.39955048,8598316.96544666,19791535.7226337,17986815.7785119
"129","sp|P22314|UBA1_HUMAN",4775773.66407793,6085433.41293819,11200000,9677175.10885097,14194731.0032853,14859910.4787412,3334615.87871023,26731956.5809018,28633423.5954957,28458766.8718641,28525810.1568801,32745995.4683576,35854513.5717357
"130","sp|P51659|DHB4_HUMAN",3840591.81277881,4096783.56427442,3227190.782,2902708.83507259,8035027.68272631,8269349.74719079,830122.727480723,5381550.83417238,4971830.49513731,7876146.34782233,8188298.68291516,6386046.87323953,6316993.07474446
"131","sp|Q16555|DPYL2_HUMAN",4035376.2579888,5542091.14392586,10300000,10304399.4214617,16575782.6554493,19514822.1949733,2384426.47793602,5881238.03026144,5858022.31444313,10163334.9552378,8992477.07198342,11479070.2090991,11343514.4028937
"132","sp|Q07954|LRP1_HUMAN",499694.29661086,617775.244249521,1409448.483,1173275.03241625,2274132.44263856,1918995.54945168,339098.780854392,2314212.17517059,2351473.71070587,3277724.56166625,3265355.88732183,2196290.00838052,2535639.3141103
"133","sp|P04843|RPN1_HUMAN",1674558.04268464,2283167.02976065,3055693.587,2922685.97602304,4621252.84863341,4456567.85352565,964059.446871554,7163602.24898374,6996132.92525297,13908059.4160512,14575321.4884488,11958234.6708764,11422495.808172
