"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"2219","sp|Q13951|PEBB_HUMAN",2985.00255534038,3354.27108314901,2419.360469,2204.20387082513,6461.08215126435,7463.24559245649,531.455503617372,7232.95512556628,5734.78753484034,48426.0523511704,30111.7403564393,12452.3752330011,12850.4754356108
"2220","sp|Q14409|GLPK3_HUMAN",9718.76150523249,12018.8110411694,22567.45796,9374.59511137665,58153.5778547476,56418.6697737711,869.191241697772,135820.104942837,127356.920115206,107193.467287894,88081.7303899884,120939.945542324,128414.678526813
"2221","sp|O00273|DFFA_HUMAN",38101.7917682317,42165.8080278826,127527.4364,119349.524250061,189965.9319968,181861.009290852,18479.7707376211,207042.982709759,205861.550325976,394184.462989209,474038.365396153,174438.255875381,216398.096062923
"2222","sp|Q9UGM5|FETUB_HUMAN",25892.3081156075,26776.6789704568,63666.46779,63989.2046827491,79417.100018166,94865.5312659055,49501.1227030235,112482.881783633,84568.6924974926,179028.793904703,219035.702662075,97127.4164282903,94471.4910274822
"2223","sp|Q9Y6W5|WASF2_HUMAN",147838.846055208,176187.982053063,314161.3303,252021.228743887,532302.040171772,536013.670016388,64968.0826267939,69084.4083703448,60512.2848220652,995468.619021782,838095.337352199,513490.334576956,458693.98125098
"2224","sp|A1L0T0|ILVBL_HUMAN",3056.80318470725,12710.8028876377,15785.99845,12094.9680816492,37012.5937855562,37720.3260314337,1583.46405335995,42280.1632053178,24924.2114250678,67133.6697057608,71151.6666396748,60669.4679367494,57075.0560293054
"2225","sp|Q9UBQ7|GRHPR_HUMAN",709245.29668669,786117.223918743,1294837.328,1422866.00170987,1167163.46102864,1170475.54227314,506302.799762914,2670814.27091264,3174285.64731702,2342022.69335999,2008134.47759187,2433310.0300532,2507512.17602417
"2226","sp|O75886|STAM2_HUMAN",15747.5732096255,12015.0490262336,26058.64264,22377.2468965469,84832.2086337834,80892.608566136,878.933600751896,99870.36846736,127949.926989705,244216.363292995,305252.100518995,20637.9643851497,29659.6243675517
"2227","sp|Q567U6|CCD93_HUMAN",28214.3255485937,26040.3469935145,48658.68382,47933.8228677667,68591.3344743633,61649.2395530875,3075.61834372013,185051.232741992,175697.129476644,118316.89029237,182769.811401522,135134.480663053,129106.830733319
"2228","sp|P29728|OAS2_HUMAN",11915.655408622,9716.4706743886,5869.790425,5567.04081745568,63292.5597016303,53977.9844414032,584.536575583753,90209.1585649218,97975.5969084761,76611.4811027862,82360.2161172939,140975.242215327,160745.606811158
"2229","sp|Q99996|AKAP9_HUMAN",1358560.97510637,1328221.7081681,687674.9903,390481.420383561,957262.474452922,971082.842915297,530053.013788091,31074203.33516,27542626.5061435,819000.328909334,1150345.06182828,28067996.1157351,28350080.4985817
"2230","sp|Q9HCE1|MOV10_HUMAN",8591.48468428467,3995.14771877524,12473.36513,15780.6217067489,35110.2538867961,44925.7312926436,1728.41368084567,172700.152451855,183423.4987345,162439.933158241,178996.197397337,106720.813285093,87791.2363785107
"2231","sp|O60343|TBCD4_HUMAN",9364.76985093321,8918.51984271046,9331.467182,15034.9937875908,16552.0553566829,26155.1125711977,2598.10203406525,69796.4164763909,60846.5408692921,34049.3033244743,23950.7092831357,91018.3782702957,99045.7447114263
"2232","sp|Q10588|BST1_HUMAN",11320.3182321092,10026.781882327,36040.0343,32464.3756010719,34248.9771358081,28140.5005589169,3511.94656818592,66079.5469115806,96075.5417262771,30897.1085109266,35173.6976888714,77380.201115077,68001.9580624411
"2233","sp|Q16134|ETFD_HUMAN",22350.8493237596,23363.4268142156,47776.49428,30055.66869823,51771.5480194924,29643.5144130469,1166.65724708748,93804.6785349588,77590.9368593757,88244.0300489214,150052.802961642,42072.2979218456,47971.5659924769
"2234","sp|Q56VL3|OCAD2_HUMAN",11363.866578882,11912.5727780333,9736.802965,17356.2052733155,27518.970805478,25282.6915148806,3490.81923761715,58725.3447700358,66345.574531473,176741.380944535,122591.110317533,97602.9292929518,89758.1406396097
"2235","sp|P23229|ITA6_HUMAN",9488.41639445877,9350.31350922075,31549.39659,20976.9276967373,21189.3708301302,16881.0067776302,8929.92016255436,180587.520862058,158091.058925765,48412.4164929991,48297.5365580156,114536.122031648,147726.669979857
"2236","sp|Q9P2B2|FPRP_HUMAN",2804.8416875169,2567.53558571562,16029.85206,18032.8801837015,36148.7507645712,33997.3934988403,3494.21283891351,153125.067566906,147784.278257397,270708.237518685,238434.106951672,61726.1014686167,70129.9190236464
"2237","sp|P08174|DAF_HUMAN",48658.868189274,55937.1915685466,115119.1421,116931.122027407,188460.40027187,170828.915520087,17855.7675585834,97138.6453343203,84149.9248187138,77619.3190308111,94386.4152568326,79082.5854616726,76056.6240303058
"2238","sp|O60232|SSA27_HUMAN",429.001722962751,303.96275747493,364.2684824,8.96034732301016e-06,358.975219478056,5908.9016983022,1.76087376131488,30426.4333827433,23432.8623683906,50571.9614687717,49140.8999488944,9694.49145871412,901.224231407356
"2239","sp|P01625|KV402_HUMAN;sp|P06313|KV403_HUMAN",193051.53364803,246299.827076622,1513441.407,1260979.98098331,462586.294560026,251242.322597231,195274.97133885,545880.083008731,706938.427344993,1866815.46097791,2007916.57285679,2021502.3057136,1901482.14065982
"2240","sp|Q96IY4|CBPB2_HUMAN",78028.9071545876,97534.8251404326,244310.0117,232952.658230842,227032.279113193,230458.55633995,33675.0919460146,225388.232722305,191262.03574785,1472687.79293083,1460904.32766339,250118.148895909,255905.881531464
"2241","sp|P11532|DMD_HUMAN",17720.9452281407,15949.363788681,56683.20181,57185.1642978763,64070.7997214061,81634.788057194,7963.90755601416,23975.5992849663,7002.36584890124,75145.5972675389,31473.2006484102,24345.4557124735,18231.6818561494
"2242","sp|Q86XP3|DDX42_HUMAN",33131.4096484993,41257.3710560421,69562.83107,67623.820868404,69959.246423164,73329.6396541583,26743.8456768558,235314.596454275,211652.925039159,215241.210580686,228880.160965204,157910.932261995,192169.214711861
"2243","sp|P11182|ODB2_HUMAN",22588.5929207389,15299.8038437711,17383.70689,4433.62387402769,49172.1333072545,38325.3342438711,5046.73538754336,100520.956062987,119226.192185438,90314.0099472245,81920.9604901204,17766.0891245819,24438.9478359177
"2244","sp|Q15208|STK38_HUMAN",4456.7714597491,3508.21784619789,9004.021262,14465.8609926566,4732.57697990482,29507.3363493585,2252.87776466794,54609.1340369476,29156.9630709948,54578.8662244738,55742.9551471132,24156.5089676265,46193.0225607775
"2245","sp|Q15428|SF3A2_HUMAN",2911.22796738437,3470.68305536622,8715.862446,12958.6515605836,10690.3883336989,20370.2946998281,2726.15256210294,99285.5205335815,104854.888788535,179043.585559278,107670.427267423,97335.2138912209,89260.8340456216
"2246","sp|Q9GZZ9|UBA5_HUMAN",1029.74000926949,655.530326140707,831.2524051,607.099448238165,1172.46686712084,1879.78686104398,78.8637664676379,26176.8994858607,29246.3097151851,8183.19483896618,39451.2214447395,13235.6880883541,18660.4242211881
"2247","sp|O00625|PIR_HUMAN",11664.6934436636,12946.9706744975,12435.93388,17559.4677685424,27175.2525648621,25875.9087016645,4725.27191672752,54661.4193015061,64137.9231737387,35573.576988404,36048.1217924692,90854.0932783178,125316.833783584
"2248","sp|Q4G176|ACSF3_HUMAN",15705.8971498126,14320.3799216959,1961.15163,2428.79987241016,21366.1028504864,25732.3894483225,1309.68192590822,20592.6149109937,27346.7946547998,82305.2813360774,94649.8847125946,32196.9394160274,32729.2627818659
"2249","sp|Q9UK08|GBG8_HUMAN",17530.7502440207,15735.7292804982,79498.65673,79049.9834019812,63194.3728241235,63135.4610011881,23183.1041889602,64906.4321760415,60612.9115216712,151300.573480069,143335.897334464,57981.7045167797,33622.5599292192
"2250","sp|Q9Y613|FHOD1_HUMAN",11144.6723898919,10873.8631346591,35336.90865,33415.9395142876,80795.134998908,44145.9202778332,8824.608067515,32558.7290814413,27582.6082963223,48740.3476214414,43834.3775567177,15196.8826531745,24989.3211349976
"2251","sp|Q86SF2|GALT7_HUMAN",4.59209006161339e-06,5.43342269012339e-06,9967.909517,15007.4980209936,347.931846235343,2567.20585161384,8104.85891493176,147006.184582554,192859.680158448,35079.7473813465,27788.9283201067,6286.09746716001,34933.8809789707
"2252","sp|P16220|CREB1_HUMAN",2961.22914941956,3211.32613333003,637.2302728,920.693303482131,11532.0034499324,6221.9921300705,46.5962353104493,19298.2427991467,19183.8996506307,30496.193864471,2711.55545364463,22288.2661179991,27225.6209758843
"2253","sp|Q9Y5P4|C43BP_HUMAN",25255.0067853276,30135.3605567765,24729.92886,37157.2285631402,58472.688714117,52565.981022079,4471.11423278154,57262.1613293859,27942.5454021078,68876.9661988947,85262.8149888452,67869.69684747,52668.7632668365
"2254","sp|Q99700|ATX2_HUMAN",7998.57673719078,7980.54510619883,15804.22112,16282.417088335,48903.3501871834,33401.6075258811,4.72166493772663e-06,56744.6122090005,67522.6740684986,137117.672034341,129944.085945664,36326.2568483141,92229.8167379527
"2255","sp|O75821|EIF3G_HUMAN",14773.3883091359,4231.53520716821,1811.933105,10327.4659987736,37167.9887258471,34128.9705940778,4874.94983789637,108319.61891251,83859.6887197604,156733.738239483,153016.430224744,178116.447897185,137183.866582349
"2256","sp|Q7L591|DOK3_HUMAN",5117.64583295779,3234.43421705346,1548.083969,2434.60742565185,13196.0575074452,5218.63822366849,293.824108873912,16063.8310303581,19634.5788982277,115285.551307258,74606.5979623012,7667.57038525348,8525.07453316829
"2257","sp|Q9NPY3|C1QR1_HUMAN",35528.5903059959,46593.3234678589,174253.6208,164393.391402631,180070.582625019,213323.051717286,28173.8198502947,32366.8297009776,26447.1550103893,70393.5197234709,83719.6298788212,51442.4766267078,60947.5268414558
"2258","sp|Q9BRX8|F213A_HUMAN",25186.8118003287,35177.7149036487,55059.3392,47132.6511892089,39063.7529200488,39046.8500357638,1476.63655081866,271603.373927982,268854.393806754,120931.089479737,99516.7735874792,298999.07319375,312413.565970336
"2259","sp|P25942|TNR5_HUMAN",10936.6844619628,14497.97929142,13858.74241,10234.9465776348,19333.1137317829,23914.5433257911,14134.6730269729,87632.1215541191,119470.120525572,81167.7707673688,91803.1163687878,76388.4660079978,74149.7058832107
"2260","sp|O60869|EDF1_HUMAN",6737.35451783679,10697.9210729574,5017.382676,5275.6041543218,10574.5516543995,14023.1911092965,4281.82087608607,27463.4317933186,55865.8933753813,230936.084110512,192187.505649315,94003.8146160147,75549.0613420491
"2261","sp|Q8NFH5|NUP53_HUMAN",4809.76374529482,2906.09624925123,6291.165886,6902.96945606381,15418.391690685,12847.9132253014,3001.91497849355,99141.1066609482,90106.776790917,26306.5864355752,29336.5799399923,98509.4809345783,72760.3504864435
