"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2
"341","sp|Q15046|SYK_HUMAN",19.9708192460416,19.9114558413796,19.552584856833,19.551775834277,19.8021530359006,19.9434510364165,20.1881900823001,20.0318742375432,19.9825438888331,20.0424884753905,20.0864633608737,19.9215928859347,19.9937260184512
"342","sp|P05107|ITB2_HUMAN;sp|P26010|ITB7_HUMAN",21.4429320543605,21.4222846922957,21.1461285609177,20.9415713094394,20.5277015906662,20.7890581863333,21.0119433596173,21.7573312742185,21.618419460995,20.9390973933493,20.8070555751694,21.1495121974304,21.2163296300959
"343","sp|P05141|ADT2_HUMAN",23.9108156826804,23.8436007511527,22.6942434348839,22.6939329758906,23.5526014846666,23.3683267913457,22.378399057901,23.1160483571477,23.3076946639572,22.3748900507836,22.3045588243964,23.9778771548984,23.5962502292103
"344","sp|Q7Z6Z7|HUWE1_HUMAN",21.916641355724,21.7374524067547,20.2011914354312,19.7386650529105,20.3440994010633,20.3576840872266,21.3814564334621,24.0606889514749,23.9199375970961,19.4469635183984,19.739748225876,23.8958142033765,23.8914444198659
"345","sp|Q92598|HS105_HUMAN",20.2362883210141,19.8372208221478,18.9288309542395,19.0258569034064,19.7323677526806,19.9144540161746,19.5625334640516,20.7737036575695,20.8597332584983,20.3804391367935,20.3188255392143,20.3122430727067,20.3985440992988
"346","sp|P55060|XPO2_HUMAN",19.7740777774829,19.677318116565,20.2431310660659,20.0149779878485,20.548708085839,20.3468633098244,20.1912438926918,21.9010415963098,22.0370438454921,20.4066259361338,20.6775892136639,20.9778164502186,20.975486848191
"347","sp|P04003|C4BPA_HUMAN",21.3766821728119,21.2798246260554,22.3221284979842,22.564133041757,20.7384686010538,20.9339018309,23.2597194574578,19.9887509416769,20.0491621777711,21.0263857108239,20.6937764360483,20.0849209173691,19.9909872653576
"348","sp|Q9Y6N5|SQRD_HUMAN",22.8839725230618,22.6324176005617,22.1683924534652,22.0388885895545,22.0932948501095,22.01703819857,21.3785234007992,21.919399350259,21.8991884284305,21.4639860518348,21.7991577852554,21.9809401515316,22.0005613750186
"349","sp|O00410|IPO5_HUMAN",18.6379113286501,18.2666252234506,18.8224319739176,18.4387748031936,18.7974640127013,18.5255927714793,19.2895802448629,19.7391417313359,19.6511261996541,19.4624038000658,19.2605815265679,19.2678653605379,19.2237995422987
"350","sp|P14317|HCLS1_HUMAN",19.6060975658405,18.9324459564827,18.7181369619077,18.3283467555142,18.8008659104646,19.4432013928325,18.7845363900696,18.6632162489706,19.0410582311831,19.4498538368868,20.0195419523854,20.0414394704374,19.6001151473582
"351","sp|Q16891|MIC60_HUMAN",19.0720711949898,18.6584115817994,18.6026028746863,18.3462046274307,19.327613705715,19.0987134466793,18.5392122666413,19.0429392189145,18.8173678428881,18.4245899063081,18.4255236487032,19.1619054780581,19.3146706324309
"352","sp|P43490|NAMPT_HUMAN",20.2084690136456,20.082689288434,19.5529861536097,19.7933962983418,19.888315768556,19.8168891201018,19.2257996563367,21.8291963856829,21.7753540561578,20.9077116336377,20.8505718929985,22.3047896885625,22.3930548818514
"353","sp|P78371|TCPB_HUMAN",20.8198988337162,20.4712244634989,20.1949620681066,20.1227697899776,20.4759772594027,20.8019369132921,20.5520916588365,20.660349764113,20.8840114090258,20.488385897751,20.4778861463383,21.19777865847,21.1939235055377
