"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901681","GO:1901681","sulfur compound binding","6/14","12/135",0.000264900867516071,0.0103311338331268,0.009201819608453,"P04004/P05164/P08246/P08311/P20160/P29401",6
"GO:0005539","GO:0005539","glycosaminoglycan binding","5/14","11/135",0.0018594582036155,0.0362594349705022,0.0322958530101639,"P04004/P05164/P08246/P08311/P20160",5
