"","x"
"1","P23528;Q9Y281"
"2","P02652"
"3","P62258"
"4","P00441"
"5","sp|P59594|SPIKE_CVHSA"
"6","P63104"
"7","P31946"
"8","P04792"
"9","P00738;P00739"
"10","P0C1K1"
"11","P07900"
"12","P01834"
"13","P01593;P01594"
"14","P0DOX5;P01857"
"15","P02768"
"16","Q9GZZ8"
"17","P0C0L4;P0C0L5"
"18","P04745;P19961;P04746"
"19","P01876"
"20","P02790"
"21","P31947"
"22","Q2M389"
"23","P02787"
"24","P61981"
"25","Q13938"
"26","P01871;P0DOX6"
