"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"351","BT","Quantile",0.002,0,1,0,1,165
"352","BT","Quantile",0.003,0,1,0,1,174
"360","BT","Quantile",0.02,0,1,0,1,223
"361","BT","Quantile",0.03,0,1,0,1,237
"362","BT","Quantile",0.04,0,1,0,1,245
"364","BT","Quantile",0.06,0,1,0,1,265
"365","BT","Quantile",0.07,0,1,0,1,271
"1","BT","None",1e-06,0,0,0,0,101
"13","BT","None",4e-05,0,0,0,0,137
"14","BT","None",5e-05,0,0,0,0,139
"15","BT","None",6e-05,0,0,0,0,139
"16","BT","None",7e-05,0,0,0,0,141
"17","BT","None",8e-05,0,0,0,0,141
"18","BT","None",9e-05,0,0,0,0,142
"19","BT","None",1e-04,0,0,0,0,143
"23","BT","None",5e-04,0,0,0,0,166
"24","BT","None",6e-04,0,0,0,0,169
"25","BT","None",7e-04,0,0,0,0,170
"26","BT","None",8e-04,0,0,0,0,173
"27","BT","None",9e-04,0,0,0,0,173
"28","BT","None",0.001,0,0,0,0,176
"29","BT","None",0.002,0,0,0,0,181
"47","BT","AI-G",1e-06,0,0,0,0,0
"48","BT","AI-G",2e-06,0,0,0,0,0
"49","BT","AI-G",3e-06,0,0,0,0,0
"50","BT","AI-G",4e-06,0,0,0,0,0
"51","BT","AI-G",5e-06,0,0,0,0,0
"52","BT","AI-G",6e-06,0,0,0,0,0
"53","BT","AI-G",7e-06,0,0,0,0,0
"54","BT","AI-G",8e-06,0,0,0,0,0
"55","BT","AI-G",9e-06,0,0,0,0,0
"56","BT","AI-G",1e-05,0,0,0,0,0
"57","BT","AI-G",2e-05,0,0,0,0,0
"58","BT","AI-G",3e-05,0,0,0,0,0
"59","BT","AI-G",4e-05,0,0,0,0,0
"60","BT","AI-G",5e-05,0,0,0,0,0
"61","BT","AI-G",6e-05,0,0,0,0,0
"62","BT","AI-G",7e-05,0,0,0,0,0
"63","BT","AI-G",8e-05,0,0,0,0,0
"64","BT","AI-G",9e-05,0,0,0,0,0
"65","BT","AI-G",1e-04,0,0,0,0,0
"66","BT","AI-G",2e-04,0,0,0,0,0
"67","BT","AI-G",3e-04,0,0,0,0,0
"68","BT","AI-G",4e-04,0,0,0,0,0
"69","BT","AI-G",5e-04,0,0,0,0,0
"70","BT","AI-G",6e-04,0,0,0,0,0
"71","BT","AI-G",7e-04,0,0,0,0,0
"72","BT","AI-G",8e-04,0,0,0,0,0
"73","BT","AI-G",9e-04,0,0,0,0,0
"74","BT","AI-G",0.001,0,0,0,0,0
"75","BT","AI-G",0.002,0,0,0,0,0
"76","BT","AI-G",0.003,0,0,0,0,0
"77","BT","AI-G",0.004,0,0,0,0,1
"78","BT","AI-G",0.005,0,0,0,0,1
"79","BT","AI-G",0.006,0,0,0,0,1
"80","BT","AI-G",0.007,0,0,0,0,1
"81","BT","AI-G",0.008,0,0,0,0,1
"82","BT","AI-G",0.009,0,0,0,0,2
"83","BT","AI-G",0.01,0,0,0,0,2
"84","BT","AI-G",0.02,0,0,0,0,2
"85","BT","AI-G",0.03,0,0,0,0,3
"86","BT","AI-G",0.04,0,0,0,0,5
"87","BT","AI-G",0.05,0,0,0,0,7
"88","BT","AI-G",0.06,0,0,0,0,10
"89","BT","AI-G",0.07,0,0,0,0,14
"90","BT","AI-G",0.08,0,0,0,0,14
"91","BT","AI-G",0.09,0,0,0,0,15
"92","BT","AI-G",0.1,0,0,0,0,18
"93","BT","MedI-G",1e-06,0,0,0,0,0
