"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"284","QM","Quantile",8e-06,38,2,21,61,410
"2","QM","Loess-G",2e-06,30,10,20,60,652
"138","QM","VSN-G",0.1,40,6,14,60,1256
"278","QM","Quantile",2e-06,36,4,20,60,362
"297","QM","Quantile",3e-04,35,6,19,60,580
"279","QM","Quantile",3e-06,35,4,20,59,376
"282","QM","Quantile",6e-06,38,2,19,59,399
"27","QM","Loess-G",9e-04,41,3,14,58,1024
"28","QM","Loess-G",0.001,39,5,14,58,1034
"75","QM","RLR-G",0.002,38,3,17,58,965
"69","QM","RLR-G",5e-04,40,3,14,57,859
"137","QM","VSN-G",0.09,40,3,14,57,1226
"281","QM","Quantile",5e-06,39,2,16,57,391
"21","QM","Loess-G",3e-04,37,2,17,56,933
"286","QM","Quantile",1e-05,33,3,20,56,417
"22","QM","Loess-G",4e-04,36,2,17,55,952
"25","QM","Loess-G",7e-04,39,3,13,55,996
"132","QM","VSN-G",0.04,31,7,17,55,1053
"70","QM","RLR-G",6e-04,33,5,16,54,877
"131","QM","VSN-G",0.03,32,7,14,53,1011
"23","QM","Loess-G",5e-04,36,2,12,50,967
"71","QM","RLR-G",7e-04,29,5,16,50,891
"29","QM","Loess-G",0.002,30,3,14,47,1094
"277","QM","Quantile",1e-06,25,2,20,47,342
"33","QM","Loess-G",0.006,33,4,9,46,1222
"39","QM","Loess-G",0.03,34,4,8,46,1434
"76","QM","RLR-G",0.003,27,4,14,45,1007
"315","QM","Quantile",0.03,31,4,10,45,1095
"30","QM","Loess-G",0.003,32,3,9,44,1141
"34","QM","Loess-G",0.007,32,3,9,44,1239
"38","QM","Loess-G",0.02,30,4,8,42,1379
"318","QM","Quantile",0.06,29,3,10,42,1221
"321","QM","Quantile",0.09,32,2,7,41,1300
"320","QM","Quantile",0.08,30,3,6,39,1283
"322","QM","Quantile",0.1,30,2,7,39,1323
"32","QM","Loess-G",0.005,25,4,9,38,1205
"317","QM","Quantile",0.05,28,3,7,38,1188
"316","QM","Quantile",0.04,25,3,9,37,1157
"35","QM","Loess-G",0.008,24,3,9,36,1254
"31","QM","Loess-G",0.004,26,1,8,35,1172
"77","QM","RLR-G",0.004,20,3,11,34,1040
"319","QM","Quantile",0.07,24,3,7,34,1253
"41","QM","Loess-G",0.05,26,3,2,31,1509
"37","QM","Loess-G",0.01,19,3,7,29,1285
"36","QM","Loess-G",0.009,18,3,7,28,1273
"40","QM","Loess-G",0.04,21,3,3,27,1474
"42","QM","Loess-G",0.06,22,2,2,26,1552
"43","QM","Loess-G",0.07,20,0,2,22,1585
"85","QM","RLR-G",0.03,14,2,6,22,1329
"78","QM","RLR-G",0.005,4,2,11,17,1080
"80","QM","RLR-G",0.007,4,2,9,15,1128
"81","QM","RLR-G",0.008,3,3,9,15,1146
"82","QM","RLR-G",0.009,4,3,8,15,1158
"86","QM","RLR-G",0.04,7,3,5,15,1380
"83","QM","RLR-G",0.01,4,3,7,14,1170
"79","QM","RLR-G",0.006,2,2,9,13,1108
"87","QM","RLR-G",0.05,6,3,3,12,1421
"88","QM","RLR-G",0.06,5,4,3,12,1444
"174","QM","TI-G",0.009,12,0,0,12,10
"84","QM","RLR-G",0.02,2,2,6,10,1258
"90","QM","RLR-G",0.08,8,0,2,10,1500
"89","QM","RLR-G",0.07,4,1,3,8,1471
"168","QM","TI-G",0.003,0,7,0,7,3
"169","QM","TI-G",0.004,0,7,0,7,3
"139","QM","TI-G",1e-06,3,3,0,6,1
"140","QM","TI-G",2e-06,3,3,0,6,1
"141","QM","TI-G",3e-06,3,3,0,6,1
"142","QM","TI-G",4e-06,3,3,0,6,1
"143","QM","TI-G",5e-06,3,3,0,6,1
"144","QM","TI-G",6e-06,3,3,0,6,1
"145","QM","TI-G",7e-06,3,3,0,6,1
"146","QM","TI-G",8e-06,3,3,0,6,1
"147","QM","TI-G",9e-06,3,3,0,6,1
"148","QM","TI-G",1e-05,3,3,0,6,1
"149","QM","TI-G",2e-05,3,3,0,6,1
"150","QM","TI-G",3e-05,3,3,0,6,1
"151","QM","TI-G",4e-05,3,3,0,6,1
"152","QM","TI-G",5e-05,3,3,0,6,1
"153","QM","TI-G",6e-05,3,3,0,6,1
"154","QM","TI-G",7e-05,3,3,0,6,1
"155","QM","TI-G",8e-05,3,3,0,6,1
"156","QM","TI-G",9e-05,3,3,0,6,1
"157","QM","TI-G",1e-04,3,3,0,6,1
"158","QM","TI-G",2e-04,3,3,0,6,1
"159","QM","TI-G",3e-04,3,3,0,6,1
"160","QM","TI-G",4e-04,3,3,0,6,1
"161","QM","TI-G",5e-04,3,3,0,6,1
"162","QM","TI-G",6e-04,3,3,0,6,1
"163","QM","TI-G",7e-04,3,3,0,6,1
"185","QM","MedI-G",1e-06,3,3,0,6,1
"186","QM","MedI-G",2e-06,3,3,0,6,1
"187","QM","MedI-G",3e-06,3,3,0,6,1
"188","QM","MedI-G",4e-06,3,3,0,6,1
"189","QM","MedI-G",5e-06,3,3,0,6,1
"190","QM","MedI-G",6e-06,3,3,0,6,1
"191","QM","MedI-G",7e-06,3,3,0,6,1
"192","QM","MedI-G",8e-06,3,3,0,6,1
"193","QM","MedI-G",9e-06,3,3,0,6,1
"194","QM","MedI-G",1e-05,3,3,0,6,1
"195","QM","MedI-G",2e-05,3,3,0,6,1
"196","QM","MedI-G",3e-05,3,3,0,6,1
"197","QM","MedI-G",4e-05,3,3,0,6,1
"198","QM","MedI-G",5e-05,3,3,0,6,1
"199","QM","MedI-G",6e-05,3,3,0,6,1
"200","QM","MedI-G",7e-05,3,3,0,6,1
"201","QM","MedI-G",8e-05,3,3,0,6,1
"202","QM","MedI-G",9e-05,3,3,0,6,1
"203","QM","MedI-G",1e-04,3,3,0,6,1
