"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006396","GO:0006396","RNA processing","140/1131","223/2633",3.85789953989618e-10,5.52130639412995e-07,5.00947340188819e-07,"Q15637/Q08211/O00567/Q9UMS4/O75643/Q15393/Q15029/Q8WYA6/O43809/P14866/P39019/O95232/Q15046/Q13895/P62753/Q07955/Q9UKV3/P07910/Q9Y3F4/O75533/Q9H0D6/Q05519/P22626/P19338/P51991/Q96PZ0/P05455/Q8N684/P26368/Q12874/Q05048/O43143/Q01130/Q96DI7/O60341/P17844/Q92499/Q53GS9/O75569/Q13247/P78527/O43172/P55769/P55795/P52272/Q6P2Q9/P40763/P18124/P11940/Q15233/Q5VTR2/Q92945/O95396/P09651/Q13838/Q92841/Q96EP5/Q8N163/P67809/Q96PK6/Q7RTV0/Q15287/P42285/P62263/Q9Y383/Q9NQG5/P49588/Q99459/Q9Y3I0/P46777/Q13435/Q13148/Q9UKD2/P49591/Q01780/O94906/P55265/P23246/P62424/Q06265/P31942/O95400/Q14978/Q9UKM9/Q9BYD6/Q9NVP1/Q9Y2W1/P17612/P62913/Q8WWY3/Q9Y333/P61978/P63220/Q16630/Q9BWF3/P62857/Q9UHX1/Q15459/P35637/P62241/P62277/Q9UQ80/Q86W42/Q15424/P38159/P84103/Q9UI30/Q9Y2X3/Q7L014/Q9BUJ2/Q99714/Q13523/Q6L8Q7/Q2NL82/Q15428/P67775/P38919/Q14498/Q08J23/P36507/O75475/Q99873/Q96FV9/Q9NY27/Q09161/O00571/P33240/Q5JTZ9/Q9H0S4/O75494/P26599/P31943/O43390/P56537/Q12788/O60506/Q07666/P18077/O14776/Q13310",140
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","68/1131","91/2633",3.93956931439882e-10,5.52130639412995e-07,5.00947340188819e-07,"Q15637/Q08211/Q9UMS4/P08238/P13010/O75643/O43809/P39019/O95232/P05388/P08865/B5ME19/Q07955/Q9Y3F4/O75533/Q9Y262/P55072/Q9Y230/Q8N684/P55884/Q12874/Q92499/Q53GS9/Q13247/P78527/P55769/P55010/Q6P2Q9/P07900/Q13838/Q02878/P62263/Q9Y383/O00303/Q9UBQ5/O75822/P46777/Q9UKD2/O94906/P55265/O95400/P60228/P62913/Q8WWY3/Q14152/P23588/Q9Y333/O75821/Q16630/P62857/Q13315/Q9UHX1/Q15459/P39023/Q15428/Q07866/P62750/Q7L2H7/Q15185/O75475/P33176/Q09161/O15371/O75494/Q9Y265/Q7L2E3/P27635/P56537",68
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","92/1131","136/2633",2.19561760130621e-09,1.44141711065668e-06,1.30779568482886e-06,"Q15637/Q08211/O00567/Q9UMS4/P08238/P13010/O75643/O43809/P39019/O95232/P05388/P08865/B5ME19/Q13895/P62753/Q07955/Q9Y3F4/O75533/Q9Y262/Q9H0D6/Q9Y230/Q8N684/P55884/Q12874/Q92499/Q53GS9/Q13247/P78527/P55769/P55010/Q6P2Q9/P18124/P61221/P07900/Q13838/Q92841/Q02878/P42285/P62263/Q9Y383/O00303/Q9UBQ5/O75822/P46777/Q9UKD2/Q01780/O94906/P55265/P62424/Q06265/O95400/Q14978/P60228/Q9BYD6/Q9NVP1/P62913/Q8WWY3/Q14152/P23588/Q9Y333/O14980/O75821/P63220/Q16630/P62857/Q13315/Q9UHX1/Q15459/P39023/P62241/Q9UQ80/Q9UI30/Q9Y2X3/Q2NL82/Q15428/P62750/P38919/Q7L2H7/Q15185/O75475/P62826/Q09161/O00571/O15371/Q9H0S4/O75494/Q9Y265/Q7L2E3/P27635/P56537/Q12788/P18077",92
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","65/1131","88/2633",2.24771331350657e-09,1.44141711065668e-06,1.30779568482886e-06,"Q15637/Q08211/Q9UMS4/P08238/P13010/O75643/O43809/P39019/O95232/P05388/P08865/B5ME19/Q07955/Q9Y3F4/O75533/Q9Y262/Q9Y230/Q8N684/P55884/Q12874/Q92499/Q53GS9/Q13247/P78527/P55769/P55010/Q6P2Q9/P07900/Q13838/Q02878/P62263/Q9Y383/O00303/Q9UBQ5/O75822/P46777/Q9UKD2/O94906/P55265/O95400/P60228/P62913/Q8WWY3/Q14152/P23588/Q9Y333/O75821/Q16630/P62857/Q13315/Q9UHX1/Q15459/P39023/Q15428/P62750/Q7L2H7/Q15185/O75475/Q09161/O15371/O75494/Q9Y265/Q7L2E3/P27635/P56537",65
"GO:0006412","GO:0006412","translation","145/1131","237/2633",2.57120426446071e-09,1.44141711065668e-06,1.30779568482886e-06,"P13639/P60842/P63244/P36578/P23396/Q08211/P62269/P29692/P07814/P39019/Q6IS14/P05388/P08865/B5ME19/Q15046/P62888/P62753/Q9NSD9/P14868/P25398/P54577/P78344/Q9Y262/P05198/P19338/Q02543/Q96PZ0/P18621/P55884/P12270/Q14444/P61247/Q92499/P78527/P41252/P55010/Q8N1G4/P32969/P40763/Q92900/P18124/P61221/P11940/P27797/P62917/Q92945/P47897/Q8NE71/Q13838/Q12906/Q02878/P67809/P26196/P05387/P56192/O75175/P62263/Q92616/O00303/Q9UBQ5/P35268/P49588/P14618/Q9NP81/P46783/O75822/P46777/P26641/Q13148/P49591/P58546/P04406/Q9NR50/P62424/Q06265/Q14978/A5YKK6/Q15363/P60228/Q9BYD6/O60841/P30050/P62244/P62913/P62280/Q9BYJ9/Q14152/Q9P2E9/P23588/Q6PI48/O75821/P15880/P63220/Q8N3C0/Q9BWF3/P46779/P62857/P54136/P24534/P21399/P62701/P39023/Q13217/Q9HCE1/P13798/P62241/P62910/P62277/Q9UQ80/O75534/Q9Y2R0/P34897/P62633/P68104/Q6L8Q7/Q14240/P62750/Q13464/P38919/Q7L2H7/Q9P2J5/Q9Y295/Q15717/Q9NSE4/Q04637/P08670/P16989/O43776/P42704/Q09161/O00571/P49406/P49207/Q5JTZ9/O15371/Q9BYD3/P49458/O43390/P27635/P56537/O60506/Q07666/P18077/P49411/Q13310",145
"GO:0006403","GO:0006403","RNA localization","59/1131","84/2633",2.61921230725637e-07,6.67422917930874e-05,6.05551859744631e-05,"Q08211/Q6IS14/P17987/P49792/Q99832/Q07955/P48643/Q16762/P22626/P51991/P05455/Q9Y230/P12270/Q92900/P49368/P49790/Q92945/Q9UMR2/P09651/Q13838/P67809/P50990/P57740/P78371/Q01780/P40227/O94906/Q9UKX7/P50991/P55735/Q7Z3B4/Q9UBU9/O14980/Q8TEM1/Q9Y3Y2/Q16630/O75694/Q13315/Q86W42/Q14008/P84103/Q9Y2X3/P52594/Q8WYP5/P38919/Q92621/Q08J23/Q96FV9/Q8N1F7/Q8WUM0/Q14764/P62826/P42704/Q09161/O43592/Q9Y265/P35658/Q07666/Q14699",59
"GO:0044265","GO:0044265","cellular macromolecule catabolic process","149/1131","261/2633",9.34454391516063e-07,0.000198036493715323,0.000179678227769578,"P62191/P28066/P63244/Q08211/Q9UMS4/P55036/Q9UL46/P08238/Q15008/O43242/P63208/O00231/P60900/P35998/Q9Y5K5/P62195/O00487/Q13200/P07910/Q9H0D6/P55072/P27824/P05455/Q9UNM6/Q9NYU2/P22314/Q7Z2W4/Q15369/P17844/Q14139/P51665/P52272/Q96A33/P62333/P68400/Q92900/P07900/P11940/P28072/P27797/Q5VTR2/Q7KZF4/Q92945/Q8N163/P67809/P25788/Q9UK41/P45974/Q15287/O75175/Q14258/P42285/Q96JB5/O94874/Q93008/Q8TCJ2/Q13618/Q14694/P46777/Q13148/Q9UKD2/Q05655/P29590/Q01780/Q99497/P15374/Q5T4S7/Q06265/Q63HN8/A5YKK6/P60228/P46379/P13716/Q9Y2W1/P17612/P62913/Q8WW12/Q14669/P28062/Q9BYJ9/O60826/P26038/Q9Y333/O14980/Q93009/P13489/P60468/P43686/Q16531/A2RRP1/Q8N3C0/P51572/Q13315/Q8NC51/Q07812/O00584/Q8TDB6/Q13217/P35637/O43765/Q9HCE1/O75534/O15294/Q9UHD9/P22681/Q9UBR2/P28070/P62714/P20618/A0AVT1/P11021/P61956/Q6L8Q7/Q99460/O75351/Q13488/Q13464/Q96J02/P38919/Q08J23/P25787/Q15717/Q8WUM4/P29728/P49721/P08670/P16989/Q9UNZ2/P42704/P07858/Q09161/O14818/Q9H3S7/Q96QK1/Q9GZT3/Q06323/P14625/P51149/O43390/P36776/P19784/Q96K76/O60506/Q07954/O00560/Q9Y446/Q13310/P15311/Q9Y5X3",149
"GO:0009060","GO:0009060","aerobic respiration","50/1131","70/2633",9.89122694261337e-07,0.000198036493715323,0.000179678227769578,"P06576/O43674/P31930/P10606/P31040/P55072/Q16795/P25705/Q9UJZ1/P22695/O75390/P36542/P09622/O75489/P40926/Q99497/P11177/O14949/O75323/Q9Y6M9/P48735/P14406/P14854/P21912/P53597/P21399/P49821/Q96I99/P09669/O75874/P34897/Q9P2R7/Q6L8Q7/O96000/P14927/Q13423/O75380/Q02218/P50213/P30566/P20674/Q99798/P30405/P19404/P99999/O95299/P43246/O43678/P28331/O00483",50
"GO:1901566","GO:1901566","organonitrogen compound biosynthetic process","231/1131","434/2633",1.61589559399504e-06,0.000283084709373006,0.000256842352308685,"Q06210/P13639/P60842/P63244/P36578/P23396/Q08211/P62269/P48637/P29692/O60701/P07814/P22830/P06576/P39019/Q6IS14/P05388/P08865/B5ME19/Q15046/P62888/P62753/Q13724/Q9NSD9/P14868/P25398/O75746/P54577/P78344/Q9Y262/P05198/P55072/P19338/Q02543/Q96S52/Q96PZ0/P18621/Q9NYU2/P53007/P55884/P06733/P14550/P12270/Q14444/P25705/P61247/Q92499/P38606/Q9UJZ1/P78527/P41252/P55010/Q8N1G4/P32969/P40763/Q92900/P18124/P61221/Q9P035/P11940/P27797/Q53H96/P62917/Q92945/P22102/P36542/O95396/P47897/Q8NE71/Q13838/P36551/Q12906/Q02878/Q16706/P09622/P67809/P26196/P05387/O00154/P17174/P56192/O75175/P12268/P62263/Q92616/P07741/O00303/Q9UBQ5/P35268/P49588/P14618/Q9NP81/P46783/Q8TCJ2/O75822/P46777/P54819/P26641/Q13148/Q05655/P49591/P58546/Q99497/Q00610/P04406/Q9NR50/P11177/P04844/P62424/P19838/Q06265/Q14978/A5YKK6/Q8IXQ6/Q15363/P60228/Q9BYD6/O60841/P30050/P13716/P62244/O95352/O15382/P61803/P00568/P62913/Q15120/P62280/Q9BYJ9/Q9HAB8/Q14152/Q9P2E9/P23588/P48651/P48735/Q6PI48/O75821/P15880/P63220/P20839/O95573/P00491/Q8N3C0/Q9BWF3/P46779/Q13131/P62857/P54136/P24534/P21399/Q9NQX3/P62701/P53396/P39023/Q13217/Q13085/Q9HCE1/P00505/P13798/P62241/P62910/P49189/P31939/P62277/Q9UQ80/O75534/O15294/P33121/O95782/O43252/Q9Y2R0/P34897/P54886/P62633/P02549/P49585/Q9P2R7/P68104/Q6L8Q7/Q14240/P62750/Q13464/P38919/Q7L2H7/Q9P2J5/Q9Y295/Q6PCB7/Q15717/O15305/P30566/Q9NSE4/P06865/Q99873/Q04637/P08670/P16989/Q9UJS0/Q9NVE7/Q6XQN6/O43776/P55263/O43175/P19623/P42704/Q9NZ01/P30085/Q09161/O00571/P04843/P49406/P49207/Q16775/P54687/Q5JTZ9/O75688/O15371/Q01432/Q9BYD3/P49458/O43390/Q01433/P27635/P56537/O60506/O95470/Q07666/P18077/P49411/Q13310/O00330/O00264",231
"GO:0033365","GO:0033365","protein localization to organelle","130/1131","225/2633",2.11107139165026e-06,0.000337094511619886,0.000305845368711585,"Q9P258/Q08211/P46060/Q14974/P08238/P13010/P36405/Q9Y5M8/P63208/P17987/Q14134/Q13895/P49792/Q99832/P48643/P55072/P18085/P05455/O00410/Q9Y230/P34932/P12270/Q92499/P15927/P31689/O14737/Q96A33/P40763/P49368/Q99623/P07900/P27797/P49790/P67809/Q13263/P12830/Q9UK41/Q5JTV8/Q9BQL6/Q96JB5/Q9Y6C9/P50990/P57740/P78371/Q13148/Q05655/P29590/Q99497/P40227/O00429/P20645/Q15691/Q9UKX7/Q14978/P55786/P50991/Q709C8/Q8IXQ6/P10809/Q92973/P46379/O00170/P49257/P17612/P55735/O75439/P52292/P62913/O14617/Q7Z3B4/O60220/P26038/P62258/Q12959/P11279/Q13561/O14980/P60468/P16401/O75694/Q5JRX3/P15153/Q13131/P51572/O94826/Q14789/Q07812/Q8TDB6/O43765/O14964/O94901/Q3ZCQ8/Q14108/Q9UH99/P61009/O95817/P11021/Q9BZF1/Q13488/Q9NQ48/Q15717/Q14980/O00203/Q9P0M6/P40616/Q14160/Q8N1F7/Q9UNZ2/P08240/Q8WUM0/P62826/P27694/O00571/P49755/Q96QK1/O43684/P43246/P49458/P51149/Q9P0L0/P19784/O95373/P35658/Q86VS8/P49815/Q6VY07/Q15005/P32455/P15311/P23497",130
