"","x"
"124","sp|Q9Y3F4|STRAP_HUMAN"
"125","sp|P23528|COF1_HUMAN"
"126","sp|O43314|VIP2_HUMAN"
"127","sp|P22059|OSBP1_HUMAN"
"128","sp|O75533|SF3B1_HUMAN"
"129","sp|Q01518|CAP1_HUMAN"
"130","sp|Q8NF50|DOCK8_HUMAN;sp|Q96N67|DOCK7_HUMAN"
"131","sp|Q9BZH6|WDR11_HUMAN"
"132","sp|P25398|RS12_HUMAN"
"133","sp|P46734|MP2K3_HUMAN;sp|P52564|MP2K6_HUMAN"
"134","sp|O75746|CMC1_HUMAN"
"135","sp|P54577|SYYC_HUMAN"
"136","sp|Q96FW1|OTUB1_HUMAN"
"137","sp|P78344|IF4G2_HUMAN"
"138","sp|O15145|ARPC3_HUMAN"
"139","sp|O15144|ARPC2_HUMAN"
"140","sp|Q6NXT2|H3C_HUMAN"
"141","sp|Q16762|THTR_HUMAN"
"142","sp|Q9Y262|EIF3L_HUMAN"
"143","sp|Q02978|M2OM_HUMAN"
"144","sp|Q9H0D6|XRN2_HUMAN"
"145","sp|P05198|IF2A_HUMAN"
"146","sp|P31040|SDHA_HUMAN"
"147","sp|Q9H0R4|HDHD2_HUMAN"
"148","sp|P55072|TERA_HUMAN"
"149","sp|Q05519|SRS11_HUMAN"
"150","sp|Q92598|HS105_HUMAN"
"151","sp|P16144|ITB4_HUMAN"
"152","sp|P27824|CALX_HUMAN"
"153","sp|P30040|ERP29_HUMAN"
"154","sp|P22626|ROA2_HUMAN"
"155","sp|P18085|ARF4_HUMAN"
"156","sp|P19338|NUCL_HUMAN"
"157","sp|P22033|MUTA_HUMAN"
"158","sp|Q02543|RL18A_HUMAN"
"159","sp|Q96S52|PIGS_HUMAN"
"160","sp|P51991|ROA3_HUMAN"
"161","sp|Q96PZ0|PUS7_HUMAN"
"162","sp|Q00765|REEP5_HUMAN"
"163","sp|O60664|PLIN3_HUMAN"
"164","sp|Q99829|CPNE1_HUMAN"
"165","sp|P05455|LA_HUMAN"
"166","sp|P18621|RL17_HUMAN"
"167","sp|Q9UNM6|PSD13_HUMAN"
"168","sp|O00410|IPO5_HUMAN"
"169","sp|Q9NYU2|UGGG1_HUMAN"
"170","sp|Q16666|IF16_HUMAN;sp|Q6K0P9|IFIX_HUMAN"
"171","sp|P53007|TXTP_HUMAN"
"172","sp|P06454|PTMA_HUMAN"
"173","sp|P50851|LRBA_HUMAN"
"174","sp|Q9Y230|RUVB2_HUMAN"
"175","sp|P22314|UBA1_HUMAN"
"176","sp|Q12907|LMAN2_HUMAN"
"177","sp|Q8N684|CPSF7_HUMAN"
"178","sp|Q16795|NDUA9_HUMAN"
"179","sp|Q96CT7|CC124_HUMAN"
"180","sp|Q9NZM1|MYOF_HUMAN"
"181","sp|P61158|ARP3_HUMAN;sp|Q9P1U1|ARP3B_HUMAN;sp|Q9C0K3|ARP3C_HUMAN"
"182","sp|P55884|EIF3B_HUMAN"
"183","sp|P48960|CD97_HUMAN"
"184","sp|Q9H936|GHC1_HUMAN;sp|Q9H1K4|GHC2_HUMAN"
"185","sp|Q92619|HMHA1_HUMAN"
"186","sp|P34932|HSP74_HUMAN"
"187","sp|P26368|U2AF2_HUMAN"
"188","sp|Q86XP3|DDX42_HUMAN"
"189","sp|P06733|ENOA_HUMAN"
"190","sp|Q12874|SF3A3_HUMAN"
"191","sp|Q7Z4W1|DCXR_HUMAN"
"192","sp|Q13442|HAP28_HUMAN"
"193","sp|P84085|ARF5_HUMAN;sp|P84077|ARF1_HUMAN"
"194","sp|P50151|GBG10_HUMAN"
"195","sp|O00244|ATOX1_HUMAN"
"196","sp|Q05048|CSTF1_HUMAN"
"197","sp|O43143|DHX15_HUMAN"
"198","sp|Q7Z2W4|ZCCHV_HUMAN"
"199","sp|Q01130|SRSF2_HUMAN"
"200","sp|Q15631|TSN_HUMAN"
"201","sp|Q9UJU6|DBNL_HUMAN"
"202","sp|Q15369|ELOC_HUMAN"
"203","sp|P14550|AK1A1_HUMAN"
"204","sp|P12270|TPR_HUMAN"
"205","sp|Q96DI7|SNR40_HUMAN"
"206","sp|Q9BVK6|TMED9_HUMAN"
"207","sp|Q13283|G3BP1_HUMAN"
"208","sp|O60341|KDM1A_HUMAN"
"209","sp|Q14444|CAPR1_HUMAN"
"210","sp|P17844|DDX5_HUMAN"
"211","sp|P07737|PROF1_HUMAN"
"212","sp|P25705|ATPA_HUMAN"
"213","sp|P61247|RS3A_HUMAN"
"214","sp|P40939|ECHA_HUMAN"
"215","sp|Q13177|PAK2_HUMAN"
"216","sp|Q92499|DDX1_HUMAN"
"217","sp|Q53GS9|SNUT2_HUMAN"
"218","sp|O75569|PRKRA_HUMAN"
"219","sp|P38606|VATA_HUMAN"
"220","sp|P15927|RFA2_HUMAN"
"221","sp|P50402|EMD_HUMAN"
"222","sp|P60953|CDC42_HUMAN"
"223","sp|P20591|MX1_HUMAN"
"224","sp|P50552|VASP_HUMAN"
"225","sp|Q01813|PFKAP_HUMAN"
"226","sp|Q7Z7H5|TMED4_HUMAN"
"227","sp|P33241|LSP1_HUMAN"
"228","sp|Q9UJZ1|STML2_HUMAN"
"229","sp|Q13247|SRSF6_HUMAN"
"230","sp|P78527|PRKDC_HUMAN"
"231","sp|P41252|SYIC_HUMAN"
"232","sp|Q92896|GSLG1_HUMAN"
"233","sp|P11387|TOP1_HUMAN;sp|Q969P6|TOP1M_HUMAN"
"234","sp|O43172|PRP4_HUMAN"
"235","sp|Q8N5K1|CISD2_HUMAN"
"236","sp|A6NHR9|SMHD1_HUMAN"
"237","sp|Q14139|UBE4A_HUMAN"
"238","sp|P12955|PEPD_HUMAN"
"239","sp|P51692|STA5B_HUMAN;sp|P42229|STA5A_HUMAN"
"240","sp|P36543|VATE1_HUMAN;sp|Q96A05|VATE2_HUMAN"
"241","sp|P51665|PSMD7_HUMAN"
"242","sp|P46459|NSF_HUMAN"
"243","sp|P55769|NH2L1_HUMAN"
"244","sp|Q9H845|ACAD9_HUMAN"
"245","sp|P31689|DNJA1_HUMAN"
"246","sp|O14737|PDCD5_HUMAN"
"247","sp|P55010|IF5_HUMAN"
"248","sp|P30048|PRDX3_HUMAN"
"249","sp|Q8N1G4|LRC47_HUMAN"
"250","sp|P55795|HNRH2_HUMAN;sp|Q9NQA5|TRPV5_HUMAN"
"251","sp|Q15067|ACOX1_HUMAN"
"252","sp|P11117|PPAL_HUMAN"
"253","sp|P52272|HNRPM_HUMAN"
"254","sp|Q9Y277|VDAC3_HUMAN"
"255","sp|Q6P2Q9|PRP8_HUMAN"
"256","sp|O95989|NUDT3_HUMAN"
"257","sp|P32969|RL9_HUMAN"
"258","sp|Q12800|TFCP2_HUMAN"
"259","sp|Q96A33|CCD47_HUMAN"
"260","sp|O75368|SH3L1_HUMAN"
"261","sp|P62333|PRS10_HUMAN"
"262","sp|Q13404|UB2V1_HUMAN"
"263","sp|O14579|COPE_HUMAN"
"264","sp|P68400|CSK21_HUMAN;sp|Q8NEV1|CSK23_HUMAN"
"265","sp|P47756|CAPZB_HUMAN"
"266","sp|P40763|STAT3_HUMAN"
"267","sp|P07686|HEXB_HUMAN"
"268","sp|P16278|BGAL_HUMAN;sp|Q6UWU2|GLB1L_HUMAN"
"269","sp|O14791|APOL1_HUMAN"
"270","sp|Q92900|RENT1_HUMAN"
"271","sp|P61160|ARP2_HUMAN"
"272","sp|P22695|QCR2_HUMAN"
"273","sp|Q9BQE3|TBA1C_HUMAN;sp|Q13748|TBA3C_HUMAN;sp|Q9NY65|TBA8_HUMAN;sp|Q6PEY2|TBA3E_HUMAN;sp|A6NHL2|TBAL3_HUMAN"
"274","sp|P49368|TCPG_HUMAN"
"275","sp|Q99623|PHB2_HUMAN"
"276","sp|Q14409|GLPK3_HUMAN"
"277","sp|P52630|STAT2_HUMAN"
"278","sp|P18124|RL7_HUMAN"
"279","sp|Q9NQR4|NIT2_HUMAN"
"280","sp|P61221|ABCE1_HUMAN"
"281","sp|P07900|HS90A_HUMAN;sp|Q58FF7|H90B3_HUMAN;sp|Q14568|HS902_HUMAN;sp|Q58FG0|HS905_HUMAN"
"282","sp|Q9P035|HACD3_HUMAN"
"283","sp|P11940|PABP1_HUMAN;sp|Q9H361|PABP3_HUMAN;sp|Q4VXU2|PAP1L_HUMAN;sp|Q96DU9|PABP5_HUMAN;sp|Q5JQF8|PAP1M_HUMAN"
"284","sp|Q15233|NONO_HUMAN"
"285","sp|P08195|4F2_HUMAN"
"286","sp|O75083|WDR1_HUMAN"
"287","sp|P28072|PSB6_HUMAN"
"288","sp|P07437|TBB5_HUMAN"
"289","sp|P27797|CALR_HUMAN"
"290","sp|Q96EY1|DNJA3_HUMAN"
"291","sp|Q5VTR2|BRE1A_HUMAN;sp|O75150|BRE1B_HUMAN"
"292","sp|P09496|CLCA_HUMAN"
"293","sp|P31948|STIP1_HUMAN"
"294","sp|P42166|LAP2A_HUMAN"
"295","sp|Q8WXH0|SYNE2_HUMAN"
"296","sp|P28838|AMPL_HUMAN"
"297","sp|O75390|CISY_HUMAN"
"298","sp|Q7KZF4|SND1_HUMAN"
"299","sp|O75937|DNJC8_HUMAN"
"300","sp|O14936|CSKP_HUMAN"
"301","sp|P25325|THTM_HUMAN"
"302","sp|Q53H96|P5CR3_HUMAN"
"303","sp|Q86X76|NIT1_HUMAN"
"304","sp|Q9UL25|RAB21_HUMAN"
"305","sp|P49790|NU153_HUMAN"
"306","sp|P62917|RL8_HUMAN"
"307","sp|Q92945|FUBP2_HUMAN"
"308","sp|Q9UMR2|DD19B_HUMAN"
"309","sp|Q9UBB4|ATX10_HUMAN"
"310","sp|P22102|PUR2_HUMAN"
"311","sp|Q5VWZ2|LYPL1_HUMAN"
"312","sp|P36542|ATPG_HUMAN"
"313","sp|O95396|MOCS3_HUMAN"
"314","sp|P47897|SYQ_HUMAN"
"315","sp|O15117|FYB_HUMAN"
"316","sp|O76071|CIAO1_HUMAN"
"317","sp|Q8NE71|ABCF1_HUMAN"
"318","sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN"
"319","sp|Q5T9A4|ATD3B_HUMAN"
"320","sp|Q13838|DX39B_HUMAN;sp|O00148|DX39A_HUMAN"
"321","sp|P36551|HEM6_HUMAN"
"322","sp|Q92841|DDX17_HUMAN"
"323","sp|Q13153|PAK1_HUMAN;sp|O75914|PAK3_HUMAN"
"324","sp|Q96G03|PGM2_HUMAN"
"325","sp|P36873|PP1G_HUMAN"
"326","sp|Q96EP5|DAZP1_HUMAN"
"327","sp|P06280|AGAL_HUMAN"
"328","sp|Q5VTU8|AT5EL_HUMAN"
"329","sp|Q12906|ILF3_HUMAN"
"330","sp|Q8N163|CCAR2_HUMAN"
"331","sp|Q16678|CP1B1_HUMAN"
"332","sp|Q96DB5|RMD1_HUMAN"
"333","sp|P02792|FRIL_HUMAN"
"334","sp|Q02878|RL6_HUMAN"
"335","sp|Q03001|DYST_HUMAN"
"336","sp|O15533|TPSN_HUMAN"
"337","sp|Q16706|MA2A1_HUMAN"
"338","sp|P09622|DLDH_HUMAN"
"339","sp|Q04446|GLGB_HUMAN"
"340","sp|Q9Y6N5|SQRD_HUMAN"
"341","sp|Q86UP2|KTN1_HUMAN"
"342","sp|P23193|TCEA1_HUMAN"
"343","sp|Q9H267|VP33B_HUMAN"
"344","sp|Q13509|TBB3_HUMAN"
"345","sp|O60493|SNX3_HUMAN"
"346","sp|P61204|ARF3_HUMAN"
"347","sp|Q16822|PCKGM_HUMAN;sp|P35558|PCKGC_HUMAN"
"348","sp|P67809|YBOX1_HUMAN"
"349","sp|O75489|NDUS3_HUMAN"
"350","sp|P26196|DDX6_HUMAN"
"351","sp|P27348|1433T_HUMAN"
"352","sp|P05387|RLA2_HUMAN"
"353","sp|Q96PK6|RBM14_HUMAN"
"354","sp|P25788|PSA3_HUMAN"
"355","sp|Q13263|TIF1B_HUMAN"
"356","sp|O00154|BACH_HUMAN"
"357","sp|P12830|CADH1_HUMAN"
"358","sp|Q9BPW8|NIPS1_HUMAN"
"359","sp|Q9NUJ1|ABHDA_HUMAN"
"360","sp|P17174|AATC_HUMAN"
"361","sp|P56192|SYMC_HUMAN"
"362","sp|P29966|MARCS_HUMAN"
"363","sp|Q9Y2Q3|GSTK1_HUMAN"
"364","sp|P40926|MDHM_HUMAN"
"365","sp|Q9UK41|VPS28_HUMAN"
"366","sp|Q9C0C9|UBE2O_HUMAN"
"367","sp|Q16698|DECR_HUMAN"
"368","sp|P45974|UBP5_HUMAN"
"369","sp|Q7RTV0|PHF5A_HUMAN"
"370","sp|Q15287|RNPS1_HUMAN"
"371","sp|O75175|CNOT3_HUMAN"
"372","sp|P29218|IMPA1_HUMAN"
"373","sp|Q5JTV8|TOIP1_HUMAN"
"374","sp|Q14258|TRI25_HUMAN"
"375","sp|P42285|SK2L2_HUMAN"
"376","sp|Q9BVA1|TBB2B_HUMAN;sp|Q13885|TBB2A_HUMAN"
"377","sp|P49959|MRE11_HUMAN"
"378","sp|Q96AE4|FUBP1_HUMAN"
"379","sp|P12268|IMDH2_HUMAN"
"380","sp|Q8NFW8|NEUA_HUMAN"
"381","sp|P42331|RHG25_HUMAN"
"382","sp|Q8WVM8|SCFD1_HUMAN"
"383","sp|P62263|RS14_HUMAN"
"384","sp|Q9UHB6|LIMA1_HUMAN"
"385","sp|Q9BQL6|FERM1_HUMAN"
"386","sp|Q92616|GCN1L_HUMAN"
"387","sp|Q96JB5|CK5P3_HUMAN"
"388","sp|P04350|TBB4A_HUMAN;sp|A6NNZ2|TBB8L_HUMAN"
"389","sp|Q9Y383|LC7L2_HUMAN;sp|Q9NQ29|LUC7L_HUMAN"
"390","sp|Q9Y6C9|MTCH2_HUMAN"
"391","sp|Q9UBQ7|GRHPR_HUMAN"
"392","sp|Q9BUF5|TBB6_HUMAN"
"393","sp|P23743|DGKA_HUMAN"
"394","sp|Q9NQG5|RPR1B_HUMAN"
"395","sp|P07741|APT_HUMAN"
"396","sp|O00303|EIF3F_HUMAN"
"397","sp|Q8NE86|MCU_HUMAN"
"398","sp|Q9UBQ5|EIF3K_HUMAN"
"399","sp|Q9BS26|ERP44_HUMAN"
"400","sp|Q969V3|NCLN_HUMAN"
"401","sp|P68371|TBB4B_HUMAN"
"402","sp|Q16836|HCDH_HUMAN"
"403","sp|P35268|RL22_HUMAN"
"404","sp|P07332|FES_HUMAN;sp|P16591|FER_HUMAN"
"405","sp|O94874|UFL1_HUMAN"
"406","sp|P49588|SYAC_HUMAN"
"407","sp|Q9Y2Z0|SUGT1_HUMAN"
"408","sp|Q93008|USP9X_HUMAN;sp|O00507|USP9Y_HUMAN"
"409","sp|Q99459|CDC5L_HUMAN"
"410","sp|P09429|HMGB1_HUMAN;sp|B2RPK0|HGB1A_HUMAN"
"411","sp|P50990|TCPQ_HUMAN"
"412","sp|P14618|KPYM_HUMAN"
"413","sp|Q9BR76|COR1B_HUMAN"
"414","sp|Q9Y3I0|RTCB_HUMAN"
"415","sp|P46109|CRKL_HUMAN"
"416","sp|P31946|1433B_HUMAN"
"417","sp|P07738|PMGE_HUMAN"
"418","sp|P09104|ENOG_HUMAN;Int_MassPrep_sp|P00924|ENO1_YEAST"
"419","sp|P57740|NU107_HUMAN"
"420","sp|Q14651|PLSI_HUMAN"
"421","sp|O95994|AGR2_HUMAN"
"422","sp|Q92888|ARHG1_HUMAN"
"423","sp|Q9NP81|SYSM_HUMAN"
"424","sp|Q96C23|GALM_HUMAN"
"425","sp|P53004|BIEA_HUMAN"
"426","sp|P46783|RS10_HUMAN;sp|Q9NQ39|RS10L_HUMAN"
"427","sp|Q567U6|CCD93_HUMAN"
"428","sp|Q15436|SC23A_HUMAN"
"429","sp|Q8TCJ2|STT3B_HUMAN"
"430","sp|Q9Y3Z3|SAMH1_HUMAN"
"431","sp|O75822|EIF3J_HUMAN"
